project_slug,project_name,market_cap_usd,price_usd,total_invested,funds_count,top_funds
usdx-money-usdx,USDX,35028706.64,0.05117,45000000.0,4,"NGC Ventures ($11,250,000); UOB Venture Management ($11,250,000); BAI Capital ($11,250,000); GenerativeVentures ($11,250,000)"
bob-build-on-bitcoin,BOB,34854000,0.01555,21100000.0,27,"Ledger ($1,600,000); Hypersphere Ventures ($1,178,571); IOSG Ventures ($1,178,571); CMS Holdings ($1,178,571); Zee Prime Capital ($1,178,571)"
swarm-network,TRUTH,33427443.96,0.015906,3000000.0,2,"Y2Z Ventures ($1,500,000); Zerostage ($1,500,000)"
mango-network,MGO,31927200,0.02006,13500000.0,8,"CatcherVC ($1,687,500); Connectico Capital ($1,687,500); KuCoin Ventures ($1,687,500); Tido Capital ($1,687,500); T-Fund ($1,687,500)"
ore,ORE,31364081.91,75.58,3000000.0,9,"Solana Ventures ($333,333); Santiago Roel Santos ($333,333); Foundation Capital ($333,333); Third Kind Venture Capital ($333,333); Stepan Simkin ($333,333)"
b3-fun,B3,30452780.18,0.00097,21000000.0,8,"Sfermion ($2,625,000); Pantera Capital ($2,625,000); BitScale Capital ($2,625,000); Hashed ($2,625,000); Collab+Currency ($2,625,000)"
freysa-ai,FAI,30244562.1,0.003693,30000000.0,2,"Coinbase Ventures ($15,000,000); Selini Capital ($15,000,000)"
limitless,LMTS,29017508.94,0.2209,17000000.000000004,14,"Coinbase Ventures ($2,111,111); 1confirmation ($1,861,111); Collider Ventures ($1,861,111); Arrington Capital ($1,111,111); Digital Currency Group (DCG) ($1,111,111)"
stakestone,STO,28977866.62,0.1283,31999999.999999978,20,"BingX Labs ($10,000,000); Amber Group ($1,157,895); GTS Ventures ($1,157,895); Zonff Partners ($1,157,895); Quantstamp ($1,157,895)"
carrot-2,CRT,28790330.83,113.24,600000.0,10,"BOOGLE ($60,000); Iced ($60,000); Retired Chad Dev ($60,000); Nom ($60,000); Bartosz Lipiński ($60,000)"
sophon,SOPH,28540000,0.0143,20750000.0,14,"Maven 11 Capital ($2,833,333); Paper Ventures ($2,833,333); HTX Ventures (previously Huobi Ventures) ($2,325,758); The Spartan Group ($2,325,758); OKX Ventures ($2,325,758)"
sonic, SONIC,28526400,0.07938,12000000.0,7,"OKX Ventures ($1,714,286); Sanctor Capital ($1,714,286); Galaxy Interactive ($1,714,286); BITKRAFT Ventures ($1,714,286); Sky9 ($1,714,286)"
mira,MIRA,28505336.87,0.1397,9000000.0,15,"Mechanism Capital ($600,000); Framework Ventures ($600,000); Accel ($600,000); Sandeep Nailwal ($600,000); BITKRAFT Ventures ($600,000)"
resolv-labs,RESOLV,27452657.89,0.0792,10000000.0,8,"Arrington Capital ($1,250,000); Coinbase Ventures ($1,250,000); Animoca Brands ($1,250,000); gumi Cryptos Capital ($1,250,000); Maven 11 Capital ($1,250,000)"
elastos,ELA,27344801.49,1.187,20000000.0,1,"Rollman Management ($20,000,000)"
allora,ALLO,25612841.89,0.1248,3000000.0,5,"Delphi Ventures ($600,000); CMS Holdings ($600,000); DCF GOD ($600,000); ID Theory ($600,000); Archetype ($600,000)"
bless,BLESS,25543916.67,0.01392,5000000.0,5,"Interop ($1,000,000); MH Ventures ($1,000,000); M31 Capital ($1,000,000); Plassa Capital ($1,000,000); No Limit Holdings ($1,000,000)"
zndtoken,ZND,24976000,0.0355,20000000.0,1,"Rollman Management ($20,000,000)"
zerobase,ZBT,24371822.89,0.0995,4999999.999999999,11,"YZi Labs (prev Binance Labs) ($454,545); PAKA ($454,545); MH Ventures ($454,545); Cherry Ventures ($454,545); K24 Ventures ($454,545)"
gunz-token,GUN,23688876.67,0.01732,30000000.0,4,"Republic Capital ($7,500,000); Blizzard Fund (Avalanche Ecosystem) ($7,500,000); Morningstar Ventures ($7,500,000); CoinFund ($7,500,000)"
renzo-protocol,REZ,23650163.59,0.00525,20200000.0,19,"Maven 11 Capital ($1,683,333); SevenX Ventures ($1,683,333); Figment Capital ($1,683,333); Protagonist ($1,683,333); Karatage ($1,683,333)"
particle-network,PARTI,23533000,0.101,14999999.999999998,9,"Morningstar Ventures ($1,666,667); gumi Cryptos Capital ($1,666,667); HashKey Capital ($1,666,667); The Spartan Group ($1,666,667); SevenX Ventures ($1,666,667)"
researchcoin,RSC,23475020.32,0.1812,2000000.0,1,"Boost VC ($2,000,000)"
capx-ai,CAPX,23103500,0.2254,3140000.000000002,19,"Richard Ma (Quantstamp) ($165,263); P2 Ventures ($165,263); Sandeep Nailwal ($165,263); Gate.io ($165,263); Arcanum Capital ($165,263)"
apro,AT,23092000,0.1004,3000000.0,8,"Polychain Capital ($375,000); CMS Holdings ($375,000); Franklin Templeton ($375,000); ABCDE Capital ($375,000); Comma3 Ventures ($375,000)"
solv-protocol,SOLV,22920996,0.01544,11000000.0,5,"CMT Digital ($2,200,000); Blockchain Capital ($2,200,000); gumi Cryptos Capital ($2,200,000); OKX Ventures ($2,200,000); Laser Digital ($2,200,000)"
avalon-finance,AVL,22874872.59,0.09015,10000000.0,12,"Framework Ventures ($833,333); Kenetic Capital ($833,333); SNZ Holding ($833,333); Antalpha ($833,333); GeekCartel ($833,333)"
avail,AVAIL,22515165.46,0.006229,70000000.0,27,"Dragonfly Capital ($4,317,460); SevenX Ventures ($4,317,460); Founders Fund ($4,317,460); Figment Capital ($4,317,460); Nomad Capital ($4,317,460)"
puffer-finance,PUFFER,22070063.47,0.0682,18000000.0,12,"Electric Capital ($1,500,000); Coinbase Ventures ($1,500,000); Mechanism Capital ($1,500,000); Animoca Brands ($1,500,000); Lemniscap ($1,500,000)"
apriori,APR,21681999.88,0.1172,30000000.000000007,21,"Pantera Capital ($3,472,527); HashKey Capital ($2,857,143); Primitive Ventures ($2,857,143); Ambush Capital ($2,857,143); IMC Financial Markets ($2,857,143)"
autonolas,OLAS,21552611.72,0.09375,13800000.0,6,"1kx ($2,300,000); Borderless Capital ($2,300,000); Zee Prime Capital ($2,300,000); Keyrock ($2,300,000); Tioga Capital Partners ($2,300,000)"
boba-network,BOBA,21525063.14,0.04365,70000000.0,2,"LDA Capital ($35,000,000); Awaken Foundation ($35,000,000)"
quack-ai,Q,21008000,0.013014,3599999.9999999995,7,"Animoca Brands ($514,286); Kenetic Capital ($514,286); Skyland Ventures ($514,286); 071labs ($514,286); Carv Labs ($514,286)"
arpa-chain,ARPA,20909511.59,0.01376,6000000.0,6,"Animoca Brands ($1,000,000); DeFiance Capital ($1,000,000); ArkStream Capital ($1,000,000); Nomura ($1,000,000); Trinito ($1,000,000)"
olaxbt,AIO,20439292.5,0.08899,3380000.0,5,"Amber Group ($676,000); Mindfulness Capital ($676,000); CREDIT SCEND ($676,000); DWF Ventures ($676,000); Web3Labs ($676,000)"
derive,DRV,19982980.78,0.03428,500000.0,2,"Kain Warwick ($250,000); Guy Young ($250,000)"
infinit-2,IN,19440299.97,0.08503,6000000.0,9,"Electric Capital ($666,667); Hashed ($666,667); Robot Ventures ($666,667); Mirana Ventures ($666,667); Maelstrom ($666,667)"
goplus,GPS,18865804.45,0.00569,9999999.999999998,11,"Animoca Brands ($909,091); HashKey Capital ($909,091); Fenbushi Capital ($909,091); Richard Ma (Quantstamp) ($909,091); OKX Ventures ($909,091)"
nillion,NIL,18332150.59,0.0651,25000000.0,6,"Distributed Global ($4,166,667); HashKey Capital ($4,166,667); Hack VC ($4,166,667); Meltem Demirors ($4,166,667); Arthur Hayes ($4,166,667)"
polyhedra-network,ZKJ,17640335.53,0.04391,19999999.999999996,11,"Polychain Capital ($1,818,182); Animoca Brands ($1,818,182); HashKey Capital ($1,818,182); Mapleblock Capital ($1,818,182); ArkStream Capital ($1,818,182)"
carv,CARV,17512500,0.1403,10000000.0,10,"IOSG Ventures ($1,000,000); Tribe Capital ($1,000,000); Fenbushi Capital ($1,000,000); OKX Ventures ($1,000,000); ConsenSys ($1,000,000)"
kernel-dao,KERNEL,17434952.64,0.0738,10000000.0,17,"DWF Labs ($588,235); Side Door Ventures ($588,235); Bankless ($588,235); Laser Digital ($588,235); SCB Limited ($588,235)"
towns,TOWNS,17293543.79,0.00752,35500000.0,4,"Andreessen Horowitz (a16z) ($11,833,333); Benchmark ($11,833,333); Framework Ventures ($8,500,000); Coinbase Ventures ($3,333,333)"
zeus-network,ZEUS,17208354.98,0.02214,7999999.999999999,6,"OKX Ventures ($1,333,333); Big Brain Holdings ($1,333,333); Mechanism Capital ($1,333,333); Animoca Brands ($1,333,333); The Spartan Group ($1,333,333)"
