project,project_slug,category,market_cap,fund,fund_slug,invested_amount,investment_date,stage,project_roi,total_project_investment,investors_in_project
Blackbird,blackbird,,,Andreessen Horowitz (a16z),a16z-andreessen-horowitz,750000000.0,,Series B,,750000000.0,1
Kgen,kgen,,37690000.0,Jump Crypto,jump-crypto,202500000.0,,Strategic Round,0.18612345679012346,202500000.0,1
Zerohash,zerohash,,,Jump Crypto,jump-crypto,1560000000.0,,Extended Series D,,1560000000.0,1
Raiku,raiku,,,Jump Crypto,jump-crypto,168750000.0,,Seed Round,,168750000.0,1
Soon,soon,,219400000.0,Jump Crypto,jump-crypto,75000000.0,,Strategic Round,2.925333333333333,75000000.0,1
Cooking City,cooking-city,,,Jump Crypto,jump-crypto,105000000.0,,Funding Round,,105000000.0,1
Nirvana Labs,nirvana-labs,,,Jump Crypto,jump-crypto,90000000.0,,Extended Seed Round,,90000000.0,1
Securitize,securitize,,,Jump Crypto,jump-crypto,,,Strategic Round,,0.0,1
Momentum 3,momentum-3,,43170000.0,Jump Crypto,jump-crypto,75000000.0,,Seed Round,0.5756,75000000.0,1
Streamflow,streamflow,,2330000.0,Jump Crypto,jump-crypto,28500000.0,,Funding Round,0.08175438596491227,28500000.0,1
NodepayNC,nodecoin-2,,,Jump Crypto,jump-crypto,,,Funding Round,,0.0,1
Nexus Interactive,nexus-interactive,,,Jump Crypto,jump-crypto,30000000.0,,Seed Round,,30000000.0,1
Play Ai,play-ai,,,Jump Crypto,jump-crypto,64500000.0,,Seed Round,,64500000.0,1
Coinflow Ico,coinflow-ico,,,Jump Crypto,jump-crypto,33750000.0,,Seed Round,,33750000.0,1
Figure Markets,figure-markets,,,Jump Crypto,jump-crypto,900000000.0,,Series A,,900000000.0,1
Squads,squads,,,Jump Crypto,jump-crypto,85500000.0,,Strategic Round,,85500000.0,1
Membrane Labs,membrane-labs,,,Jump Crypto,jump-crypto,300000000.0,,Series A,,300000000.0,1
Opencover,opencover,,,Jump Crypto,jump-crypto,69000000.0,,Seed Round,,69000000.0,1
Luminadex,luminadex,,,Jump Crypto,jump-crypto,,,Strategic Round,,0.0,1
Ztx,ztx,,2080000.0,Jump Crypto,jump-crypto,195000000.0,,Seed Round,0.010666666666666666,195000000.0,1
Stable 2,stable-2,,310290000.0,Egirl Capital,egirl-capital,420000000.0,,Seed Round,0.7387857142857143,420000000.0,1
Cygnus Finance,cygnus-finance,,5690000.0,Egirl Capital,egirl-capital,300000000.0,,Pre-seed,0.018966666666666666,300000000.0,1
Blast L2,blast-l2,,45530000.0,Egirl Capital,egirl-capital,300000000.0,,Funding Round,0.15176666666666666,300000000.0,1
Oh Baby Games,oh-baby-games,,,Egirl Capital,egirl-capital,90000000.0,,Seed Round,,90000000.0,1
Zksync,zksync,,293360000.0,Egirl Capital,egirl-capital,3000000000.0,,Series C,0.09778666666666666,3000000000.0,1
Celestia,celestia,,517440000.00000006,Egirl Capital,egirl-capital,825000000.0,,Series A&B Round,0.6272000000000001,825000000.0,1
Chainflip,chainflip,,26450000.0,Egirl Capital,egirl-capital,87000000.0,,Strategic Round,0.3040229885057471,87000000.0,1
Connext,connext,,2690000.0,Egirl Capital,egirl-capital,180000000.0,,Series A,0.014944444444444444,180000000.0,1
Gearbox Protocol,gearbox-protocol,,15610000.0,Egirl Capital,egirl-capital,34500000.0,,,0.452463768115942,34500000.0,1
Arbitrum,arbitrum,,1220000000.0,Egirl Capital,egirl-capital,300000000.0,,Series A,4.066666666666666,300000000.0,1
Alchemix,alchemix,,23760000.0,Egirl Capital,egirl-capital,73500000.0,,Private Round,0.32326530612244897,73500000.0,1
Inference,inference,,,Multicoin Capital,multicoin-capital,177000000.0,,Seed Round,,177000000.0,1
Crunchdao,crunchdao,,,Multicoin Capital,multicoin-capital,127500000.0,,Strategic Round,,127500000.0,1
Yield Xyz,yield-xyz,,,Multicoin Capital,multicoin-capital,75000000.0,,Strategic Round,,75000000.0,1
Gradient Network,gradient-network,,,Multicoin Capital,multicoin-capital,150000000.0,,Seed Round,,150000000.0,1
P2P Me,p2p-me,,,Multicoin Capital,multicoin-capital,30000000.0,,Seed Round,,30000000.0,1
Double Zero Crypto Coin,double-zero-crypto-coin,,450240000.0,Multicoin Capital,multicoin-capital,420000000.0,,Private Token Sale,1.072,420000000.0,1
Across Protocol,across-protocol,,37470000.0,Multicoin Capital,multicoin-capital,615000000.0,,Private Token Sale,0.06092682926829268,615000000.0,1
Fantv,fantv,,,Multicoin Capital,multicoin-capital,82500000.0,,Funding Round,,82500000.0,1
Geodnet,geodnet,,64680000.00000001,Multicoin Capital,multicoin-capital,120000000.0,,Strategic Round,0.539,120000000.0,1
Mevvy,mevvy,,,Multicoin Capital,multicoin-capital,42000000.0,,Seed Round,,42000000.0,1
Drift Protocol,drift-protocol,,92480000.0,Multicoin Capital,multicoin-capital,375000000.0,,Series B,0.24661333333333332,375000000.0,1
Pipe Network,pipe-network,,7040000.0,Multicoin Capital,multicoin-capital,150000000.0,,Funding Round,0.046933333333333334,150000000.0,1
Fuseenergy,fuseenergy,,,Multicoin Capital,multicoin-capital,180000000.0,,Strategic Round,,180000000.0,1
Zkme,zkme,,,Multicoin Capital,multicoin-capital,60000000.0,,Seed Round,,60000000.0,1
Mountain Protocol USDUSDM,mountain-protocol-usd,,47650000.0,Multicoin Capital,multicoin-capital,120000000.0,,Series A,0.39708333333333334,120000000.0,1
El Dorado,el-dorado,,,Multicoin Capital,multicoin-capital,45000000.0,,Seed Round,,45000000.0,1
