fund_slug,fund_name,project_slug,project_name,amount,stage,date,category,pre_valuation
magnus-capital,Magnus Capital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
basics-capital,Basics Capital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
lavender-capital,Lavender Capital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
goldenshovel,GoldenShovel,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
good-games-guild,Good Games Guild,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
athena-ventures,Athena Ventures,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
kommunitas,Kommunitas,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
x21-digital,x21 Digital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
alpha-moon-capital,Alpha Moon Capital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
kenzo-ventures,Kenzo Ventures,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
exnetwork-capital,Exnetwork Capital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
coinlab,CoinLAB,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
dutch-crypto-investors-dci,Dutch Crypto Investors (DCI),lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
poolz,Poolz,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
avstar-capital,Avstar Capital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
gd10-ventures,GD10 Ventures,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
zbs-capital,ZBS Capital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
lighthouse-ventures,Lighthouse ventures,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
dreamboat-capital,Dreamboat Capital,lord-arena,LORDA,30000,Seed Round 1,2021-08-01T00:00:00Z,Gaming,5000000
vbc-ventures,VBC Ventures,gemguardian,GEMG,35000,IDO on BullPerks,2021-09-09T00:00:00Z,NFT,8000000
legion-ventures,Legion Ventures,gemguardian,GEMG,35000,IDO on BullPerks,2021-09-09T00:00:00Z,NFT,8000000
dreamboat-capital,Dreamboat Capital,gemguardian,GEMG,35000,IDO on BullPerks,2021-09-09T00:00:00Z,NFT,8000000
titans-ventures,Titans Ventures,gemguardian,GEMG,35000,IDO on BullPerks,2021-09-09T00:00:00Z,NFT,8000000
deltahub-capital,DeltaHub Capital,gemguardian,GEMG,35000,IDO on BullPerks,2021-09-09T00:00:00Z,NFT,8000000
dutch-crypto-investors-dci,Dutch Crypto Investors (DCI),gemguardian,GEMG,35000,IDO on BullPerks,2021-09-09T00:00:00Z,NFT,8000000
oig-oracles-investment-group,OIG Oracles Investment Group,gemguardian,GEMG,35000,IDO on BullPerks,2021-09-09T00:00:00Z,NFT,8000000
sonic,Sonic,fly-2,FLY,40000,Funding Round,2025-08-27T00:00:00Z,DeFi,400000
au21-capital,AU21 Capital,avaxlauncher,AVXL,44000,IDO on AvaXlauncher,2021-08-31T00:00:00Z,DAO,4400000
x21-digital,x21 Digital,avaxlauncher,AVXL,44000,IDO on AvaXlauncher,2021-08-31T00:00:00Z,DAO,4400000
magnus-capital,Magnus Capital,avaxlauncher,AVXL,44000,IDO on AvaXlauncher,2021-08-31T00:00:00Z,DAO,4400000
exnetwork-capital,Exnetwork Capital,avaxlauncher,AVXL,44000,IDO on AvaXlauncher,2021-08-31T00:00:00Z,DAO,4400000
solidity-ventures,Solidity Ventures,avaxlauncher,AVXL,44000,IDO on AvaXlauncher,2021-08-31T00:00:00Z,DAO,4400000
mexc-global-privcode-capital,MEXC Global (Privcode Capital),avaxlauncher,AVXL,44000,IDO on AvaXlauncher,2021-08-31T00:00:00Z,DAO,4400000
everse-capital,Everse Capital,avaxlauncher,AVXL,44000,IDO on AvaXlauncher,2021-08-31T00:00:00Z,DAO,4400000
onchain-capital,Onchain Capital,avaxlauncher,AVXL,44000,IDO on AvaXlauncher,2021-08-31T00:00:00Z,DAO,4400000
outlier-ventures,Outlier Ventures,koii-network,KOII,50000,Pre-seed,2020-11-10T15:14:00Z,Infrastructure,500000
au21-capital,AU21 Capital,nsure-network,NSURE,50000,Seed Round,2020-09-30T00:00:00Z,DeFi,50000000
signal-ventures,Signal Ventures,nsure-network,NSURE,50000,Seed Round,2020-09-30T00:00:00Z,DeFi,50000000
3commas,3Commas,nsure-network,NSURE,50000,Seed Round,2020-09-30T00:00:00Z,DeFi,50000000
genblock-capital,Genblock Capital,nsure-network,NSURE,50000,Seed Round,2020-09-30T00:00:00Z,DeFi,50000000
mechanism-capital,Mechanism Capital,nsure-network,NSURE,50000,Seed Round,2020-09-30T00:00:00Z,DeFi,50000000
base-ventures,Base Ventures,nsure-network,NSURE,50000,Seed Round,2020-09-30T00:00:00Z,DeFi,50000000
caballeros-capital,Caballeros Capital,nsure-network,NSURE,50000,Seed Round,2020-09-30T00:00:00Z,DeFi,50000000
mayor-capital,Mayor Capital,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
poolz,Poolz,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
au21-capital,AU21 Capital,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
onebit-ventures,Onebit Ventures,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
gains-associates,Gains Associates,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
tmk,TMK,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
lupa-x-capital,Lupa X Capital,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
brilliance-ventures,Brilliance Ventures,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
titans-ventures,Titans Ventures,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
kyros-ventures,Kyros Ventures,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
bsc-station,BSC Station,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
r-930-capital,R-930 Capital,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
duckdao,DuckDAO,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
r8-capital,R8 Capital,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
blockchain-alliance,Blockchain Alliance,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
b21-capital,B21 Capital,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
criterion,Criterion,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
lead,LEAD,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
almora-capital,Almora Capital,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
a2dao,A2DAO,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
spiderdao,SpiderDAO,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
gotbit,GOTBIT,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
bta-ventures,BTA Ventures,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
polkastarter,Polkastarter,cheesus,CHEESUS,50000,IDO Round 1,2021-11-04T00:00:00Z,Application,12920000
ld-capital,LD Capital,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
enjin,Enjin,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
legion-ventures,Legion Ventures,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
gotbit,GOTBIT,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
ici-ventures,ICI Ventures,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
unicorn-venture,Unicorn Venture,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
lunox-capital,Lunox Capital,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
lb-capital,LB Capital,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
wtmc,WTMC,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
griffin-art,Griffin Art,mobipad,MBP,50000,Private Round,2022-05-01T00:00:00Z,Launchpad,2500000
cinchblock,CinchBlock,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
tk-ventures,TK Ventures,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
dao-maker,DAO Maker,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
metrix-capital,Metrix Capital,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
raptor-capital,Raptor Capital,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
icetea-labs-icetea-io,Icetea Labs (Icetea.io),metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
ld-capital,LD Capital,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
ac-capital,AC Capital,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
halvings-capital,Halvings Capital,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
gate-io,Gate.io,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
ghaf-capital-partners,Ghaf Capital Partners,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
double-peak,Double Peak,metagaming-guild,MGG,56250,Seed Round,2021-09-01T00:00:00Z,Gaming,1473750
blockchain-network-philippines,Blockchain Network Philippines,jungle-road-ico,JGRD,60000,Seed Round,2022-03-01T00:00:00Z,,30000000
crypto-cup,Crypto Cup,jungle-road-ico,JGRD,60000,Seed Round,2022-03-01T00:00:00Z,,30000000
genesis-block-gbv,GBV Capital,poolz-finance,POOLZ,70000,Public Sale,2021-01-15T18:00:00Z,Launchpad,3500000
sevenx-ventures,SevenX Ventures,poolz-finance,POOLZ,70000,Public Sale,2021-01-15T18:00:00Z,Launchpad,3500000
phoenix-crypto-vc,Phoenix Crypto VC,poolz-finance,POOLZ,70000,Public Sale,2021-01-15T18:00:00Z,Launchpad,3500000
marketacross,MarketAcross,poolz-finance,POOLZ,70000,Public Sale,2021-01-15T18:00:00Z,Launchpad,3500000
alphabit-fund,Alphabit Fund,poolz-finance,POOLZ,70000,Public Sale,2021-01-15T18:00:00Z,Launchpad,3500000
duckdao,DuckDAO,poolz-finance,POOLZ,70000,Public Sale,2021-01-15T18:00:00Z,Launchpad,3500000
ferrum-network,Ferrum Network,poolz-finance,POOLZ,70000,Public Sale,2021-01-15T18:00:00Z,Launchpad,3500000
momentum-6-m6,Momentum 6,yellow-road,ROAD,70000,Public Sale,2021-04-10T15:00:00Z,Poolz IDO,2000000
genesis-block-gbv,GBV Capital,yellow-road,ROAD,70000,Public Sale,2021-04-10T15:00:00Z,Poolz IDO,2000000
au21-capital,AU21 Capital,yellow-road,ROAD,70000,Public Sale,2021-04-10T15:00:00Z,Poolz IDO,2000000
titans-ventures,Titans Ventures,yellow-road,ROAD,70000,Public Sale,2021-04-10T15:00:00Z,Poolz IDO,2000000
phoenix-crypto-vc,Phoenix Crypto VC,yellow-road,ROAD,70000,Public Sale,2021-04-10T15:00:00Z,Poolz IDO,2000000
blocksync-ventures,Blocksync Ventures,yellow-road,ROAD,70000,Public Sale,2021-04-10T15:00:00Z,Poolz IDO,2000000
smo-capital,SMO Capital,yellow-road,ROAD,70000,Public Sale,2021-04-10T15:00:00Z,Poolz IDO,2000000
au21-capital,AU21 Capital,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
aniket-jindal,Aniket Jindal,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
dao-ventures,DAO Ventures,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
amesten-capital,Amesten Capital,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
lotus-capital,Lotus capital,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
trgc,TRGC,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
woodstock-fund,Woodstock Fund,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
x21-digital,x21 Digital,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
genesis-block-gbv,GBV Capital,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
mahadao,MahaDao,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
exnetwork-capital,Exnetwork Capital,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
sandeep-nailwal,Sandeep Nailwal,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
krypital-group,Krypital Group,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
ngc-ventures-neo-global-capital,NGC Ventures,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
altonomy,Altonomy,oddz,ODDZ,75000,Early Supporters,2021-02-01T00:00:00Z,Polygon Ecosystem,15000000
ybb-foundation,YBB Foundation,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
criterion,Criterion,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
a2dao,A2DAO,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
okx-ventures,OKX Ventures,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
phoenix-crypto-vc,Phoenix Crypto VC,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
lvt-capital,LVT Capital,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
titans-ventures,Titans Ventures,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
gains-associates,Gains Associates,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
avisa-ventures-capital,Avisa Ventures Capital,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
newtribe-capital,NewTribe Capital,ime-lab,LIME,80000,IDO Round,2021-05-01T00:00:00Z,Wallet,20000000
centauri-digital-assets-group,Centauri Digital Assets Group,purefi,UFI,80000,Hacken Round,2021-07-13T00:00:00Z,Infrastructure,4000000
hacken,Hacken,purefi,UFI,80000,Hacken Round,2021-07-13T00:00:00Z,Infrastructure,4000000
shima-capital,Shima Capital,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
fmfw-io-previously-bitcoin-com,FMFW,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
x21-digital,x21 Digital,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
genblock-capital,Genblock Capital,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
spark-digital-capital,Spark Digital Capital,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
au21-capital,AU21 Capital,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
moonwhale-ventures,Moonwhale Ventures,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
blocksync-ventures,Blocksync Ventures,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
stakely-vc,Stakely.vc,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
magnus-capital,Magnus Capital,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
banter-capital,Banter Capital,polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
icetea-labs-icetea-io,Icetea Labs (Icetea.io),polkaplay,POLO,81000,IDO Round 1,2021-07-27T15:00:00Z,Social,9900000
dao-maker,DAO Maker,street-runner-ico,SRG,84000,Seed Round,2021-09-01T00:00:00Z,Gaming,2400000
iangels,iAngels,adaswap,ASW,90000,Seed Round,2022-01-01T00:00:00Z,DEX,30000000
au21-capital,AU21 Capital,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
dealean-capital,Dealean Capital,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
okx-ventures,OKX Ventures,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
digital-finance-group-dfg,Digital Finance Group (DFG),subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
digital-renaissance,Digital Renaissance,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
ryan-selkis,Ryan Selkis,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
ld-capital,LD Capital,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
signum-capital,Signum Capital,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
bixin-ventures,Bixin Ventures,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
waterdrip-capital,Waterdrip Capital,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
hypersphere-ventures,Hypersphere Ventures,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
kenetic-capital,Kenetic Capital,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
paka,PAKA,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
huobi-ventures,HTX Ventures (previously Huobi Ventures),subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
spark-digital-capital,Spark Digital Capital,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
fbg-capital,FBG Capital,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
cms-holdings-llc,CMS Holdings,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
divergence-ventures,Divergence Ventures,subdao,GOV,90000,IDO Round 1,2021-11-01T00:00:00Z,DAO,150000000
poolz,Poolz,fomo-chronicles-manga,OTAKU,95000,Shillfluencer Round,2021-08-01T00:00:00Z,NFT,4750000
babylons,Babylons,fomo-chronicles-manga,OTAKU,95000,Shillfluencer Round,2021-08-01T00:00:00Z,NFT,4750000
roseon-world-finance,Roseon World (Finance),fomo-chronicles-manga,OTAKU,95000,Pepe Round,2021-07-01T00:00:00Z,NFT,3800000
new-kids-on-the-blockchain,New kids on the Blockchain,fomo-chronicles-manga,OTAKU,95000,Chad Round,2021-06-01T00:00:00Z,NFT,2375000
binance-labs,YZi Labs (prev Binance Labs),cartesi,CTSI,100000,Seed Round,2017-08-01T00:00:00Z,Oracle,5000000
au21-capital,AU21 Capital,ix-swap,IXS,100000,IDO Round 2,2021-09-08T00:00:00Z,RWA (Real World Assets),25200000
smo-capital,SMO Capital,ix-swap,IXS,100000,IDO Round 2,2021-09-08T00:00:00Z,RWA (Real World Assets),25200000
faculty-capital,Faculty Capital,ix-swap,IXS,100000,IDO Round 2,2021-09-08T00:00:00Z,RWA (Real World Assets),25200000
baksh-capital,Baksh Capital,ix-swap,IXS,100000,IDO Round 2,2021-09-08T00:00:00Z,RWA (Real World Assets),25200000
tmk,TMK,ix-swap,IXS,100000,IDO Round 2,2021-09-08T00:00:00Z,RWA (Real World Assets),25200000
cosimo-ventures,COSIMO Ventures,ix-swap,IXS,100000,IDO Round 2,2021-09-08T00:00:00Z,RWA (Real World Assets),25200000
token-bay-capital,Token Bay Capital,ix-swap,IXS,100000,IDO Round 2,2021-09-08T00:00:00Z,RWA (Real World Assets),25200000
gc-pharma,GC Pharma,humanscape,HPO,100000,Private Round,2018-05-01T00:00:00Z,DeSci,500000
rise-conference,RISE Conference,humanscape,HPO,100000,Private Round,2018-05-01T00:00:00Z,DeSci,500000
tribe-accelerator,Tribe Accelerator,humanscape,HPO,100000,Private Round,2018-05-01T00:00:00Z,DeSci,500000
utc-investment,UTC Investment,humanscape,HPO,100000,Private Round,2018-05-01T00:00:00Z,DeSci,500000
kinetic-capital,Kinetic Capital,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
fenbushi-capital,Fenbushi Capital,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
ngc-ventures-neo-global-capital,NGC Ventures,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
gate-io,Gate.io,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
jrr-group,JRR Group,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
au21-capital,AU21 Capital,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
republic-capital,Republic Capital,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
monday-capital,Monday Capital,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
trgc,TRGC,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
arrington-xrp-arrington-capital,Arrington Capital,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
binance-labs,YZi Labs (prev Binance Labs),cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
woodstock-fund,Woodstock Fund,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
kenetic-capital,Kenetic Capital,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
g1-ventures,G1 Ventures,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
kosmos-ventures,Kosmos Ventures,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
spark-digital-capital,Spark Digital Capital,cere-network,CERE,100000,Private Round 2,2021-04-01T00:00:00Z,Big Data,30000000
