name,slug,category,market_cap,price,total_raised,rounds_count
ARENA,espl-arena,Gaming,,,20000,5
PST,crypto-pirates-ico,,,,20000,6
SOLPAD,solpad-finance,Solana Ecosystem,,,21000,8
DKM,dead-knight,Gaming,,,21600,9
LIME,ime-lab,Wallet,,,25000,6
ABR,allbridge,Bridge Token,,,25000,2
PKF,polkafoundry,DeFi,,,25000,6
WELT,fabwelt,Play to Earn,,,25000,13
H2O,h2o-dao,DAO,,,25000,1
ARDN,ariadne,DeFi,,,25000,5
MELI,meli-games,Gaming,,,25000,6
SUGARB,sugarbounce,Ignition IDO,,,25000,4
WOD,world-of-defish,Gaming,,,25000,8
SPUME,spume,,,,25000,11
SKO,sugar-kingdom,Gaming,,,25000,9
JGRD,jungle-road-ico,,,,25000,6
BTCMT,minto,Yield Farming,,,26200,3
BTH,bit-hotel,Gaming,,,27600,12
PHA,pha,Infrastructure,,,28000,2
CAT,simons-cat,Meme,,,28000,1
SGG,solx-gaming-guild,DAO,,,28186,3
WNZ,winerz,Play to Earn,,,28300,9
NMT,nftmart-token,Gate.io Launchpad,,,29000,2
INSP,inspect,Web 3.0,,,30000,1
GMM,gamium,Metaverse,,,30000,6
KT,kingdomx,Gaming,,,30000,5
APP,moon-app,Launchpad,,,30000,2
SUIP,sui-pad,Launchpad,,,30000,6
NSDX,nasdex-token,DeFi,,,30000,4
PHTR,phuture,Polkastarter IDO,,,30000,3
BAKED,baked-token,Infrastructure,,,30000,8
VERA,vera,NFT,,,30000,4
DOSE,dose-token,Cryptocurrency,,,30000,5
LFW,legend-of-fantasy-war,Gaming,,,30000,4
CAT,cyber-arena,Gaming,,,30000,7
BYN,beyond-finance,Ignition IDO,,,30000,6
BACON,bacondao,Gate.io Launchpad,,,30000,6
MOT,mobius-finance,Polygon Ecosystem,,,30000,5
LORDA,lord-arena,Gaming,,,30000,4
OLE,openleverage,DeFi,,,30000,2
MAI,micro-ai,Artificial Intelligence (AI),,,30000,2
STN,stone-token,,,,30000,3
ASAP,chainswap,DEX,,,30000,5
WAR,westarter,,,,30000,5
IDTT,identity,BSCPad IDO,,,30000,3
KWS,knight-war-spirits,Gaming,,,30000,6
MODA,moda-dao,DeFi,,,30000,11
ARC,arcadenetwork,DeFi,,,30000,7
TAU,atlantis-metaverse,Gaming,,,30000,6
RBO,roboots,Gaming,,,30000,8
CALO,calo-app,Move To Earn,,,30000,5
DOM,ancient-kingdom,Gaming,,,30000,6
PXP,pirate-x-pirate,BNB Chain Ecosystem,,,30000,14
FAME,fantom-maker,Sonic (ex. Fantom) Ecosystem,,,30000,6
MRUN,metarun,Play to Earn,,,30000,6
FIU,befitter,BNB Chain Ecosystem,,,30000,4
MTG,mtg-token,BNB Chain Ecosystem,,,30000,3
PLAY,xcad-network-play,Social,,,30000,3
DINW,dino-wars,Gaming,,,30000,3
AFG,aofverse,Gaming,,,30000,1
GFI,goatfi-ico,,,,30000,7
GHT,gamerhub-ico,,,,30000,5
ERT,neo-fantasy-ico,,,,30000,4
LIKE,only1,Social,,,32000,4
D11,defi11,DeFi,,,33050,4
MONI,monsta-infinite,Play to Earn,,,35000,9
POOLZ,poolz-finance,Launchpad,,,35000,5
SWAY,sway-social,Metaverse,,,35000,2
PRARE,polkarare,Red Kite IDO,,,35000,6
DNXC,dinox,Gaming,,,35000,3
GEMG,gemguardian,NFT,,,35000,4
CRYPT,cryptia,Gaming,,,35000,5
HE,heroes-empires,Gaming,,,35000,3
MGA,metagame-arena,Gaming,,,35000,9
CNAME,cloudname,Blockchain Service,,,35000,5
TEX,iotexpad,Launchpad,,,35000,5
GTC,game,,,,36000,2
SRS,sirius-finance,AMM,,,36000,5
FROST,moonfrost-ico,,,,36000,3
CLH,cleardao,DAO,,,36600,2
TRY,tryhards,Gaming,,,37500,7
SLIM,solanium,Launchpad,,,37800,4
DLQ,deliq-ico,,,,39600,5
MYRIA,myria,Layer-2,,,40000,1
FLY,fly-2,DeFi,,,40000,3
BSCS,bsc-station,Yield Farming,,,40000,4
KNIGHT,forest-knight,NFT,,,40000,4
IGU,iguverse-igu,Gaming,,,40000,3
NUUM,bit-country,Blockchain Service,,,40000,3
KLO,kalao,NFT,,,40000,4
XGN,0xgen,DeFi,,,40000,1
SON,souni,Gaming,,,40000,4
MDF,matrixetf,DeFi,,,40000,3
REAL,real-realm,Gaming,,,40000,5
GETA,getaverse,Blockchain Service,,,40000,1
LAVAX,launchx,Kucoin Launchpad,,,40000,5
PHM,phantom-protocol,,,,40000,8
XIL,projectx,Red Kite IDO,,,40000,3
SRP,starpunk,Gaming,,,40000,3
ENNO,enno-cash,Wallet,,,40000,3
SPAY,spacey-2025,Metaverse,,,40000,5
MOO,moomonster,Gaming,,,40000,8
DAL,daolaunch,Launchpad,,,40000,8
ANGEL,angelscreed,Gaming,,,40000,8
JIG,jigen,NFT,,,40000,5
HON,soul-society,Web 3.0,,,40000,1
CHTX,chatex-ico,,,,40000,5
PLATO,plato-game,Gaming,,,41500,2
REVO,revoland,Gaming,,,41630,7
WLKN,walken,Move To Earn,,,43200,6
LPFI,lp-finance-ico,,,,43790,7
AVXL,avaxlauncher,DAO,,,44000,2
AI,flourishing-ai-token,AI Agents,,,44500,8
ALU,altura,Gaming,,,45000,2
EPIK,epik-prime,Huobi Launchpad,,,45000,6
CTT,cryptotycoon,Zendit IDO,,,45000,4
BRT,bikerush,Move To Earn,,,45000,3
CHEESUS,cheesus,Application,,,46000,14
DREAMS,dreams-quest,Gaming,,,47500,5
ZEUM,colizeum,BNB Chain Ecosystem,,,47500,9
SEOR,seor-ico,,,,47500,8
TRONPAD,tronpad,BSCPad IDO,,,48609,3
SUI,sui,Blockchain,,,50000,8
WOO,woo-network,CEX,,,50000,10
METIS,metis-token,Layer-2,,,50000,7
AURORA,aurora-near,Blockchain,,,50000,5
IAG,iagon,Infrastructure,,,50000,3
GHST,aavegotchi,NFT,,,50000,3
NAKA,nakamoto-games,Gaming,,,50000,7
PROS,prosper,DeFi,,,50000,4
HGPT,hypergpt,Artificial Intelligence (AI),,,50000,8
DORA,dora-factory-2,Infrastructure,,,50000,9
TET,tectum,Ethereum Ecosystem,,,50000,6
OCT,octopus-network,Near Ecosystem,,,50000,6
TRADE,polytrade,Lending Platform,,,50000,7
DESU,dexsport,Sport,,,50000,7
VLX,velas,Blockchain,,,50000,2
SABAI,sabai-ecoverse,Metaverse,,,50000,2
ESE,eesee,NFT,,,50000,3
SDN,shiden,NFT,,,50000,4
APW,apwine,DeFi,,,50000,3
TRVL,dtravel,Ethereum Ecosystem,,,50000,5
BLOCK,blockasset,Solana Ecosystem,,,50000,7
BUY,buying,Manufacturing,,,50000,4
GARI,gari-network,DAO,,,50000,12
NABOX,nabox,Wallet,,,50000,6
BEPRO,bepro-network,Gambling,,,50000,2
GSWIFT,gameswift,Gaming,,,50000,1
REVU,revuto,Cryptocurrency,,,50000,5
CWS,crowns,Gaming,,,50000,4
DFL,defi-land,DeFi,,,50000,4
UFI,purefi,Infrastructure,,,50000,6
ORT,okratech-token,DeFi,,,50000,5
PINE,pine,Lending Platform,,,50000,4
XTAG,xhashtag,Infrastructure,,,50000,4
GOAL,topgoal,Gaming,,,50000,1
DARK,dark-frontiers,VR,,,50000,6
ZOON,cryptozoon,Gaming,,,50000,2
DPET,my-defi-pet,NFT,,,50000,3
ROOM,option-room,Oracle,,,50000,4
GTAI,gt-protocol,DeFAI,,,50000,6
FLURRY,flurry,,,,50000,5
FRONT,frontier-token,Wallet,,,50000,4
EJS,enjinstarter,Web 3.0,,,50000,9
SLF,self-chain,Blockchain,,,50000,4
KOII,koii-network,Infrastructure,,,50000,2
AOG,ageofgods,Gaming,,,50000,4
YOM,yom,DePIN,,,50000,7
METAL,drunk-robots,Play to Earn,,,50000,4
AGNT,iagent-protocol,AI Agents,,,50000,2
NFTD,nftrade,NFT,,,50000,3
BMI,bridge-mutual,Insurance,,,50000,4
CHAMP,nft-champions,NFT,,,50000,3
COGI,cogiverse,NFT,,,50000,4
ODDZ,oddz,Polygon Ecosystem,,,50000,5
XPNET,xp-network,Avalanche Ecosystem,,,50000,6
SHILL,shill-token,Gaming,,,50000,5
CRE8,creaticles,NFT,,,50000,3
NSURE,nsure-network,DeFi,,,50000,3
BUSY,busy-dao,DAO,,,50000,4
PWAR,polkawar,,,,50000,6
SHOE,shoefy,NFT,,,50000,13
DECHAT,dechat,Social,,,50000,8
WARS,metawars,Gaming,,,50000,4
FIRE,fire-protocol,Heco Ecosystem,,,50000,2
KEL,kelvpn,BSCPad IDO,,,50000,4
NIIFI,niifi,Polkastarter IDO,,,50000,3
SKT,sukhavati-network,DeFi,,,50000,2
LARIX,larix,Solana Ecosystem,,,50000,3
WELD,weld,Application,,,50000,6
YCT,youclout,NFT,,,50000,7
MECH,mech-master,Gaming,,,50000,6
ZAM,zam-io,DeFi,,,50000,7
PIXEL,pixelverse,NFT,,,50000,6
EGAME,every-game,Gaming,,,50000,1
HTD,heroes-td,Gaming,,,50000,4
ACY,acy-finance,Cryptocurrency,,,50000,14
AXL,axl-inu,DEX,,,50000,3
TAP,tap-fantasy,Play to Earn,,,50000,6
METAN,metan-evolutions,Gaming,,,50000,5
BURP,burp,Play to Earn,,,50000,9
KNOT,karmaverse,Gaming,,,50000,10
MEE,medieval-empires,Gaming,,,50000,9
EQ,equilibrium-2,DeFi,,,50000,7
PMX,primex-finance,DeFi,,,50000,3
FULA,functionland,Artificial Intelligence (AI),,,50000,2
$ANRX,anrkey-x,NFT,,,50000,5
ETHA,etha-lend,Gate.io Launchpad,,,50000,6
STR,stater,NFT,,,50000,3
RAZE,raze-network,Polygon Ecosystem,,,50000,7
MEL,melalie,Zendit IDO,,,50000,7
O3,o3-swap,BSCPad IDO,,,50000,7
NFTS,nft-stars,BSCPad IDO,,,50000,5
MOMAT,moma-protocol,DeFi,,,50000,5
MCASH,monsoon-finance,Polygon Ecosystem,,,50000,5
AMAS,amasa,Play to Earn,,,50000,5
HAPPY,happyfans,Social,,,50000,5
HERA,hero-arena,Play to Earn,,,50000,4
ACK,acknoledger,Infrastructure,,,50000,5
SIP,space-sip,Gaming,,,50000,4
LXF,luxfi,NFT,,,50000,4
POT,x-protocol,Metaverse,,,50000,3
MYRA,mytheria,Gaming,,,50000,4
NBP,nftbomb,NFT,,,50000,3
CSTR,corestarter,Launchpad,,,50000,5
ANTEX,antex,DEX,,,50000,7
ZUKI,zuki-moba,Gaming,,,50000,6
INP,inpoker,BNB Chain Ecosystem,,,50000,5
ORARE,onerare,Metaverse,,,50000,6
LEZ,peoplez,Cryptocurrency,,,50000,6
MELD,meland-ai,Gaming,,,50000,6
LBL,label-foundation,NFT,,,50000,8
UNQ,unq,NFT,,,50000,5
CVZ,cryptovszombie,Gaming,,,50000,8
RDR,rise-of-defenders,Gaming,,,50000,7
BOT,starbots,Gaming,,,50000,4
ISKY,infinity-skies,Gaming,,,50000,6
MXY,metaxy,Gaming,,,50000,6
WBOND,war-bond,Gaming,,,50000,7
TRK,torekko,NFT,,,50000,10
DNL,dinoland,Gaming,,,50000,7
EARN,earnguild,Gaming,,,50000,4
ENG,endless-battlefield,Gaming,,,50000,11
MALL,metamall,Metaverse,,,50000,9
MMETA,duckie-land-multi-metaverse,Metaverse,,,50000,13
RGEN,paragen,Multi-Chain Platform,,,50000,4
FPAD,fantompad,DEX,,,50000,7
MIT,galaxy-blitz,Gaming,,,50000,8
NNT,nunu-spirits,Gaming,,,50000,6
SER,secretum,Solana Ecosystem,,,50000,10
MLS,pikaster,NFT,,,50000,2
GOB,goons-of-balatroon,Gaming,,,50000,8
PUMLX,pumlx,Move To Earn,,,50000,7
HAO,historydao,Ethereum Ecosystem,,,50000,2
AIRTNT,airtnt,Travel,,,50000,2
WEZ,wesleep,Gaming,,,50000,6
URD,urdex-finance,Arbitrum Ecosystem,,,50000,6
ELDA,eldarune,Gaming,,,50000,7
BIVE,bizverse,Gaming,,,50000,8
DUBS,aftermath-islands-ico,,,,50000,4
OME,o-mee-ico,,,,50000,4
KOSON,age-of-zalmoxis-ico,,,,50000,2
NOVA,avania-ico,,,,50000,2
WST,wingstep-ico,Social,,,50000,7
WBOND,tank-wars-zone-ico,,,,50000,8
NVRN,naviern-ico,,,,50000,4
FRA,findora,Blockchain,,,50050,7
DC,dogechain,DeFi,,,51000,1
ULAB,unilab-network,,,,51210,6
TALK,talken,NFT,,,52411,2
DKT,duelist-king,Gaming,,,52500,4
COWS,cowboy-snake,Gaming,,,52500,4
VALH,valhalla-ico,,,,53000,3
ASVA,asva,DeFi,,,53935,8
SKILL,cryptoblades,Gaming,,,55000,2
DEGO,dego-finance,Web 3.0,,,56250,5
MGG,metagaming-guild,Gaming,,,56250,5
GFAL,games-for-a-living,Gaming,,,58441,4
IZI,izumi-finance,DEX,,,60000,6
MTA,meta,DeFi,,,60000,6
RDT,ridotto,Cardano Ecosystem,,,60000,3
DSM,desmos,Protocol,,,60000,1
HTM,hatom,Blockchain Service,,,60000,4
TFI,trustfi-network-token,TrustPad IDO,,,60000,4
AEG,aether-games,Gaming,,,60000,5
ORO,operon-origins,Gaming,,,60000,5
DOS,dos-network,Oracle,,,60000,2
UGT,unreal-finance,Governance,,,60000,6
DEVT,dehorizon,Gaming,,,60000,2
VMT,vemate,Application,,,60000,3
SUIA,suia,Social,,,60000,2
YAE,cryptonovae,,,,60000,5
GOLD,cyberdragon-gold,,,,60000,1
CLA,celolaunch,Launchpad,,,60000,4
TEN,teneo,Protocol,,,60000,8
GOV,subdao,DAO,,,60000,4
PUN,cryptopunt,Polygon Ecosystem,,,60100,6
PEOPLE,constitutiondao,Meme,,,61706,2
TAP,tapme-token,Play to Earn,,,62550,3
POLO,polkaplay,Social,,,63000,6
CNT,cryption-network,Polygon Ecosystem,,,65000,3
OPIP,opipets-ico,,,,65000,4
HAKA,tribeone,Ignition IDO,,,66000,3
ASTRA,astra-protocol-2,DeFi,,,67572,6
LIBRE,libre-defi,DeFi,,,69230,5
XEM,nem,Blockchain,,,70000,1
DCK,dexcheck,Artificial Intelligence (AI),,,70000,8
FCON,spacefalcon,Metaverse,,,70000,6
ELU,elumia,Gaming,,,70000,8
MTS,metastrike,Gaming,,,70000,6
EGS,edgeswap,Layer-2,,,70000,2
MOJO,planet-mojo,Gaming,,,70000,4
ROAD,yellow-road,Poolz IDO,,,70000,3
MNST,moonstarter,,,,70000,4
MIMIR,mimir-token,Gaming,,,70000,2
POL,polars,BNB Chain Ecosystem,,,70000,6
ADAL,adalend,DAO,,,70000,12
PARMA,parma-calcio-1913-fan-token,Fan Token,,,70000,8
INTER,interactwith-token,Blockchain Service,,,70000,6
BLS,bluesale,Launchpad,,,70000,5
SNAM,snakemoney-ico,,,,70000,3
FUSII,fusible,NFT,,,72000,2
RACA,radio-caca,NFT,,,72355,2
YIELD,yield-protocol,DeFi,,,73500,4
APR,apriori,DeFi,,,75000,4
RMV,reality-metaverse,NFT,,,75000,10
SOULS,the-unfettered,Gaming,,,75000,5
SCPT,script-network,Blockchain Service,,,75000,8
1ART,1art,Sonic (ex. Fantom) Ecosystem,,,75000,8
GLINT,beamswap,DEX,,,75000,6
RAIN,rainmaker-games,Gaming,,,75000,10
PGEN,polygen,Launchpad,,,75000,7
FREL,freela,DAO,,,75000,3
TXT,taxa-token,Infrastructure,,,75000,1
PLD,plutonian-dao,Gaming,,,75000,10
XED,exeedme,Gaming,,,75000,4
KPAD,kickpad,Launchpad,,,75000,4
UNV,unvest,,,,75000,5
NFTL,nftlaunch,NFT,,,75000,4
DES,despace-protocol,DeFi,,,75000,6
SNE,strongnode,Infrastructure,,,75000,6
SCAR,velhalla,Metaverse,,,75000,3
KBOX,the-killbox-game,Gaming,,,75000,7
DWZ,dopewarz,Gaming,,,75000,8
UNB,unbound-finance,AMM,,,75000,5
LUS,luna-rush,Gaming,,,75000,7
HIMO,himo-world,Gaming,,,75000,7
ZWZ,zombie-world-z,BNB Chain Ecosystem,,,75000,3
ECOX,ecox,Ethereum Ecosystem,,,75000,5
IRL,rebase-token,Web 3.0,,,75000,5
BULL,bullieverse,Metaverse,,,75434,8
CATE,catecoin,Meme,,,76080,2
SRG,street-runner-ico,Gaming,,,76800,4
AXL,axelar,Infrastructure,,,80000,6
SN,spacen,,,,80000,1
OAS,oasys,Gaming,,,80000,3
RAMP,ramp,DeFi,,,80000,2
LEVER,leverfi,DeFi,,,80000,4
WNDR,wonderman-nation,Play to Earn,,,80000,5
UPO,uponly-token,Play to Earn,,,80000,6
SNTR,sentre,Protocol,,,80000,2
FYN,affyn,Metaverse,,,80000,13
METAV,metavpad,Metaverse,,,80000,8
FARA,faraland,NFT,,,80000,6
KAP,kapital-dao,Web 3.0,,,80000,2
MEAN,meanfi,Finance,,,80000,4
GRBE,green-beli,Gaming,,,80000,3
TTT,tabtrader,DeFi,,,80000,3
CRF,crafting-finance,Protocol,,,80000,1
KBD,kyberdyne,Gaming,,,80000,4
WE,webuy,NFT,,,80000,7
ELS,ethlas,Gaming,,,80000,6
EQZ,equalizer,Polygon Ecosystem,,,80000,5
SPIRIT,spiritswap,DEX,,,80000,1
PRL,the-parallel,Metaverse,,,80000,5
FADO,fado-go,DeFi,,,80752,5
STARL,starlink,Metaverse,,,80968,1
EBOX,ebox,Cryptocurrency,,,81250,4
DEPO,depocket,DeFi,,,84000,5
EQX,eqifi,DeFi,,,84380,5
STMX,storm,Media,,,85000,6
FMT,finminity,Zendit IDO,,,85000,3
SIDUS,sidus,Gaming,,,87500,8
SENATE,senate,Cryptocurrency,,,87500,9
CELT,celestial,Gaming,,,89230,2
IBY,ibetyou,TrustPad IDO,,,89250,7
WEMIX,wemix-token,Gaming,,,89411,1
POLK,polkamarkets,DeFi,,,90000,2
PMON,polychain-monsters,NFT,,,90000,2
DHV,dehive,Yield Farming,,,90000,5
PINK,dot-finance,BSCPad IDO,,,90000,5
NORD,nord-finance,Polygon Ecosystem,,,90000,3
FMG,fm-gallery,NFT,,,90000,2
ASW,adaswap,DEX,,,90000,5
QTC,qitchain-network,Application,,,90480,1
FLOKI,floki-inu,Meme,,,91600,3
GAFI,gamefi,Gaming,,,92000,5
MSTR,monsterra,Gaming,,,92000,4
XETA,xana,Metaverse,,,95000,4
OTAKU,fomo-chronicles-manga,NFT,,,95000,5
TNODE,trusted-node,DeFi,,,95000,2
MITA,legends-of-mitra,Gaming,,,95000,4
WAL,the-wasted-lands,Gaming,,,95000,5
SLC,solice,VR,,,95040,7
FIN,definer,DeFi,,,96000,5
FROYO,froyo-games,PancakeSwap IDO,,,97000,3
UNFI,unifi-protocol-dao,DeFi,,,97500,2
ARES,ares-protocol,Oracle,,,97500,7
GOV,govworld,NFT,,,97500,6
ALT,aptoslaunch-token,Launchpad,,,97500,4
RAM,ramifi,Rebase Tokens,,,99000,3
EVA,evanesco-network,,,,99000,3
PPAD,playpad,Gaming,,,99500,5
MHT,mouse-haunt,Gaming,,,99500,2
MAKI,makiswap,DeFi,,,99803,4
LUNR,lunr-token,Social,,,99962,3
AIOZ,aioz-network,DePIN,,,100000,3
LISTA,lista-dao,Liquid Staking Protocols,,,100000,2
CTSI,cartesi,Oracle,,,100000,3
CPOOL,clearpool,DeFi,,,100000,4
CGPT,chaingpt,Artificial Intelligence (AI),,,100000,7
IXS,ix-swap,RWA (Real World Assets),,,100000,4
HPO,humanscape,DeSci,,,100000,2
GRND,superwalk,Move To Earn,,,100000,1
AITECH,solidus-ai-tech,Artificial Intelligence (AI),,,100000,9
ALICE,my-neighbor-alice,Metaverse,,,100000,2
DAO,dao-maker,Launchpad,,,100000,3
CWEB,coinweb,Blockchain,,,100000,6
SIS,symbiosis-finance,Protocol,,,100000,6
MLT,media-licensing-token,,,,100000,3
AZERO,aleph-zero,Blockchain,,,100000,6
BLOK,bloktopia,Gaming,,,100000,7
CERE,cere-network,Big Data,,,100000,11
ZCX,unizen,DEX,,,100000,4
TAKI,taki,Social,,,100000,4
KATA,katana-inu,Play to Earn,,,100000,12
ROUTE,route,Infrastructure,,,100000,4
GZONE,gamezone,BSCPad IDO,,,100000,5
OOE,openocean,DeFi,,,100000,5
CHO,choise-com,DeFi,,,100000,5
MTRG,meter,Gate.io Launchpad,,,100000,5
PUSH,ethereum-push-notification-service,Infrastructure,,,100000,4
SAI,sharpe,Artificial Intelligence (AI),,,100000,3
DIP,etherisc,Insurance,,,100000,2
CARR,carnomaly,,,,100000,11
ML,mintlayer,Layer-2,,,100000,3
GEEQ,geeq,,,,100000,3
LTX,lattice-token,Yield Farming,,,100000,3
XRWA,xend-finance,DeFi,,,100000,6
HAPI,hapi,Oracle,,,100000,4
PZP,playzap,Gaming,,,100000,8
SIN,sin-city,NFT,,,100000,5
BCUBE,b-cube-ai,,,,100000,7
LOA,league-of-ancients,NFT,,,100000,4
GQ,outer-ring,BNB Chain Ecosystem,,,100000,8
UXP,uxd-protocol-token,Algorithmic Stablecoins,,,100000,3
DOGA,dogami,Gaming,,,100000,5
VOLT,voltage-finance,CEX,,,100000,4
ADAPAD,adapad,Launchpad,,,100000,4
ROCO,roco-finance,Avalanche Ecosystem,,,100000,3
IOEN,internet-of-energy-network,DeFi,,,100000,6
QUAD,quadency,DeFi,,,100000,6
MA,mind-ai-2,Blockchain Service,,,100000,2
PKR,polker,Gambling,,,100000,5
METO,metafluence,Metaverse,,,100000,8
MSHEESHA,sheesha-finance-polygon,Finance,,,100000,4
OZONE,ozone-metaverse,Web 3.0,,,100000,7
PORTX,chainport,Multi-Chain Platform,,,100000,7
BCMC,blockchain-monster-hunt,Gaming,,,100000,4
CHMB,chumbai-valley,Gaming,,,100000,3
ZIX,coinzix,CEX,,,100000,3
ZLK,zenlink-network-token,DEX,,,100000,2
FINA,defina-finance,BNB Chain Ecosystem,,,100000,3
VEGA,vega-protocol,Derivatives,,,100000,6
JAM,geojam,Social,,,100000,5
MOOO,hashtagger,Cryptocurrency,,,100000,3
UNDEAD,undead-blocks,Gaming,,,100000,3
THG,thetan-arena,Play to Earn,,,100000,4
FEAR,fear,Gaming,,,100000,3
WAG,wagyuswap,BSCPad IDO,,,100000,2
UDO,unido-ep,Polkadot Ecosystem,,,100000,3
PLSPAD,pulsepad,BSCPad IDO,,,100000,6
PTS,petals,Social,,,100000,1
FUFU,fufu,NFT,,,100000,3
FORWARD,forward-protocol,Infrastructure,,,100000,4
GCOIN,galaxy-fight-club,Gaming,,,100000,4
SOLX,soldex,Solana Ecosystem,,,100000,6
TIDAL,tidal-finance,Insurance,,,100000,2
SPDR,spiderdao,Polkadot Ecosystem,,,100000,2
WAG,waggle-network,Investment,,,100000,3
WORK,work-x,Infrastructure,,,100000,7
ATS,atlas-dex,DeFi,,,100000,4
XFIT,xfit,Ignition IDO,,,100000,2
XP,polkafantasy,Play to Earn,,,100000,3
MONS,monsters-clan,,,,100000,5
RICE,daosquare,DAO,,,100000,5
BPAD,blokpad,Launchpad,,,100000,5
ANML,animal-concerts,Metaverse,,,100000,12
ORT,xreators,NFT,,,100000,1
AZY,amazy,BNB Chain Ecosystem,,,100000,5
HYPC,hypercycle,,,,100000,6
SPT,seapad,Launchpad,,,100000,4
UPI,pawtocol,Gate.io Launchpad,,,100000,1
BFLY,butterfly-protocol-2,NFT,,,100000,4
VTX,vortex-defi,,,,100000,2
KYL,kylin-network,Oracle,,,100000,3
LABSV2,labs-group,Polygon Ecosystem,,,100000,3
BBANK,blockbank,Ignition IDO,,,100000,6
ORAO,orao-network,Oracle,,,100000,5
LEV,lever-network,DeFi,,,100000,4
POLX,polylastic,Index,,,100000,3
PNODE,pinknode,Polkastarter IDO,,,100000,3
PROT,prostarter-token,,,,100000,6
KALLY,polkally,Polkadot Ecosystem,,,100000,3
N1,nftify,Ignition IDO,,,100000,5
STC,saitama-inu,,,,100000,1
INVEST,investdex,BSCPad IDO,,,100000,5
LQT,liquidifty,TrustPad IDO,,,100000,5
SPWN,bitspawn,Solana Ecosystem,,,100000,5
IPAD,infinity-pad,Launchpad,,,100000,2
X22,x22,NFT,,,100000,5
CIRUS,cirus,Big Data,,,100000,3
RELAY,relay-token,DeFi,,,100000,1
CSWAP,crossswap,DEX,,,100000,3
KABY,kaby-arena,Red Kite IDO,,,100000,3
CTR,creator-platform,Ignition IDO,,,100000,5
CYS,cyclos,Solana Ecosystem,,,100000,4
UM,continuum-world,Gaming,,,100000,3
PSB,planet-sandbox,Gaming,,,100000,4
CPO,cryptopolis,Gaming,,,100000,4
