project_name,project_slug,investor_count,total_invested_usd,market_cap_usd,roi,category,investors
Aptos,aptos,4,450000000,1270000000.0,2.82,Blockchain,Andreessen Horowitz (a16z); Jump Crypto; Multicoin Capital; Binance Labs
AltLayer,altlayer,4,28800000,62390000.0,2.17,Blockchain Service,Jump Crypto; Polychain Capital; Balaji Srinivasan; Binance Labs
Nym,nym,4,27500000,40510000.0,1.47,Privacy Coin,Andreessen Horowitz (a16z); Polychain Capital; 1Kx; Binance Labs
Nervos Network,nervos-network,4,112672000,123470000.0,1.10,Blockchain,Multicoin Capital; Polychain Capital; 1Confirmation; 1Kx
Puffer,puffer-finance,4,36650000,23690000.0,0.65,Liquid Staking Protocols,Jump Crypto; Lightspeed Venture Partners; Electric Capital; Binance Labs
Helium,helium,4,615000000,339110000.0,0.55,Social,Andreessen Horowitz (a16z); Multicoin Capital; Union Square Ventures Usv; Pantera Capital
Axie Infinity,axie-infinity,4,457500000,172280000.0,0.38,Gaming,Andreessen Horowitz (a16z); Paradigm; Mark Cuban; Binance Labs
Babylon,babylon,4,158000000,53070000.0,0.34,Blockchain,Polychain Capital; Framework Ventures; Paradigm; Binance Labs
Hashflow,hashflow,4,78200000,21200000.0,0.27,DEX,Jump Crypto; Electric Capital; Balaji Srinivasan; Ideo Colab Ventures
FTX Token,ftx-token,4,1700000000,204670000.0,0.12,CEX,Multicoin Capital; Lightspeed Venture Partners; Paradigm; Binance Labs
Everclear,connext,4,36500000,2600000.0,0.07,DeFi,Egirl Capital; Polychain Capital; 1Kx; Pantera Capital
Handshake,handshake,4,40800000,2130000.0,0.05,Infrastructure,Andreessen Horowitz (a16z); Polychain Capital; Ideo Colab Ventures; Pantera Capital
ECOx,ecox,4,240000000,2710000.0,0.01,Ethereum Ecosystem,Andreessen Horowitz (a16z); Lightspeed Venture Partners; 1Kx; Pantera Capital
Rally,rally-2,4,139313800,1030000.0,0.01,Yield Farming,Andreessen Horowitz (a16z); Balaji Srinivasan; 1Confirmation; Ideo Colab Ventures
ECO,eco,4,240000000,1600000.0,0.01,,Andreessen Horowitz (a16z); Lightspeed Venture Partners; 1Kx; Pantera Capital
XMTP,xmtp,4,80000000,,,Social,Andreessen Horowitz (a16z); Union Square Ventures Usv; Balaji Srinivasan; Ideo Colab Ventures
Maker,maker,4,66500000,,,DeFi,Andreessen Horowitz (a16z); Polychain Capital; Paradigm; 1Confirmation
Certora,certora-ico,4,115200000,,,,Jump Crypto; Electric Capital; Framework Ventures; Balaji Srinivasan
Commonwealth,commonwealth-ico,4,29600000,,,,Polychain Capital; Framework Ventures; Balaji Srinivasan; Ideo Colab Ventures
Polymarket,polymarket,4,203000000,,,DeFi,Polychain Capital; Balaji Srinivasan; 1Confirmation; Vitalik Buterin
Spacemesh,spacemesh,4,60000000,,,Blockchain,Polychain Capital; Electric Capital; Paradigm; 1Kx
XRP,ripple,3,500000000,120960000000.0,241.92,Cryptocurrency,Andreessen Horowitz (a16z); Lightspeed Venture Partners; Pantera Capital
Fluid,instadapp,3,7200000,251530000.0,34.93,DeFi,Balaji Srinivasan; Ideo Colab Ventures; Pantera Capital
Avalanche,avalanche,3,241880000,5770000000.0,23.85,Blockchain,Andreessen Horowitz (a16z); Polychain Capital; Balaji Srinivasan
World,worldcoin,3,165000000,1460000000.0,8.85,Artificial Intelligence (AI),Andreessen Horowitz (a16z); Multicoin Capital; 1Confirmation
vana,vana,3,20000000,82200000.0,4.11,Artificial Intelligence (AI),Polychain Capital; Paradigm; Binance Labs
Compound,compound,3,75000000,303410000.0,4.05,DeFi,Andreessen Horowitz (a16z); Polychain Capital; Paradigm
Liquity,liquity,3,10800000,40760000.0,3.77,DeFi,Polychain Capital; 1Kx; Pantera Capital
Lido DAO,lido-dao,3,143000000,527650000.0,3.69,DeFi,Jump Trading; Andreessen Horowitz (a16z); Paradigm
Story,story,3,185000000,665710000.0,3.60,Blockchain,Andreessen Horowitz (a16z); Polychain Capital; Balaji Srinivasan
Axelar,axelar,3,59608000,135000000.0,2.26,Infrastructure,Polychain Capital; Electric Capital; Binance Labs
Jito,jito-network,3,74200000,164980000.0,2.22,Liquid Staking Protocols,Andreessen Horowitz (a16z); Multicoin Capital; Framework Ventures
Optimism,optimism,3,265000000,585850000.0,2.21,Layer-2,Andreessen Horowitz (a16z); Paradigm; Ideo Colab Ventures
Gearbox Protocol,gearbox-protocol,3,6900000,14950000.0,2.17,Lending Platform,Egirl Capital; 1Kx; Cobie
Keep Network,keep-network,3,23100000,49670000.0,2.15,DeFi,Andreessen Horowitz (a16z); Polychain Capital; Paradigm
corn,corn-2,3,21700000,39720000.0,1.83,Layer-2,Polychain Capital; Framework Ventures; Binance Labs
LayerZero,layerzero,3,196300000,290770000.0,1.48,Blockchain Service,Andreessen Horowitz (a16z); Multicoin Capital; Binance Labs
Manta Network,manta-network,3,26100000,38450000.0,1.47,Blockchain,Multicoin Capital; Polychain Capital; Binance Labs
EigenCloud (prev. EigenLayer),eigenlayer,3,170000000,220850000.0,1.30,Liquid Staking Protocols,Andreessen Horowitz (a16z); Polychain Capital; Electric Capital
Celo,celo,3,80000000,95500000.0,1.19,Layer-2,Andreessen Horowitz (a16z); Polychain Capital; Electric Capital
Chainflip,chainflip,3,25803000,26300000.0,1.02,AMM,Egirl Capital; Framework Ventures; Pantera Capital
Enso,enso,3,14200000,14280000.0,1.01,Blockchain Service,Multicoin Capital; Polychain Capital; Ideo Colab Ventures
DODO,dodo,3,15000000,14950000.0,1.00,DeFi,Framework Ventures; Binance Labs; Pantera Capital
Maverick Protocol,maverick-protocol,3,26000000,23750000.0,0.91,DEX,Jump Crypto; Binance Labs; Pantera Capital
Syndicate,syndicate-3,3,60000000,45110000.0,0.75,Infrastructure,Andreessen Horowitz (a16z); Electric Capital; Ideo Colab Ventures
Monad,monad,3,469000000,281490000.0,0.60,Blockchain,Electric Capital; Paradigm; Cobie
Acala,acala,3,21900000,13120000.0,0.60,DeFi,Polychain Capital; 1Confirmation; Pantera Capital
Sahara AI,sahara-ai,3,111000000,66030000.0,0.59,Artificial Intelligence (AI),Polychain Capital; Binance Labs; Pantera Capital
Goldfinch,goldfinch,3,37700000,22360000.0,0.59,Lending Platform,Andreessen Horowitz (a16z); Balaji Srinivasan; Ideo Colab Ventures
Artificial Liquid Intelligence,alethea-artificial-liquid-intelligence-token,3,44400000,23460000.0,0.53,NFT,Multicoin Capital; Mark Cuban; Ideo Colab Ventures
SynFutures,synfutures,3,50000000,22220000.0,0.44,Perpetual,Polychain Capital; Framework Ventures; Pantera Capital
Aleo,aleo,3,256000000,84880000.0,0.33,Zero Knowledge,Andreessen Horowitz (a16z); Polychain Capital; Balaji Srinivasan
Iron Fish,iron-fish,3,38200000,11930000.0,0.31,Blockchain Service,Andreessen Horowitz (a16z); Electric Capital; Balaji Srinivasan
Parallel Finance,parallel-finance,3,46000000,9460000.0,0.21,Lending Platform,Lightspeed Venture Partners; Polychain Capital; Pantera Capital
Magic Eden,magic-eden,3,390000000,48040000.0,0.12,NFT,Lightspeed Venture Partners; Electric Capital; Paradigm
Push Protocol,ethereum-push-notification-service,3,11510000,1090000.0,0.09,Infrastructure,Jump Crypto; Balaji Srinivasan; Binance Labs
Decentralized Social,bitclout,3,600000000,52770000.0,0.09,Blockchain,Andreessen Horowitz (a16z); Polychain Capital; Pantera Capital
Karura,karura,3,16000000,1280000.0,0.08,Kusama Ecosystem,Polychain Capital; 1Confirmation; Pantera Capital
Anchor Protocol,anchor-protocol,3,60000000,1230000.0,0.02,DeFi,Jump Trading; Ideo Colab Ventures; Pantera Capital
Kalshi,kalshi,3,2185000000,,,Predictions,Andreessen Horowitz (a16z); Multicoin Capital; Paradigm
Seismic,seismic-2,3,27000000,,,Blockchain,Andreessen Horowitz (a16z); Polychain Capital; 1Kx
Blackbird,blackbird,3,111000000,,,Social,Andreessen Horowitz (a16z); Multicoin Capital; Union Square Ventures Usv
Kiosk,kiosk,3,30000000,,,Social,Andreessen Horowitz (a16z); Electric Capital; Union Square Ventures Usv
Espresso Systems,espresso-systems,3,92000000,,,Infrastructure,Andreessen Horowitz (a16z); Polychain Capital; Electric Capital
Pontem Liquidswap,pontem-liquidswap,3,18000000,,,Aptos Ecosystem,Andreessen Horowitz (a16z); Lightspeed Venture Partners; Pantera Capital
Aztec,aztec,3,134000000,,,Blockchain,Andreessen Horowitz (a16z); Paradigm; Vitalik Buterin
Fractal,fractal-ico,3,105000000,,,Gaming,Andreessen Horowitz (a16z); Multicoin Capital; Paradigm
Alchemy,alchemy-ico,3,600000000,,,,Andreessen Horowitz (a16z); Lightspeed Venture Partners; Pantera Capital
Reflexer Ungovernance Token,reflexer-ungovernance-token,3,7540000,,,DeFi,Andreessen Horowitz (a16z); Paradigm; Pantera Capital
Squads,squads,3,21400000,,,Blockchain Service,Jump Crypto; Multicoin Capital; Electric Capital
Membrane Labs,membrane-labs,3,60000000,,,Blockchain Service,Jump Crypto; Electric Capital; Framework Ventures
Chaos Labs,chaos-labs-ico,3,95000000,,,,Jump Crypto; Lightspeed Venture Partners; Balaji Srinivasan
Fordefi,fordefi-ico,3,46000000,,,Wallet,Jump Crypto; Lightspeed Venture Partners; Electric Capital
Ceramic,ceramic-ico,3,90000000,,,,Jump Crypto; Multicoin Capital; Union Square Ventures Usv
Prysm,prysm-ico,3,11000000,,,,Multicoin Capital; Polychain Capital; Balaji Srinivasan
Web3Auth,web3auth,3,28000000,,,Web 3.0,Multicoin Capital; Union Square Ventures Usv; Binance Labs
Karak Network,karak-network,3,144000000,,,Layer-2,Lightspeed Venture Partners; Framework Ventures; Pantera Capital
StablecoinX,stablecoinx,3,1250000000,,,Finance,Polychain Capital; Binance Labs; Pantera Capital
Shogun,shogun,3,13800000,,,DeFi,Polychain Capital; Binance Labs; Cobie
Notional Finance,notional-finance,3,21300000,,,DeFi,Polychain Capital; 1Confirmation; Pantera Capital
Amber Group,amber-group-ico,3,256000000,,,,Polychain Capital; Paradigm; Pantera Capital
Etherealize,etherealize,3,80000000,,,Social,Electric Capital; Paradigm; Vitalik Buterin
Immunefi,immunefi,3,53500000,,,Blockchain Service,Electric Capital; Framework Ventures; Ideo Colab Ventures
Slingshot,slingshot-ico,3,33100000,,,,Electric Capital; Framework Ventures; Ideo Colab Ventures
Daylight,daylight,3,18000000,,,Blockchain Service,Framework Ventures; Union Square Ventures Usv; 1Kx
Opyn Squeeth,opyn-squeeth,3,11020000,,,DeFi,Paradigm; Balaji Srinivasan; 1Kx
Cosmos Hub,cosmos,2,2659000,1060000000.0,398.65,Blockchain,Paradigm; 1Confirmation
Tellor Tributes,tellor,2,400000,57430000.0,143.57,Oracle,Framework Ventures; Binance Labs
MultiversX,multivers-x,2,3800000,219230000.0,57.69,Blockchain,Electric Capital; Binance Labs
Syrup,syrup,2,6400000,297540000.0,46.49,Lending Platform,Polychain Capital; Framework Ventures
THORChain,thorchain,2,5360000,234770000.0,43.80,DeFi,Multicoin Capital; Ideo Colab Ventures
Nexus Mutual,nxm,2,5400000,149590000.0,27.70,Insurance,1Confirmation; 1Kx
Automata,automata,2,1000000,17510000.0,17.51,Blockchain Service,Jump Crypto; Binance Labs
1INCH,1inch,2,14800000,238040000.0,16.08,DEX,Binance Labs; Pantera Capital
Lombard,lombard,2,17000000,185490000.0,10.91,DeFi,Polychain Capital; Binance Labs
Synthetix,synthetix,2,15800000,161640000.0,10.23,DeFi,Framework Ventures; Paradigm
Algorand,algorand,2,124000000,1150000000.0,9.27,Blockchain,Multicoin Capital; Union Square Ventures Usv
Ankr,ankr,2,8250000,74640000.0,9.05,DePIN,Binance Labs; Pantera Capital
Space ID,space-id,2,10000000,89500000.0,8.95,Blockchain Service,Polychain Capital; Binance Labs
APRO,apro,2,3000000,25460000.0,8.49,Blockchain Service,Polychain Capital; Binance Labs
Rangers Protocol,rangers-protocol-gas,2,5000000,41340000.0,8.27,Protocol,Framework Ventures; Pantera Capital
Plasma,xpl,2,41000000,298980000.0,7.29,Blockchain,Framework Ventures; Cobie
Morpho,morpho,2,100000000,644560000.0,6.45,Lending Platform,Andreessen Horowitz (a16z); Pantera Capital
Geodnet,geodnet,2,10000000,64110000.0,6.41,Polygon Ecosystem,Multicoin Capital; Pantera Capital
Amp,amp-token,2,28200000,176070000.0,6.24,Blockchain Service,1Kx; Pantera Capital
Marlin,marlin,2,6000000,35590000.0,5.93,Infrastructure,Electric Capital; Binance Labs
Biconomy,biconomy,2,9000000,50440000.0,5.60,DeFi,Balaji Srinivasan; Binance Labs
Cyber,cyberconnect,2,10000000,49430000.0,4.94,Blockchain Service,Multicoin Capital; Binance Labs
Astar,astar,2,24400000,101660000.0,4.17,Layer-2,Polychain Capital; Binance Labs
Blur,blur,2,22000000,89370000.0,4.06,NFT,Egirl Capital; Paradigm
Yield Guild Games,yield-guild-games,2,15800000,50020000.0,3.17,Gaming,Andreessen Horowitz (a16z); Ideo Colab Ventures
Movement,movement,2,38000000,110710000.0,2.91,Infrastructure,Polychain Capital; Binance Labs
Perpetual Protocol,perpetual-protocol,2,2300000,6600000.0,2.87,Perpetual,Multicoin Capital; Binance Labs
Avalon,avalon-finance,2,10000000,25930000.0,2.59,DeFi,Framework Ventures; Binance Labs
Chiliz,chiliz,2,130000000,327260000.0,2.52,Blockchain,Jump Crypto; Binance Labs
Galxe,project-galaxy,2,20000000,49210000.0,2.46,NFT,Multicoin Capital; Binance Labs
Alchemix,alchemix,2,9800000,23260000.0,2.37,Lending Platform,Egirl Capital; Binance Labs
GAMEE,gamee,2,1500000,3450000.0,2.30,Gaming,Binance Labs; Pantera Capital
CoW Protocol,cow-protocol,2,46000000,105440000.0,2.29,DEX,1Kx; Cobie
The Graph,the-graph,2,210000000,472420000.0,2.25,Big Data,Multicoin Capital; Framework Ventures
Gravity (prev. GAL),gravity-3,2,20000000,42500000.0,2.12,Ethereum Ecosystem,Multicoin Capital; Binance Labs
Numeraire,numeraire,2,41000000,84290000.0,2.06,DeFi,Union Square Ventures Usv; Paradigm
Solend,solend,2,13000000,24220000.0,1.86,Lending Platform,Polychain Capital; Balaji Srinivasan
KGeN,kgen,2,19500000,36180000.0,1.86,Gaming,Jump Crypto; Lightspeed Venture Partners
Drift Protocol,drift-protocol,2,48500000,87440000.0,1.80,Perpetual,Multicoin Capital; Polychain Capital
Solayer,solayer,2,24000000,40820000.0,1.70,Liquid Staking Protocols,Polychain Capital; Binance Labs
Euler,euler,2,40000000,66670000.0,1.67,Lending Platform,Jump Crypto; Paradigm
Mira,mira,2,18000000,28510000.0,1.58,Infrastructure,Framework Ventures; Balaji Srinivasan
Aurora,aurora-near,2,24000000,36330000.0,1.51,Blockchain,Electric Capital; Pantera Capital
Auto Finance,tokemak,2,8000000,11650000.0,1.46,Yield Farming,Electric Capital; Framework Ventures
Mask Network,mask-network,2,42570000,61480000.0,1.44,Social,Balaji Srinivasan; Binance Labs
MyShell,myshell,2,11000000,15730000.0,1.43,Blockchain Service,Balaji Srinivasan; Binance Labs
0x Protocol,0x,2,94000000,118180000.0,1.26,DEX,Polychain Capital; Pantera Capital
FLEX Coin,flex-coin,2,11250000,13820000.0,1.23,CEX,Polychain Capital; Electric Capital
Osmosis,osmosis,2,42000000,51460000.0,1.23,DEX,Paradigm; 1Confirmation
Sign,sign-2,2,37500000,45740000.0,1.22,Infrastructure,Balaji Srinivasan; Binance Labs
aPriori,apriori,2,20000000,24270000.0,1.21,DeFi,Binance Labs; Pantera Capital
Chia,chia,2,66000000,79700000.0,1.21,Blockchain,Andreessen Horowitz (a16z); Ideo Colab Ventures
Blast,blast-l2,2,40000000,43530000.0,1.09,Layer-2,Egirl Capital; Paradigm
Swell,swell-network,2,7500000,8090000.0,1.08,Liquid Staking Protocols,Framework Ventures; Mark Cuban
SuperRare,superrare,2,18000000,19010000.0,1.06,NFT,Mark Cuban; 1Confirmation
Wrapped NCG,wrapped-ncg,2,2600000,2440000.0,0.94,Wrapped Token,Binance Labs; Ideo Colab Ventures
Sperax,sperax,2,12000000,11110000.0,0.93,Stablecoin Issuer,Jump Trading; Polychain Capital
Anoma,anoma,2,51000000,46400000.0,0.91,Infrastructure,Polychain Capital; Electric Capital
Orderly,orderly-network,2,40000000,35720000.0,0.89,Perpetual,Jump Crypto; Pantera Capital
Walrus,walrus-protocol,2,280000000,236910000.0,0.85,Storage,Andreessen Horowitz (a16z); Electric Capital
Infrared BGT,infrared,2,14000000,11400000.0,0.81,DeFi,Framework Ventures; Binance Labs
Ronin,ronin,2,157500000,123450000.0,0.78,Blockchain,Andreessen Horowitz (a16z); Mark Cuban
Layer3,layer3,2,17500000,12460000.0,0.71,Social,Electric Capital; Balaji Srinivasan
MobileCoin,mobilecoin,2,60000000,37200000.0,0.62,Privacy Coin,Multicoin Capital; Binance Labs
StakeStone,stakestone,2,44000000,26860000.0,0.61,Liquid Staking Protocols,Polychain Capital; Binance Labs
Polyhedra Network,polyhedra-network,2,30000000,17680000.0,0.59,Zero Knowledge,Polychain Capital; Binance Labs
WalletConnect Token,walletconnect,2,26000000,15320000.0,0.59,Wallet,Union Square Ventures Usv; 1Kx
DerivaDAO,derivadao,2,5400000,3100000.0,0.57,DeFi,Polychain Capital; Electric Capital
Bitlayer,bitlayer,2,14000000,7190000.0,0.51,Layer-2,Polychain Capital; Framework Ventures
Treehouse,treehouse,2,36000000,18480000.0,0.51,Liquid Staking Tokens (LSTs),Lightspeed Venture Partners; Binance Labs
Safe,safe,2,200000000,102640000.0,0.51,Wallet,Lightspeed Venture Partners; 1Kx
Towns,towns,2,35500000,17560000.0,0.49,Social,Andreessen Horowitz (a16z); Framework Ventures
TrueFi,truefi,2,32500000,15610000.0,0.48,Lending Platform,Jump Trading; Andreessen Horowitz (a16z)
Global Coin Research,global-coin-research,2,2400000,1080000.0,0.45,DAO,1Kx; Ideo Colab Ventures
Wormhole,wormhole,2,450000000,196070000.0,0.44,Blockchain Service,Jump Trading; Multicoin Capital
Across Protocol,across-protocol,2,82000000,35680000.0,0.44,Protocol,Multicoin Capital; Paradigm
Berachain,berachain,2,200000000,83910000.0,0.42,Blockchain,Polychain Capital; Framework Ventures
OpenOcean,openocean,2,3436000,1390000.0,0.40,DeFi,Multicoin Capital; Binance Labs
Orchid Protocol,orchid-protocol,2,40800000,16320000.0,0.40,xDAI Ecosystem,Andreessen Horowitz (a16z); Polychain Capital
GUNZ,gunz-token,2,46000000,17670000.0,0.38,Blockchain,Jump Crypto; 1Kx
Rai Reflex Index,rai,2,5840000,2200000.0,0.38,Backed Tokens,Paradigm; Pantera Capital
Forta,forta,2,46000000,14230000.0,0.31,Blockchain Service,Andreessen Horowitz (a16z); Ideo Colab Ventures
Index Cooperative,index-cooperative,2,15400000,4090000.0,0.27,DeFi,1Confirmation; 1Kx
MATH,math,2,19800000,4980000.0,0.25,Wallet,Multicoin Capital; Binance Labs
League of Kingdoms,league-of-kingdoms,2,6200000,1220000.0,0.20,Gaming,Andreessen Horowitz (a16z); Binance Labs
Stride,stride,2,10700000,1850000.0,0.17,Liquid Staking Protocols,1Confirmation; Pantera Capital
MilkyWay,milkyway-2,2,10000000,1600000.0,0.16,DeFi,Polychain Capital; Binance Labs
fxhash,fxhash,2,10000000,1370000.0,0.14,NFT,Union Square Ventures Usv; 1Kx
Futureswap,futureswap,2,13550000,1670000.0,0.12,Perpetual,Framework Ventures; Ideo Colab Ventures
Superfluid,superfluid,2,14100000,1720000.0,0.12,DeFi,Multicoin Capital; Balaji Srinivasan
ParagonsDAO,paragonsdao,2,54145000,5960000.0,0.11,DAO,Framework Ventures; Paradigm
Mythos,mythos,2,187000000,19190000.0,0.10,Gaming,Andreessen Horowitz (a16z); Binance Labs
Fei USD,fei-usd,2,38000000,3270000.0,0.09,Stablecoin,Andreessen Horowitz (a16z); Framework Ventures
Archway,archway,2,42000000,1470000.0,0.04,Cosmos Ecosystem,1Confirmation; Ideo Colab Ventures
Pintu Token,pintu-token,2,226000000,2730000.0,0.01,Cryptocurrency,Lightspeed Venture Partners; Pantera Capital
Ostium Labs,ostium-labs,2,23500000,,,DeFi,Jump Trading; Balaji Srinivasan
Pyth Network,pyth-network,2,0,377310000.0,,Oracle,Jump Trading; Multicoin Capital
Doppel,doppel,2,75000000,,,Blockchain Service,Andreessen Horowitz (a16z); Balaji Srinivasan
Daylight,daylight-2,2,150000000,,,DePIN,Andreessen Horowitz (a16z); Framework Ventures
Miden,miden,2,50000000,,,Blockchain,Andreessen Horowitz (a16z); 1Kx
Phantom,phantom,2,300000000,,,Wallet,Andreessen Horowitz (a16z); Paradigm
OpenGradient,opengradient,2,17000000,,,Infrastructure,Andreessen Horowitz (a16z); Balaji Srinivasan
MeshMap,meshmap,2,8000000,,,Blockchain Service,Andreessen Horowitz (a16z); Balaji Srinivasan
Fermah,fermah,2,10400000,,,Zero Knowledge,Andreessen Horowitz (a16z); Balaji Srinivasan
Magicblock,magicblock,2,10500000,,,Infrastructure,Andreessen Horowitz (a16z); Lightspeed Venture Partners
Moku,moku,2,10700000,,,Gaming,Andreessen Horowitz (a16z); Framework Ventures
Neynar,neynar,2,22000000,,,Infrastructure,Andreessen Horowitz (a16z); Union Square Ventures Usv
Friends With Benefits Pro,friends-with-benefits-pro,2,3700000,,,,Andreessen Horowitz (a16z); Polychain Capital
Pimlico,pimlico,2,5800000,,,Infrastructure,Andreessen Horowitz (a16z); 1Confirmation
IYK,iyk,2,33600000,,,Web 3.0,Andreessen Horowitz (a16z); 1Kx
Proof of Play,proof-of-play,2,66000000,,,Gaming,Andreessen Horowitz (a16z); Balaji Srinivasan
Mythical Games,mythical-games,2,187000000,,,Gaming,Andreessen Horowitz (a16z); Binance Labs
Azra Games,azra-games,2,52000000,,,Gaming,Andreessen Horowitz (a16z); Pantera Capital
Golden,golden-ico,2,54500000,,,,Andreessen Horowitz (a16z); Balaji Srinivasan
Tally Labs,tally-labs-ico,2,24000000,,,,Andreessen Horowitz (a16z); Framework Ventures
DuskBreakers,duskbreakers-ico,2,48000000,,,,Andreessen Horowitz (a16z); Pantera Capital
Bitfinity Network ,bitfinity-network,2,13500000,,,Blockchain,Andreessen Horowitz (a16z); Polychain Capital
Element Finance,element-finance-ico,2,64000000,,,,Andreessen Horowitz (a16z); Polychain Capital
ValoraApp,valoraapp-ico,2,40000000,,,Wallet,Andreessen Horowitz (a16z); Polychain Capital
Basis Cash,basis-cash,2,266000000,,,Algorithmic Stablecoins,Andreessen Horowitz (a16z); Lightspeed Venture Partners
Raiku,raiku,2,22500000,,,Infrastructure,Jump Crypto; Pantera Capital
Forward Industries,forward-industries,2,3300000000,,,Finance,Jump Crypto; Multicoin Capital
Coinflow,coinflow-ico,2,27250000,,,,Jump Crypto; Pantera Capital
Figure Markets,figure-markets,2,120000000,,,Finance,Jump Crypto; Pantera Capital
Irreducible,irreducible,2,39000000,,,Infrastructure,Jump Crypto; Paradigm
Backpack,backpack,2,40000000,,,CEX,Jump Crypto; Multicoin Capital
MoHash,mohash,2,12000000,,,DeFi,Jump Crypto; Balaji Srinivasan
Satori,satori,2,20000000,,,DEX,Jump Crypto; Polychain Capital
Trisolaris,trisolaris,2,9000000,,,DEX,Jump Crypto; Electric Capital
Aurigami,aurigami,2,19000000,,,Lending Platform,Jump Crypto; Polychain Capital
Gradient Network,gradient-network,2,20000000,,,Infrastructure,Multicoin Capital; Pantera Capital
Arch Network,arch-network,2,20000000,,,Infrastructure,Multicoin Capital; Pantera Capital
Mezo,mezo,2,42000000,,,Blockchain,Multicoin Capital; Pantera Capital
Zama,zama,2,130000000,,,Infrastructure,Multicoin Capital; Pantera Capital
Marginfi,marginfi,2,6000000,,,Lending Platform,Multicoin Capital; Pantera Capital
Lore,lore-ico,2,8000000,,,,Multicoin Capital; Balaji Srinivasan
Fin (Prev. TipLink),fin,2,23000000,,,Blockchain Service,Multicoin Capital; Pantera Capital
Community Gaming,community-gaming,2,32000000,,,Gaming,Multicoin Capital; Binance Labs
Fluence,fluence,2,15000000,,,DePIN,Multicoin Capital; 1Kx
Exotic Markets,exotic-markets,2,10000000,,,Oracle,Multicoin Capital; Paradigm
Dune Analytics,dune-analytics,2,77420000,,,Blockchain Service,Multicoin Capital; Union Square Ventures Usv
Swivel Finance,swivel-finance-ico,2,4650000,,,,Multicoin Capital; Electric Capital
Sommelier,sommelier,2,26500000,,,DeFi,Multicoin Capital; Polychain Capital
Furucombo,furucombo,2,3700000,,,DeFi,Multicoin Capital; 1Kx
Tari,tari,2,0,,,Protocol,Multicoin Capital; Pantera Capital
Standard Economics,standard-economics,2,18000000,,,Blockchain Service,Lightspeed Venture Partners; Paradigm
