project_name,project_slug,fund_name,amount_usd,stage,date,category,market_cap,project_roi
Linera,linera,Andreessen Horowitz (a16z),6000000,Seed Round,1654041600000,Infrastructure,,
PartyDAO,partydao,Andreessen Horowitz (a16z),16400000,Seed Round,1654041600000,,,
BitCraft,bitcraft-ico,Andreessen Horowitz (a16z),22000000,Series A Round,1654041600000,,,
Entrepreneur First,entrepreneur-first-ico,Andreessen Horowitz (a16z),158000000,Series C Round,1654041600000,,,
TipTop,tiptop,Andreessen Horowitz (a16z),23000000,Series A,1652313600000,Infrastructure,,
Tally Labs,tally-labs-ico,Andreessen Horowitz (a16z),12000000,Seed Round,1651363200000,,,
DuskBreakers,duskbreakers-ico,Andreessen Horowitz (a16z),24000000,Seed Round,1651363200000,,,
Flowcarbon,flowcarbon-ico,Andreessen Horowitz (a16z),70000000,Funding Round,1651363200000,,,
Loop Crypto,loop-crypto,Andreessen Horowitz (a16z),4000000,Seed Round,1649808000000,Infrastructure,,
Axie Infinity,axie-infinity,Andreessen Horowitz (a16z),150000000,Funding Round,1648771200000,Gaming,172280000.0,0.38
Fractal,fractal-ico,Andreessen Horowitz (a16z),35000000,Seed Round,1648771200000,Gaming,,
Pahdo Labs,pahdo-labs,Andreessen Horowitz (a16z),15000000,Series A,1648684800000,Gaming,,
ApeCoin,apecoin,Andreessen Horowitz (a16z),450000000,Equity Round,1647907200000,Metaverse,170930000.0,0.38
Lido DAO,lido-dao,Andreessen Horowitz (a16z),70000000,Venture Round 2,1646265600000,DeFi,527650000.0,3.69
Helium,helium,Andreessen Horowitz (a16z),200000000,Series D Round,1645228800000,Social,339110000.0,0.55
Alchemy,alchemy-ico,Andreessen Horowitz (a16z),200000000,Series C Extended,1644192000000,,,
POL (ex-MATIC),polygon-ecosystem-token,Andreessen Horowitz (a16z),450000000,Funding Round,1643673600000,Layer-2,1270000000.0,2.82
Aleo,aleo,Andreessen Horowitz (a16z),200000000,Series B,1643673600000,Zero Knowledge,84880000.0,0.33
Polygon,matic-network,Andreessen Horowitz (a16z),450000000,Funding Round,1643673600000,Blockchain,,
Sovrun,breederdao,Andreessen Horowitz (a16z),10000000,Series A,1643328000000,Gaming,4670000.0,0.47
Near,near,Andreessen Horowitz (a16z),150000000,Funding Round,1640995200000,Blockchain,2150000000.0,14.01
Goldfinch,goldfinch,Andreessen Horowitz (a16z),25000000,Funding Round,1640995200000,Lending Platform,22360000.0,0.59
Bitfinity Network ,bitfinity-network,Andreessen Horowitz (a16z),1500000,Seed Round,1640736000000,Blockchain,,
League of Kingdoms,league-of-kingdoms,Andreessen Horowitz (a16z),3100000,Private Sale,1638316800000,Gaming,1220000.0,0.20
Iron Fish,iron-fish,Andreessen Horowitz (a16z),27600000,Series A Round,1638230400000,Blockchain Service,11930000.0,0.31
Nym,nym,Andreessen Horowitz (a16z),13000000,Funding Round,1635724800000,Privacy Coin,40510000.0,1.47
Nansen,nansen,Andreessen Horowitz (a16z),75000000,Series B Round,1635724800000,Blockchain Service,,
Forte,forte,Andreessen Horowitz (a16z),725000000,Series B Round,1635724800000,Blockchain Service,,
Element Finance,element-finance-ico,Andreessen Horowitz (a16z),32000000,Series A,1634601600000,,,
Ronin,ronin,Andreessen Horowitz (a16z),150000000,Series B Round,1633046400000,Blockchain,123450000.0,0.78
Forta,forta,Andreessen Horowitz (a16z),23000000,Venture Round,1632960000000,Blockchain Service,14230000.0,0.31
Decentralized Social,bitclout,Andreessen Horowitz (a16z),200000000,Venture Round,1632355200000,Blockchain,52770000.0,0.09
ANGLE,angle-protocol,Andreessen Horowitz (a16z),5000000,Seed Round,1630454400000,Protocol,3190000.0,0.64
TrueFi,truefi,Andreessen Horowitz (a16z),12500000,Private Sale,1628121600000,Lending Platform,15610000.0,0.48
Syndicate,syndicate-3,Andreessen Horowitz (a16z),20000000,Series A Round,1627776000000,Infrastructure,45110000.0,0.75
Virtually Human Studio,virtually-human-studio-ico,Andreessen Horowitz (a16z),20000000,Series A,1626868800000,,,
ECOx,ecox,Andreessen Horowitz (a16z),60000000,Series B,1625097600000,Ethereum Ecosystem,2710000.0,0.01
ECO,eco,Andreessen Horowitz (a16z),60000000,Series B,1625097600000,,1600000.0,0.01
ValoraApp,valoraapp-ico,Andreessen Horowitz (a16z),20000000,Seed Round,1625097600000,Wallet,,
dYdX,dydx,Andreessen Horowitz (a16z),65000000,Series C,1623715200000,DEX,156400000.0,0.58
Solana,solana,Andreessen Horowitz (a16z),314150000,Private Sale,1623246360000,Blockchain,74130000000.0,58.99
Bitski,bitski-ico,Andreessen Horowitz (a16z),19000000,Series A,1620259200000,,,
Chia,chia,Andreessen Horowitz (a16z),61000000,Series D Round,1619827200000,Blockchain,79700000.0,1.21
RTFKT Studios,rtfkt-studios-ico,Andreessen Horowitz (a16z),8000000,Founding Round,1619827200000,,,
Fei USD,fei-usd,Andreessen Horowitz (a16z),19000000,Private Round,1615161600000,Stablecoin,3270000.0,0.09
Rally,rally-2,Andreessen Horowitz (a16z),34828450,Community Treasury Fundraise,1609372800000,Yield Farming,1030000.0,0.01
Reflexer Ungovernance Token,reflexer-ungovernance-token,Andreessen Horowitz (a16z),1700000,Seed Round,1596585600000,DeFi,,
Arweave,arweave,Andreessen Horowitz (a16z),8300000,Private Round,1580515200000,Storage,256959999.99999997,7.74
Compound,compound,Andreessen Horowitz (a16z),25000000,Series A,1576022400000,DeFi,303410000.0,4.05
Avalanche,avalanche,Andreessen Horowitz (a16z),5940000,Seed Round,1548979200000,Blockchain,5770000000.0,23.85
Celo,celo,Andreessen Horowitz (a16z),30000000,Pre-launch sale 2,1546300800000,Layer-2,95500000.0,1.19
Keep Network,keep-network,Andreessen Horowitz (a16z),7700000,Venture Round,1543708800000,DeFi,49670000.0,2.15
Handshake,handshake,Andreessen Horowitz (a16z),10200000,Private Sale,1530403200000,Infrastructure,2130000.0,0.05
Oasis,oasis-network,Andreessen Horowitz (a16z),45000000,Backers,1526688000000,Blockchain,92900000.0,0.34
Orchid Protocol,orchid-protocol,Andreessen Horowitz (a16z),36100000,Pre-Sale,1524182400000,xDAI Ecosystem,16320000.0,0.40
Basis Cash,basis-cash,Andreessen Horowitz (a16z),133000000,Funding Round,1524009600000,Algorithmic Stablecoins,,
Internet Computer,internet-computer,Andreessen Horowitz (a16z),102000000,Pre-Sale,1522540800000,Blockchain,1820000000.0,4.96
Maker,maker,Andreessen Horowitz (a16z),15000000,Seed Round 2,1517443200000,DeFi,,
XRP,ripple,Andreessen Horowitz (a16z),,Funding Round,1364774400000,Cryptocurrency,120960000000.0,241.92
KGeN,kgen,Jump Crypto,13500000,Strategic Round,1759190400000,Gaming,36180000.0,1.86
zerohash,zerohash,Jump Crypto,104000000,Extended Series D,1758585600000,Blockchain Service,,
Raiku,raiku,Jump Crypto,11250000,Seed Round,1758585600000,Infrastructure,,
Forward Industries,forward-industries,Jump Crypto,1650000000,PIPE,1757289600000,Finance,,
SOON,soon,Jump Crypto,5000000,Strategic Round,1749600000000,Blockchain Service,213400000.0,42.68
Cooking.City,cooking-city,Jump Crypto,7000000,Funding Round,1748563200000,Memepad,,
Nirvana Labs,nirvana-labs,Jump Crypto,6000000,Extended Seed Round,1747094400000,Infrastructure,,
Securitize,securitize,Jump Crypto,,Strategic Round,1746662400000,Finance,,
Momentum,momentum-3,Jump Crypto,5000000,Seed Round,1743379200000,DEX,42130000.0,8.43
Streamflow,streamflow,Jump Crypto,1900000,Funding Round,1730073600000,Blockchain Service,2340000.0,1.23
Nodepay,nodecoin-2,Jump Crypto,,Funding Round,1727481600000,Artificial Intelligence (AI),,
Nexus Interactive,nexus-interactive,Jump Crypto,2000000,Seed Round,1724112000000,Gaming,,
Play AI,play-ai,Jump Crypto,4300000,Seed Round,1716940800000,Infrastructure,,
Coinflow,coinflow-ico,Jump Crypto,2250000,Seed Round,1716854400000,,,
Figure Markets,figure-markets,Jump Crypto,60000000,Series A,1710720000000,Finance,,
Squads,squads,Jump Crypto,5700000,Strategic Round,1697414400000,Blockchain Service,,
Membrane Labs,membrane-labs,Jump Crypto,20000000,Series A,1696982400000,Blockchain Service,,
OpenCover,opencover,Jump Crypto,4600000,Seed Round,1694044800000,DeFi,,
LuminaDEX,luminadex,Jump Crypto,,Strategic Round,1692748800000,DeFi,,
ZTX,ztx,Jump Crypto,13000000,Seed Round,1692057600000,Social,2009999.9999999998,0.15
Affine,affine,Jump Crypto,7000000,Funding Round,1691712000000,Liquid Staking Protocols,,
Xverse,xverse-wallet,Jump Crypto,5000000,Seed Round,1691625600000,Blockchain Service,,
OutDID,outdid,Jump Crypto,2500000,Seed Round,1687996800000,Blockchain Service,,
Cetus Protocol,cetus-protocol,Jump Crypto,,Seed Round,1682985600000,DEX,24530000.0,
Delphi Labs,delphi-labs-ico,Jump Crypto,13500000,Funding Round,1680598800000,,,
P2P Validator,p2p-validator-ico,Jump Crypto,23000000,Series A Round,1680307200000,,,
Puffer,puffer-finance,Jump Crypto,650000,Pre-seed,1675209600000,Liquid Staking Protocols,23690000.0,0.65
Port3 Network,port3-network,Jump Crypto,3000000,Seed Round,1675209600000,DePIN,2190000.0,0.73
C3,c3-ico,Jump Crypto,6000000,Seed Round,1675209600000,,,
Kolibrio,kolibrio-ico,Jump Crypto,2000000,Seed Round,1675209600000,,,
Chaos Labs,chaos-labs-ico,Jump Crypto,20000000,Seed Round,1675209600000,,,
VRRB,vrrb-ico,Jump Crypto,1400000,Pre-seed Round,1675209600000,,,
Irreducible,irreducible,Jump Crypto,15000000,Seed Round,1672531200000,Infrastructure,,
Outdefine,outdefine-ico,Jump Crypto,2500000,Seed Round,1669852800000,,,
Arcium,arcium,Jump Crypto,3500000,Seed Round,1667433600000,,,
Fordefi,fordefi-ico,Jump Crypto,18000000,Seed Round,1667260800000,Wallet,,
Celestia,celestia,Jump Crypto,55000000,Series A&B Round,1666137600000,Modular Blockchain,496030000.0,1.86
Backpack,backpack,Jump Crypto,20000000,Strategic Round,1664323200000,CEX,,
MystenLabs,mystenlabs-ico,Jump Crypto,300000000,Series B Round,1662595200000,,,
Sui,sui,Jump Crypto,300000000,Series B,1661990400000,Blockchain,5810000000.0,4.70
Fly,fly-2,Jump Crypto,3000000,Seed Round,1661990400000,DeFi,,
Injective,injective-protocol,Jump Crypto,40000000,Funding Round,1660521600000,Blockchain,541840000.0,7.74
GUNZ,gunz-token,Jump Crypto,46000000,Funding Round,1659312000000,Blockchain,17670000.0,0.38
Aptos,aptos,Jump Crypto,150000000,Series A,1658707200000,Blockchain,1270000000.0,2.82
Hashflow,hashflow,Jump Crypto,25000000,Series A,1656633600000,DEX,21200000.0,0.27
Oasys,oasys,Jump Crypto,20000000,Private Round,1656633600000,Gaming,12960000.0,0.65
MoHash,mohash,Jump Crypto,6000000,Seed Round,1656547200000,DeFi,,
Euler,euler,Jump Crypto,32000000,Funding Round,1654041600000,Lending Platform,66670000.0,1.67
AltLayer,altlayer,Jump Crypto,7200000,Seed Round,1654041600000,Blockchain Service,62390000.0,2.17
Orderly,orderly-network,Jump Crypto,20000000,Strategic Round,1654041600000,Perpetual,35720000.0,0.89
zCloak,zcloak-ico,Jump Crypto,5800000,Series A,1654041600000,,,
Satori,satori,Jump Crypto,10000000,Seed Round,1652659200000,DEX,,
Certora,certora-ico,Jump Crypto,36000000,Series B Round,1651363200000,,,
double jump.tokyo,double-jump-tokyo,Jump Crypto,24000000,Series C,1651104000000,Gaming,,
Push Protocol,ethereum-push-notification-service,Jump Crypto,10100000,Series A,1648771200000,Infrastructure,1090000.0,0.09
Trisolaris,trisolaris,Jump Crypto,4500000,Seed Round,1648771200000,DEX,,
OpenBlox,openblox,Jump Crypto,3000000,Seed Round,1648512000000,NFT,,
Burrow,burrow,Jump Crypto,5000000,Seed Round,1646092800000,Lending Platform,,
Slope,slope-ico,Jump Crypto,8000000,Series A Round,1645660800000,,,
Maverick Protocol,maverick-protocol,Jump Crypto,8000000,Strategic Round,1645056000000,DEX,23750000.0,0.91
Ref Finance,ref-finance,Jump Crypto,4800000,Strategic Round,1645056000000,Near Ecosystem,2970000.0,0.62
Aurigami,aurigami,Jump Crypto,9500000,Strategic Round,1643673600000,Lending Platform,,
Conduit,conduit-2,Jump Crypto,17000000,Seed Round,1642032000000,Blockchain Service,,
Folks,folks-finance,Jump Crypto,3000000,Seed Round,1640995200000,Lending Platform,193050000.0,64.35
Ceramic,ceramic-ico,Jump Crypto,30000000,Series A Round,1640995200000,,,
HXRO,hxro,Jump Crypto,34000000,Strategic Round,1635724800000,Solana Ecosystem,,
Automata,automata,Jump Crypto,1000000,Seed,1615161600000,Blockchain Service,17510000.0,17.51
Chiliz,chiliz,Jump Crypto,65000000,Private Sale,1527811200000,Blockchain,327260000.0,2.52
Oasis,oasis-network,Jump Crypto,45000000,Backers,1526688000000,Blockchain,92900000.0,0.34
Sonic Labs (prev. Fantom),sonic-labs,Jump Crypto,1600000,Seed Round,1517443200000,Blockchain,348120000.0,217.57
Fantom,fantom,Jump Crypto,1600000,Seed Round,1517443200000,Blockchain,262980000.00000003,164.36
Stable,stable-2,Egirl Capital,28000000,Seed Round,1753920000000,Blockchain,308700000.0,11.03
Cygnus,cygnus-finance,Egirl Capital,20000000,Pre-seed,1739923200000,Blockchain,5680000.0,0.28
Blast,blast-l2,Egirl Capital,20000000,Funding Round,1700524800000,Layer-2,43530000.0,1.09
Oh Baby Games,oh-baby-games,Egirl Capital,6000000,Seed Round,1675036800000,Gaming,,
ZKsync,zksync,Egirl Capital,200000000,Series C,1668556800000,Layer-2,281110000.0,0.43
Celestia,celestia,Egirl Capital,55000000,Series A&B Round,1666137600000,Modular Blockchain,496030000.0,1.86
Blur,blur,Egirl Capital,11000000,Seed Round,1646092800000,NFT,89370000.0,4.06
Socket,socket,Egirl Capital,5000000,Seed Round,1646092800000,Infrastructure,,
Chainflip,chainflip,Egirl Capital,5803000,Strategic Round,1629331200000,AMM,26300000.0,1.02
Everclear,connext,Egirl Capital,12000000,Series A,1626134400000,DeFi,2600000.0,0.07
Gearbox Protocol,gearbox-protocol,Egirl Capital,2300000,SAFT,1619827200000,Lending Platform,14950000.0,2.17
Arbitrum,arbitrum,Egirl Capital,20000000,Series A,1617235200000,Layer-2,1160000000.0,2.76
Alchemix,alchemix,Egirl Capital,4900000,Private Round,1615680000000,Lending Platform,23260000.0,2.37
Arweave,arweave,Egirl Capital,8300000,Private Round,1580515200000,Storage,256959999.99999997,7.74
Inference,inference,Multicoin Capital,11800000,Seed Round,1760400000000,Blockchain Service,,
CrunchDAO,crunchdao,Multicoin Capital,5000000,Strategic Round,1759795200000,Artificial Intelligence (AI),,
Forward Industries,forward-industries,Multicoin Capital,1650000000,PIPE,1757289600000,Finance,,
Kalshi,kalshi,Multicoin Capital,185000000,Series C,1750809600000,Predictions,,
Yield.xyz,yield-xyz,Multicoin Capital,5000000,Strategic Round,1750723200000,DeFi,,
Gradient Network,gradient-network,Multicoin Capital,10000000,Seed Round,1750118400000,Infrastructure,,
P2P.me,p2p-me,Multicoin Capital,2000000,Seed Round,1743724800000,Blockchain Service,,
DoubleZero,double-zero-crypto-coin,Multicoin Capital,28000000,Private Token Sale,1741219200000,Infrastructure,433930000.0,15.50
Across Protocol,across-protocol,Multicoin Capital,41000000,Private Token Sale,1741046400000,Protocol,35680000.0,0.44
FanTV,fantv,Multicoin Capital,5500000,Funding Round,1740700800000,Blockchain Service,,
Geodnet,geodnet,Multicoin Capital,8000000,Strategic Round,1740441600000,Polygon Ecosystem,64110000.0,6.41
Mevvy,mevvy,Multicoin Capital,2800000,Seed Round,1738108800000,Blockchain Service,,
Drift Protocol,drift-protocol,Multicoin Capital,25000000,Series B,1726704000000,Perpetual,87440000.0,1.80
Pipe Network,pipe-network,Multicoin Capital,10000000,Funding Round,1726444800000,Blockchain Service,6940000.0,0.69
Fuse,fuseenergy,Multicoin Capital,12000000,Strategic Round,1726099200000,Blockchain Service,,
zkMe,zkme,Multicoin Capital,4000000,Seed Round,1724112000000,Blockchain Service,,
Mountain Protocol USD,mountain-protocol-usd,Multicoin Capital,8000000,Series A,1717632000000,Stablecoin,47650000.0,5.96
El Dorado,el-dorado,Multicoin Capital,3000000,Seed Round,1716854400000,Blockchain Service,,
Arch Network,arch-network,Multicoin Capital,7000000,Seed Round,1715212800000,Infrastructure,,
Baxus,baxus,Multicoin Capital,5000000,Seed Round,1714521600000,Social,,
Mezo,mezo,Multicoin Capital,21000000,Series A,1712620800000,Blockchain,,
XION,burnt-2,Multicoin Capital,25000000,Series A,1711929600000,Blockchain,6430000.0,0.26
Zama,zama,Multicoin Capital,73000000,Series A Round,1709769600000,Infrastructure,,
io.net,io-net,Multicoin Capital,30000000,Series A,1709596800000,Artificial Intelligence (AI),41170000.0,1.37
Superfluid,superfluid,Multicoin Capital,5100000,Funding Round,1708560000000,DeFi,1720000.0,0.12
GLIF,glif,Multicoin Capital,4500000,Seed Round,1707177600000,DeFi,,
Marginfi,marginfi,Multicoin Capital,3000000,Funding Round,1701864060000,Lending Platform,,
Pyth Network,pyth-network,Multicoin Capital,,Strategic Round,1701734400000,Oracle,377310000.0,
Wormhole,wormhole,Multicoin Capital,225000000,Funding Round,1701288000000,Blockchain Service,196070000.0,0.44
