slug,name,symbol,category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
chronicle-2,Chronicle,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12000000,"Seed Round (2025-03-25): $12,000,000",580.27,1,Strobe (Prev. BlockTower Capital),16,"6MV (6th Man Ventures), Andre Cronje, Brevan Howard, CV VC, Credibly Neutral, Distributed Capital Partners, Fenbushi Capital, Galaxy, Gnosis, Mark Phillips (Aes), Robot Ventures, Rune Christensen, Stani Kulechov, Strobe (Prev. BlockTower Capital), Tioga Capital Partners, UDHC"
concrete-protocol,Concrete Protocol,,Protocol,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9500000,"Strategic Round (2025-06-23): $9,500,000",616.1,1,Polychain Capital,23,"Auros Global, Baboon VC, Bitgo, Crypto Discover, Curved Ventures, DCF GOD, Decima, Founderheads, Halo Capital, Jason Yanowitz, LeadBlock Partners, Lumberg, Mr. Block, Pivot Global, Polychain Capital, Portal Ventures, Presto Labs, Renzo, Sam Kazemian, Selini Capital, VanEck, YZi Labs (prev Binance Labs), nonce Classic"
crossmint,Crossmint,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,23600000,"Series A (2025-03-18): $23,600,000",1045.99,1,Franklin Templeton,7,"6MV (6th Man Ventures), Big Brain Holdings, Faction, First Round Capital, Franklin Templeton, Nyca Partners, Ribbit Capital"
crunchdao,CrunchDAO,,Artificial Intelligence (AI),not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5000000,"Strategic Round (2025-10-07): $5,000,000",469.43,1,Multicoin Capital,8,"Fabric Ventures, GSR Markets (GSR), Galaxy, Halo Capital, Multicoin Capital, Road Capital, Salt Capital, VanEck"
dawn,DAWN,,DePIN,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,13000000,"Series B (2025-12-18): $13,000,000",722.38,1,Polychain Capital,2,"Archetype, Polychain Capital"
dogeos,DogeOS,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6900000,"Funding Round (2025-05-06): $6,900,000",533.1,1,Polychain Capital,1,Polychain Capital
due,Due,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4000000,"Extended Seed Round (2025-07-30): $4,000,000",253.9,1,Strobe (Prev. BlockTower Capital),5,"Fabric Ventures, Polymorphic Capital, Semantic Ventures, Speedinvest, Strobe (Prev. BlockTower Capital)"
eth-gas,ETHGas,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12000000,"Seed Round (2025-12-17): $12,000,000",1200.18,1,Polychain Capital,9,"Amber Group, BTCS, BlueYard, Keyrock, Node.Capital, Polychain Capital, Stake Capital, Susquehanna International Group (SIG), Tokka Labs"
ethzilla-2,ETHZilla,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,425000000,"PIPE (2025-07-29): $425,000,000",725.62,1,Polychain Capital,9,"Electric Capital, GSR Markets (GSR), Konstantin Lomashuk, Mike Silagadze, Polychain Capital, Robert Leshner, Sam Kazemian, Sreeram Kannan, Tarun Chitra"
fantv,FanTV,,Sui Ecosystem,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5500000,"Funding Round (2025-02-28): $5,500,000",270.23,1,Multicoin Capital,6,"IOSG Ventures, Krafton, Multicoin Capital, Pravega Ventures, Tykhe Block Ventures, Woodstock Fund"
fluent,Fluent,,Blockchain,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Funding Round (2025-02-19): $8,000,000",697.64,1,Polychain Capital,21,"Alpen Capital (Prev. Comfy Capital), Anurag Arjun, Balaji Srinivasan, Builder Capital, Charles Lu, Cristian Manea, Jason Yanowitz, Mustafa Al-Bassam, Nomad Capital, Polychain Capital, Primitive Ventures, Public Works, Santiago Roel Santos, Scott Moore, Symbolic Capital, The Rollup Ventures, Will Price, chainyoda.eth, coinflipcanada, dao5, dingaling"
forward-industries,Forward Industries,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1650000000,"PIPE (2025-09-08): $1,650,000,000",0,1,Multicoin Capital,3,"Galaxy, Jump Crypto, Multicoin Capital"
goodfire,Goodfire,,Artificial Intelligence (AI),not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50000000,"Series A (2025-04-17): $50,000,000",422.77,1,Lightspeed Venture Partners,7,"Anthropic, B Capital Group, Lightspeed Venture Partners, Menlo Ventures, South Park Commons, Wing VC, Work-Bench"
gradient-network,Gradient Network,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,10000000,"Seed Round (2025-06-17): $10,000,000",537.34,1,Multicoin Capital,3,"HongShan (ex-Sequoia China), Multicoin Capital, Pantera Capital"
greenlane-holdings,Greenlane Holdings,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,110000000,"PIPE (2025-10-20): $110,000,000",0,1,Polychain Capital,6,"Blockchain.com Ventures, CitizenX, Kraken, Northrock Capital, Polychain Capital, dao5"
inference,Inference,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11800000,"Seed Round (2025-10-14): $11,800,000",669.21,1,Multicoin Capital,13,"Albert Chen, Anatoly Yakovenko, Andrej Radonjic, Chaotic Capital, Founders Inc, Lucas Bruder, Mechanism Capital, Mert Mumtaz, Multicoin Capital, Santiago Roel Santos, Susan Carstensen, Topology Ventures, a16z crypto CSX"
kalshi,Kalshi,,Predictions,not_launched,NOT_YET_TRADING,0,0,11000000000,0,0,0,0,0,,0,0,0,0,0,0,0,185000000,"Series C (2025-06-25): $185,000,000",1636.88,1,Multicoin Capital,6,"Bond, Multicoin Capital, Neo, Paradigm, Peng Zhao, Sequoia Capital"
li-fi,LI.FI,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,29000000,"Extended Series A Round (2025-12-11): $29,000,000",1215.92,1,Multicoin Capital,2,"CoinFund, Multicoin Capital"
ligero,Ligero,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,20000000,0,0,0,0,0,,0,0,0,0,0,0,0,4000000,"Seed Round (2025-02-26): $4,000,000",284.22,1,Franklin Templeton,13,"1kx, Anagram Crypto, Daniel Lubarov, Digital Currency Group (DCG), Franklin Templeton, Galaxy VC, Nascent, Nicola Greco, Robot Ventures, Saul Rejwan, Waikit Lau, Yoni Ben-Shimon, zkValidator (ZKV)"
lightyear,Lightyear,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,23000000,"Series B (2025-07-24): $23,000,000",116.31,1,Lightspeed Venture Partners,4,"Lightspeed Venture Partners, Metaplanet Holdings, NordicNinja, Skaala"
m-zero,M^ZERO,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,40000000,"Series B (2025-08-28): $40,000,000",912.73,1,Polychain Capital,5,"Bain Capital Crypto, Endeavor Catalyst, Pantera Capital, Polychain Capital, Ribbit Capital"
magicblock,Magicblock,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7500000,"Seed Round (2025-04-25): $7,500,000",650.5,1,Lightspeed Venture Partners,13,"Anatoly Yakovenko, Delphi Ventures, Equilibrium Ventures, Lightspeed Venture Partners, Matt Sorg, Maven 11 Capital, Mechanism Capital, Mert Mumtaz, Pivot Global, Robot Ventures, Theo Gonella, Tristan Yver, chainyoda.eth"
mevvy,Mevvy,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2800000,"Seed Round (2025-01-29): $2,800,000",182.16,1,Multicoin Capital,21,"Bede Schubert, Borderless Capital, Bruno F, Chapter One Ventures, Enigma, GSR Markets (GSR), Georgios Vlachos, Guy Young, Hypersphere Ventures, JPEG Trading, Joshua Lim, Modular Capital, Multicoin Capital, Nascent, Nathan Allman, RHINO, Relayer Capital, Selini Capital, Steven Kokinos, TN Lee, cygaar"
nous-research,Nous Research,,Artificial Intelligence (AI),not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Seed Round (2025-04-25): $20,000,000",1607.09,1,Distributed Global,3,"Delphi Digital (Delphi Labs), Distributed Global, North Island Ventures"
oshi-2,Oshi,,Social,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12500000,"Funding Round (2025-01-17): $12,500,000",375.29,1,Polychain Capital,8,"CMT Digital, Folius Ventures, LIF, Nomad Capital, Polychain Capital, Sfermion, Superscrypt, The Spartan Group"
p2p-me,P2P.me,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2000000,"Seed Round (2025-04-04): $2,000,000",280.75,1,Multicoin Capital,2,"Coinbase Ventures, Multicoin Capital"
rails,Rails,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,14000000,"Private Token Sale (2025-06-04): $14,000,000",346.18,1,Slow Ventures,5,"CMCC Global, Kraken, Quantstamp, Round 13 Digital Asset Fund, Slow Ventures"
rain,Rain,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,24500000,"Series A (2025-03-24): $24,500,000",698.17,1,Lightspeed Venture Partners,9,"BDMI, Canonical Crypto, Coinbase Ventures, CompoSecure, Galaxy, Hard Yaka, Latitude, Lightspeed Venture Partners, Norwest"
rakurai,Rakurai,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3000000,"Seed Round (2025-03-11): $3,000,000",233.11,1,Slow Ventures,8,"Anagram Crypto, Colosseum, Crypto.com, GlobalStake, P2P Validator, Robot Ventures, Slow Ventures, cyber Fund"
redotpay,RedotPay,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,40000000,"Series A (2025-03-14): $40,000,000",470.18,1,Lightspeed Venture Partners,5,"Accel, Galaxy, HongShan (ex-Sequoia China), Lightspeed Venture Partners, Vertex Ventures"
revolut,Revolut,,Finance,not_launched,NOT_YET_TRADING,0,0,75000000000,0,0,0,0,0,,0,0,0,0,0,0,0,0,,981.31,1,Franklin Templeton,8,"Andreessen Horowitz (a16z), Coatue Management, Dragoneer Investment Group, Fidelity, Franklin Templeton, Greenoaks Capital, NVIDIA, T. Rowe Price"
seismic-2,Seismic,,Blockchain,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,17000000,"Seed Round (2025-03-06): $7,000,000; Funding Round (2025-11-12): $10,000,000",606.92,2,Polychain Capital,8,"1kx, Amber Group, Andreessen Horowitz (a16z), LayerZero Network, NGC Ventures, Polychain Capital, TrueBridge Capital, dao5"
stablecoinx,StablecoinX,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,360000000,"PIPE (2025-07-21): $360,000,000",490.81,1,Polychain Capital,10,"Blockchain.com Ventures, Dragonfly Capital, Ethena, Galaxy, Haun Ventures, Pantera Capital, ParaFi Capital, Polychain Capital, Ribbit Capital, Wintermute"
standard-economics,Standard Economics,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9000000,"Seed Round (2025-10-28): $9,000,000",0,1,Lightspeed Venture Partners,2,"Lightspeed Venture Partners, Paradigm"
tapestry,tapestry,,Social,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11500000,"Series A (2025-01-16): $5,750,000; Series A (2025-01-16): $5,750,000",598.95,2,"Slow Ventures, Redpoint Ventures",10,"Aptos, Fabric Ventures, Foresight Ventures, Harlem Capital, Re7 Capital, Redpoint Ventures, Slow Ventures, Social Graph Ventures, Stellation Capital, Union Square Ventures"
tesser,Tesser,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4500000,"Seed Round (2025-10-21): $4,500,000",0,1,Strobe (Prev. BlockTower Capital),3,"Anthemis Group, Castle Island Ventures, Strobe (Prev. BlockTower Capital)"
tharimmune,Tharimmune,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,540000000,"Post-IPO (2025-11-04): $540,000,000",0,1,Polychain Capital,10,"7RIDGE, ARK Invest, Broadridge, Canton Foundation, DRW Venture Capital, Kraken, Liberty City Ventures, Nima Capital, Polychain Capital, Tradeweb"
try-your-best,Try Your Best,,Social,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11000000,"Series A (2025-06-11): $11,000,000",524.32,1,Strobe (Prev. BlockTower Capital),5,"Castle Island Ventures, Coinbase Ventures, Offline Ventures, Strobe (Prev. BlockTower Capital), Unusual Ventures"
warlock,Warlock,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Seed Round (2025-03-27): $8,000,000",185.3,1,Polychain Capital,8,"Ambush Capital, Dean Eigenmann, Greenfield Capital, Ivangbi, Polychain Capital, Reciprocal Ventures, Symbolic Capital, TRGC"
xmtp,XMTP,,Social,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series B (2025-07-17): $20,000,000",1189.27,1,Distributed Global,7,"Andreessen Horowitz (a16z), Coinbase Ventures, Distributed Global, Faction, Offline Ventures, Sound Ventures, Union Square Ventures"
yield-xyz,Yield.xyz,,Yield Aggregator,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5000000,"Strategic Round (2025-06-24): $5,000,000",333.78,1,Multicoin Capital,1,Multicoin Capital
