slug,name,symbol,category,investor_category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
grass,Grass,GRASS,Artificial Intelligence (AI),Additional TOP Funds,launched,CURRENTLY_TRADING,0.2975,129363185.15,297100000,0,0,0,435419674,1000000000,1000000000,65.16,651635606,34.84,3.919,0.2669,0,0,10000000,"Funding Round (2025-10-07): $10,000,000",118.88,1,Polychain Capital,2,"Polychain Capital, Tribe Capital"
pieverse,Pieverse,PIEVERSE,Blockchain Service,TOP Retail ROI,launched,CURRENTLY_TRADING,0.45273,79292500,453100000,0,0,0,175000000,1000000000,1000000000,0,0,0,0.3718,0.1164,0,0,7000000,"Strategic Round (2025-10-24): $7,000,000",382.65,1,Signum Capital,8,"10K Ventures, Animoca Brands, Morningstar Ventures, Serafund, Signum Capital, Sonic SVM, UOB Venture Management, Undefined Labs"
chainopera-ai,ChainOpera AI,COAI,Artificial Intelligence (AI),TOP Retail ROI,launched,CURRENTLY_TRADING,0.4018,78670298.51,400400000,0,0,0,196479267,1000000000,1000000000,77.92,779222812,22.18,0.319,0.3018,0,0,17000000,"Seed Round (2024-12-26): $17,000,000",241.34,1,IDG Capital,18,"ABCDE Capital, Acequia Capital, Aimtop Ventures, Amber Group, Camford Capital, David Tse, Finality Capital Partners, IDG Capital, LDV Partners, Modular Capital, Plug and Play, PrimeSet, Road Capital, Silicon Valley Future Capital, Sparkle Ventures, Sreeram Kannan, USC Marshall School, Wisemont Capital"
axelar,Axelar,AXL,Infrastructure,Additional TOP Funds,launched,CURRENTLY_TRADING,0.0718,78303344.18,87895665.71,0,0,0,1092858955.8,1226736436.97,,12.91,129098144,82.09,2.618,0.07061,1,0.07,30000000,"OTC (2025-03-11): $30,000,000",1206.22,1,Distributed Global,7,"Arrington Capital, C2Ventures (Csquared), Distributed Global, Electric Capital, Laser Digital, Plassa Capital, WAGMI Ventures"
home,HOME,HOME,DeFi,TOP 5 Angels,launched,CURRENTLY_TRADING,0.0212,67120533.33,211200000,0,0,0,3178055555.57,10000000000,10000000000,69.26,6925750000,30.74,0.04918,0.01788,0,0,2000000,"Extended Seed Round (2025-02-13): $2,000,000",0,1,Balaji Srinivasan,4,"Balaji Srinivasan, DCF Capital Partners, Mechanism Capital, Pentoshi"
geodnet,Geodnet,GEOD,Polygon Ecosystem,Additional TOP Funds,launched,CURRENTLY_TRADING,0.145,63622802.03,141602587.36,0,0,0,438777945,976569568,1000000000,0,0,0,0.3761,0.03422,0,0,8000000,"Strategic Round (2025-02-25): $8,000,000",0,1,Multicoin Capital,3,"Digital Asset Capital Management (DACM), Multicoin Capital, ParaFi Capital"
momentum-3,Momentum,MMT,DEX,TOP Private ROI,launched,CURRENTLY_TRADING,0.2291,46717442.55,228900000,0,0,0,204095424,1000000000,1000000000,0,0,0,4.185,0.1776,0,0,5000000,"Seed Round (2025-03-31): $5,000,000",687.12,1,Jump Crypto,12,"Adeniyi Abiodun, Amber Group, Aptos, Arcanum Capital, Circle, Coinbase Ventures, Dewhales, Jump Crypto, MonkeVentures, Selini Capital, Varys Capital, WAGMI Ventures"
sign-2,Sign,SIGN,Infrastructure,TOP Retail ROI,launched,CURRENTLY_TRADING,0.03716,44640000,372000000,0,0,0,1200000000,10000000000,10000000000,82.74,8274079999,17.259,0.0797,0.06153,0,0,25500000,"Strategic Round (2025-10-21): $25,500,000",438.7,1,IDG Capital,2,"IDG Capital, YZi Labs (prev Binance Labs)"
corn-2,corn,CORN,Layer-2,Additional TOP Funds,launched,CURRENTLY_TRADING,0.07094,37280250,149121000,0,0,0,525000000,2100000000,2100000000,38,797999999,10,0.1329,0.02104,0,0,8300000,"Community (2025-01-22): $8,300,000",804.81,1,Polychain Capital,8,"Amber Group, Arbitrum Foundation, Babylon, GSR Markets (GSR), Hypersphere Ventures, Laser Digital, Polychain Capital, Presto Labs"
kgen,KGeN,KGEN,Gaming,TOP Private ROI,launched,CURRENTLY_TRADING,0.18368,36179223.37,182100000,0,0,0,198677778,1000000000,1000000000,0,0,0,0.681,0.1343,0,0,13500000,"Strategic Round (2025-09-30): $13,500,000",507.15,1,Jump Crypto,3,"Accel, Jump Crypto, Prosus Ventures"
across-protocol,Across Protocol,ACX,Protocol,Additional TOP Funds,launched,CURRENTLY_TRADING,0.052,34224114.98,51880000,0,0,0,659678392.15,1000000000,1000000000,0,0,0,1.72,0.03419,0,0,41000000,"Private Token Sale (2025-03-04): $41,000,000",1212.07,1,Multicoin Capital,5,"Bain Capital Crypto, Coinbase Ventures, Multicoin Capital, Paradigm, Sina Habibian"
bob-build-on-bitcoin,BOB (Build on Bitcoin),BOB,Layer-2,TOP Retail ROI,launched,CURRENTLY_TRADING,0.01152,25596600,115300000,0,0,0,2220000000,10000000000,10000000000,0,0,0,0.02654,0.01247,0,0,9500000,"Strategic Round (2025-08-07): $9,500,000",996.55,1,RockawayX,14,"Amber Group, Asymmetric, Bankless, CMS Holdings, Castle Island Ventures, Daedalus, Hypersphere Ventures, IOSG Ventures, Ledger Cathay Capital, Nathan McCauley, RockawayX, Sats Ventures, Sigil Fund, Zee Prime Capital"
bitlight-labs,Bitlight Labs,LIGHT,Infrastructure,TOP Retail ROI,launched,CURRENTLY_TRADING,0.5754,25093603.28,244776000,0,0,0,43056972,420000000,420000000,35.36,148511999,4,2.924,0.5665,0,0,19200000,"pre-Series A (2025-09-19): $9,600,000; pre-Series A (2025-09-19): $9,600,000",241.48,2,"Signum Capital, Fundamental Labs",14,"Amber Group, ArkStream Capital, Fundamental Labs, Gate Ventures, HV Capital, Outliers Fund, Q42, Side Door Ventures, Signum Capital, Skynet Trading, Stakez Capital, SuDo Research, Taisu Ventures, UOB Venture Management"
capx-ai,Capx AI,CAPX,Blockchain,TOP 5 Angels,launched,CURRENTLY_TRADING,0.2123,21760750,212300000,0,0,0,102500000,1000000000,1000000000,0,0,0,0.3045,0.211,0,0,3140000,"Seed Round (2025-03-26): $3,140,000",515.17,1,Richard Ma (Quantstamp),19,"Amrit Kumar, Arcanum Capital, Autonomy Capital, Blockarm Capital, Blue7, Cogitent Ventures, Gate.io, Kenny Li, Luganodes, MH Ventures, Manifold Trading, Mythos Venture Partners, Next Web Capital, P2 Ventures, Richard Ma (Quantstamp), Rob Hadick, STIX, Sandeep Nailwal, echo"
towns,Towns,TOWNS,Social,TOP Retail ROI,launched,CURRENTLY_TRADING,0.00592,13683894.45,61295585.86,0,0,0,2307959934,10338267138,,0,0,0,0.08007,0.06117,0,0,10000000,"Series B (2025-04-10): $10,000,000",0,1,Andreessen Horowitz (a16z),3,"Andreessen Horowitz (a16z), Benchmark, Coinbase Ventures"
aria-3,Aria,ARIAIP,Protocol,Additional TOP Funds,launched,CURRENTLY_TRADING,0.0288,9600390,28830000,0,0,0,333000000,1000000000,1000000000,0,0,0,0.1651,0.02774,0,0,15000000,"Seed Round (2025-09-03): $15,000,000",648.31,1,Polychain Capital,3,"Neoclassic Capital, Polychain Capital, Story Protocol"
cygnus-finance,Cygnus,CGN,Blockchain,Additional TOP Funds,launched,CURRENTLY_TRADING,0.002998,6895400,29980000,0,0,0,2300000000,10000000000,10000000000,75.86,7585750000,24.14,0.03399,0.00182,0,0,20000000,"Pre-seed (2025-02-19): $20,000,000",294.31,1,eGirl Capital,8,"CL207, G-20 Group, Manifold Trading, Mirana Ventures, OKX Ventures, Optimism Foundation, UpHonest Capital, eGirl Capital"
375ai,375ai,EAT,Infrastructure,Additional TOP Funds,launched,CURRENTLY_TRADING,0.03177,6771716.66,31770000,0,0,0,213148148,1000000000,1000000000,40,400000000,17.5,0.07724,0.02741,0,0,10000000,"Funding Round (2025-10-08): $10,000,000",444.77,1,Strobe (Prev. BlockTower Capital),10,"6MV (6th Man Ventures), Alpen, Arca, Auros, Delphi Digital (Delphi Labs), EV3, Factor Capital, Hack VC, Moonrock Capital, Strobe (Prev. BlockTower Capital)"
noice,noice,NOICE,Meme,TOP 5 Angels,launched,CURRENTLY_TRADING,9.668e-05,5399290.86,9668000,0,0,0,55847029951.68,100000000000,100000000000,0,0,0,0.000596,2.775e-05,0,0,0,,657.9,1,Balaji Srinivasan,2,"Balaji Srinivasan, Coinbase Ventures"
lit-protocol,Lit Protocol,LITKEY,Infrastructure,TOP Retail ROI,launched,CURRENTLY_TRADING,0.01697,3762000,17100000,0,0,0,220000000,1000000000,1000000000,0,0,0,0.1504,0.01572,0,0,1370000,"Funding Round (2025-10-20): $1,370,000",842.99,1,Collab+Currency,5,"Collab+Currency, Protocol Labs, RRE Ventures, Sfermion, Village Global"
almanak,Almanak,ALMANAK,DeFi,TOP Retail ROI,launched,CURRENTLY_TRADING,0.008974,2406028.8,8951000,0,0,0,268800000,1000000000,1000000000,0,0,0,0.1756,0.008186,0,0,8450000,"Funding Round (2025-08-15): $8,450,000",744.95,1,RockawayX,9,"AppWorks, Bankless, Delphi Digital (Delphi Labs), HashKey Capital, Matrix Partners, NEAR Foundation, RockawayX, Shima Capital, Sparkle Ventures"
shrapnel,Shrapnel,SHRAP,Gaming,Additional TOP Funds,launched,CURRENTLY_TRADING,0.001204,1864273.57,3612000,0,0,0,1548399978.02,3000000000,9965,25.58,767534118,41.42,0.4371,0.0006612,0,0,19500000,"Funding Round (2025-08-13): $19,500,000",1389.36,1,Polychain Capital,3,"Gala Games, Griffin Gaming Partners, Polychain Capital"
zypher-network,Zypher Network,POP,Infrastructure,TOP Retail ROI,launched,CURRENTLY_TRADING,0.000649,937168.75,6510000,0,0,0,1439583333,10000000000,10000000000,83.7,8370108333,16.299,0.01224,0.0006063,0,0,7000000,"Funding Round (2025-07-04): $7,000,000",393.5,1,Signum Capital,8,"CatcherVC, Cogitent Ventures, DWF Labs, HashKey Capital, Hong Leong Group, Hydrogenesis Labs, Signum Capital, UOB Venture Management"
fragmetric,Fragmetric,FRAG,Liquid Restaking Tokens (LRTs),TOP Retail ROI,launched,CURRENTLY_TRADING,0.002024,408848,2024000,0,0,0,202000000,1000000000,1000000000,75.31,753143749,24.69,0.178,0.1565,0,0,5000000,"Strategic Round (2025-03-24): $5,000,000",579.98,1,RockawayX,5,"Amber Group, Bitgo, Hypersphere Ventures, Robot Ventures, RockawayX"
nodecoin-2,Nodepay,NC,Artificial Intelligence (AI),TOP Retail ROI,launched,CURRENTLY_TRADING,0.002142,398435.82,2140000,0,0,0,186184961.78,1000000000,1000000000,35.5,354999999,0,0.3324,0.002086,0,0,7000000,"Funding Round (2024-12-27): $7,000,000",0,1,IDG Capital,8,"Elevate Community Ventures, Funders VC, IBC Ventures, IDG Capital, London Real Ventures, Mythos Venture Partners, Optic Capital, Sypher Capital"
klink-finance,Klink Finance,KLINK,Finance,TOP Retail ROI,launched,CURRENTLY_TRADING,0.00408,184633.83,4085000,0,0,0,45198000,1000000000,1000000000,0,0,0,0.09361,0.09356,0,0,0,,283.3,1,Signum Capital,13,"Black Alpha, BlockBase, Blockchain Founders Fund, CREDIT SCEND, Castrum Capital, MV Global, MarsDAO, Signum Capital, Taisu Ventures, TechMeetsTrader, Trive, UOB Venture Management, XVC Tech"
slingshot,Slingshot,SLING,Gaming,TOP Retail ROI,launched,CURRENTLY_TRADING,0.0001037,0,517000,0,0,0,0,5000000000,5000000000,0,0,0,0.02716,9e-05,0,0,16000000,"Funding Round (2025-03-17): $16,000,000",524.18,1,Collab+Currency,8,"Alphabit Digital Currency Fund, Animoca Brands, Collab+Currency, Digital Currency Group (DCG), Dragonfly Capital, Sanctor Capital, Sfermion, Standard Crypto"
aegisai,AegisAI,,Blockchain,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,84.49,1,IDG Capital,3,"Flow Traders, IDG Capital, NGC Ventures"
architect,Architect,,DeFi,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,35000000,"Series A (2025-12-23): $35,000,000",0,1,Strobe (Prev. BlockTower Capital),12,"3K VC, ARK Invest, Auros Global, CMT Digital, Coinbase Ventures, Galaxy, Geneva Trading, Miami International, Strobe (Prev. BlockTower Capital), Tioga Capital Partners, Trumid, VanEck"
bastion,Bastion,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,14600000,"Funding Round (2025-09-24): $14,600,000",0,1,Andreessen Horowitz (a16z),5,"Andreessen Horowitz (a16z), Coinbase Ventures, Hashed, Samsung NEXT, Sony Innovation Fund"
bastion-asset-management,Bastion Asset Management,,Finance,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,1,CoinShares,1,CoinShares
belfort,Belfort,,Blockchain Service,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6000000,"Seed Round (2025-09-24): $6,000,000",128,1,Naval Ravikant,9,"Anagram Crypto, Credibly Neutral, Inovia Capital, Jeff Dean, Naval Ravikant, Protocol VC, Prototype, Syndicate One, Vsquared Ventures"
billions-network,Billions Network,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,30000000,"Funding Round (2025-07-31): $30,000,000",1112.87,1,Polychain Capital,5,"BITKRAFT Ventures, Coinbase Ventures, Liberty City Ventures, Polychain Capital, Polygon Labs"
blackbird,Blackbird,,Social,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50000000,"Series B (2025-04-08): $50,000,000",0,1,Andreessen Horowitz (a16z),5,"Amex Ventures, Andreessen Horowitz (a16z), Coinbase Ventures, Spark Capital, Union Square Ventures"
bloom-2,Bloom,,Social,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1600000,"Pre-seed (2025-07-24): $1,600,000",289.67,1,Stani Kulechov,8,"APX, Cointelegraph, Delta Blockchain Fund, Faction, Outlier Ventures, Paul Taylor, Plassa Capital, Stani Kulechov"
cap-3,CAP,,DeFi,TOP Retail ROI; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Seed Round (2025-04-07): $8,000,000",93.34,1,RockawayX,24,"Auros Global, Breed, Bryan Pellegrino, CMCC Global, Caladan (Alphalab), Curved Ventures, Fasanara Capital, Flow Traders, Flowdesk, Franklin Templeton, GSR Markets (GSR), IMC Financial Markets, Jason Yanowitz, Laser Digital, Lucas Kozinski, Paper Ventures, Presto Labs, RockawayX, Selini Capital, Sonya Kim, Spencer Noon, Superscrypt, Triton Capital, nonce Classic"
cascade,Cascade,,Perpetual,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15000000,"Funding Round (2025-12-09): $15,000,000",345.85,1,Polychain Capital,4,"Archetype, Coinbase Ventures, Polychain Capital, Variant"
catena-labs,Catena Labs,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,18000000,"Seed Round (2025-05-20): $18,000,000",487.3,1,Andreessen Horowitz (a16z),8,"Andreessen Horowitz (a16z), Breyer Capital, Circle Ventures, CoinFund, Coinbase Ventures, Jim Breyer, Pillar VC, Ted Breyer"
chronicle-2,Chronicle,,Infrastructure,TOP 5 Angels; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12000000,"Seed Round (2025-03-25): $12,000,000",580.27,1,Stani Kulechov,16,"6MV (6th Man Ventures), Andre Cronje, Brevan Howard, CV VC, Credibly Neutral, Distributed Capital Partners, Fenbushi Capital, Galaxy, Gnosis, Mark Phillips (Aes), Robot Ventures, Rune Christensen, Stani Kulechov, Strobe (Prev. BlockTower Capital), Tioga Capital Partners, UDHC"
concrete-protocol,Concrete Protocol,,Protocol,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9500000,"Strategic Round (2025-06-23): $9,500,000",616.1,1,Polychain Capital,23,"Auros Global, Baboon VC, Bitgo, Crypto Discover, Curved Ventures, DCF GOD, Decima, Founderheads, Halo Capital, Jason Yanowitz, LeadBlock Partners, Lumberg, Mr. Block, Pivot Global, Polychain Capital, Portal Ventures, Presto Labs, Renzo, Sam Kazemian, Selini Capital, VanEck, YZi Labs (prev Binance Labs), nonce Classic"
cooking-city,Cooking.City,,Memepad,TOP Private ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7000000,"Funding Round (2025-05-30): $7,000,000",11.576,1,Jump Crypto,5,"BitScale Capital, CMT Digital, Everest Ventures, Jump Crypto, Mirana Ventures"
crossmint,Crossmint,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,23600000,"Series A (2025-03-18): $23,600,000",1045.99,1,Franklin Templeton,7,"6MV (6th Man Ventures), Big Brain Holdings, Faction, First Round Capital, Franklin Templeton, Nyca Partners, Ribbit Capital"
crunchdao,CrunchDAO,,Artificial Intelligence (AI),Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5000000,"Strategic Round (2025-10-07): $5,000,000",469.43,1,Multicoin Capital,8,"Fabric Ventures, GSR Markets (GSR), Galaxy, Halo Capital, Multicoin Capital, Road Capital, Salt Capital, VanEck"
dawn,DAWN,,DePIN,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,13000000,"Series B (2025-12-18): $13,000,000",722.38,1,Polychain Capital,2,"Archetype, Polychain Capital"
daylight-2,Daylight,,DePIN,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,75000000,"Funding Round (2025-10-16): $75,000,000",0,1,Andreessen Horowitz (a16z),10,"Andreessen Horowitz (a16z), Coinbase Ventures, Crucible Capital, Escape Velocity, Framework Ventures, Lerer Hippeau, M13, Not Boring Capital, Room40 Ventures, Turtle Hill Capital"
defx,Defx,,DEX,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2500000,"Seed Round (2025-06-13): $2,500,000",263.7,1,CoinShares,9,"Baboon VC, CMT Digital, Cadenza Ventures, CoinShares, Mahin Gupta, Pantera Capital, Robot Ventures, Sandeep Nailwal, gumi Cryptos Capital"
dogeos,DogeOS,,Infrastructure,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6900000,"Funding Round (2025-05-06): $6,900,000",533.1,1,Polychain Capital,1,Polychain Capital
doppel,Doppel,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,105000000,"Series B (2025-05-02): $35,000,000; Series C (2025-11-19): $70,000,000",380.81,2,Andreessen Horowitz (a16z),14,"9Yards Capital, Andreessen Horowitz (a16z), Aurum Partners, Bessemer Venture Partners, Breanna Stewart, George Kurtz, Kelsey Plum, NTT Docomo Ventures, Nneka Ogwumike, Sabrina Hahn, Script Capital, South Park Commons, Sozo Ventures, Strategic Cyber Ventures"
due,Due,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4000000,"Extended Seed Round (2025-07-30): $4,000,000",253.9,1,Strobe (Prev. BlockTower Capital),5,"Fabric Ventures, Polymorphic Capital, Semantic Ventures, Speedinvest, Strobe (Prev. BlockTower Capital)"
eth-gas,ETHGas,,Infrastructure,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12000000,"Seed Round (2025-12-17): $12,000,000",1200.18,1,Polychain Capital,9,"Amber Group, BTCS, BlueYard, Keyrock, Node.Capital, Polychain Capital, Stake Capital, Susquehanna International Group (SIG), Tokka Labs"
ethzilla-2,ETHZilla,,Finance,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,425000000,"PIPE (2025-07-29): $425,000,000",725.62,1,Polychain Capital,9,"Electric Capital, GSR Markets (GSR), Konstantin Lomashuk, Mike Silagadze, Polychain Capital, Robert Leshner, Sam Kazemian, Sreeram Kannan, Tarun Chitra"
fantv,FanTV,,Sui Ecosystem,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5500000,"Funding Round (2025-02-28): $5,500,000",270.23,1,Multicoin Capital,6,"IOSG Ventures, Krafton, Multicoin Capital, Pravega Ventures, Tykhe Block Ventures, Woodstock Fund"
fluent,Fluent,,Layer-2,TOP 5 Angels; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Funding Round (2025-02-19): $8,000,000",697.64,1,Balaji Srinivasan,21,"Alpen Capital (Prev. Comfy Capital), Anurag Arjun, Balaji Srinivasan, Builder Capital, Charles Lu, Cristian Manea, Jason Yanowitz, Mustafa Al-Bassam, Nomad Capital, Polychain Capital, Primitive Ventures, Public Works, Santiago Roel Santos, Scott Moore, Symbolic Capital, The Rollup Ventures, Will Price, chainyoda.eth, coinflipcanada, dao5, dingaling"
fomo-2,fomo,,DeFi,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2000000,"Angel (2025-02-18): $2,000,000",1036.68,1,Balaji Srinivasan,26,"Aadil Mamujee, Aaron Harris, Alexander Pack, Amy Wu, Balaji Srinivasan, Bryan Pellegrino, Eugene Shen, Evgeny Gaevoy, Henri Stern, Jeff Feng, Jordi Alexander, Joshua Lim, Lucas Bruder, Marc Boiron, Max Power, Paul Kim, Paul Veradittakit, Raj Gokal, Rob Hadick, Roshun Patel, Shiliang Tang, Smokey The Bera, Vijay Chetty, Viktor Bunin, Yu Hu, ZAGABOND"
forward-industries,Forward Industries,,Finance,TOP Private ROI; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1650000000,"PIPE (2025-09-08): $1,650,000,000",0,1,Jump Crypto,3,"Galaxy, Jump Crypto, Multicoin Capital"
