slug,name,symbol,category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
zypher-network,Zypher Network,POP,Infrastructure,launched,CURRENTLY_TRADING,0.000649,937168.75,6510000,0,0,0,1439583333,10000000000,10000000000,83.7,8370108333,16.299,0.01224,0.0006063,0,0,7000000,"Funding Round (2025-07-04): $7,000,000",393.5,1,Signum Capital,8,"CatcherVC, Cogitent Ventures, DWF Labs, HashKey Capital, Hong Leong Group, Hydrogenesis Labs, Signum Capital, UOB Venture Management"
fragmetric,Fragmetric,FRAG,Liquid Restaking Tokens (LRTs),launched,CURRENTLY_TRADING,0.002024,408848,2024000,0,0,0,202000000,1000000000,1000000000,75.31,753143749,24.69,0.178,0.1565,0,0,5000000,"Strategic Round (2025-03-24): $5,000,000",579.98,1,RockawayX,5,"Amber Group, Bitgo, Hypersphere Ventures, Robot Ventures, RockawayX"
nodecoin-2,Nodepay,NC,Artificial Intelligence (AI),launched,CURRENTLY_TRADING,0.002142,398435.82,2140000,0,0,0,186184961.78,1000000000,1000000000,35.5,354999999,0,0.3324,0.002086,0,0,7000000,"Funding Round (2024-12-27): $7,000,000",0,1,IDG Capital,8,"Elevate Community Ventures, Funders VC, IBC Ventures, IDG Capital, London Real Ventures, Mythos Venture Partners, Optic Capital, Sypher Capital"
klink-finance,Klink Finance,KLINK,Finance,launched,CURRENTLY_TRADING,0.00408,184633.83,4085000,0,0,0,45198000,1000000000,1000000000,0,0,0,0.09361,0.09356,0,0,0,,283.3,1,Signum Capital,13,"Black Alpha, BlockBase, Blockchain Founders Fund, CREDIT SCEND, Castrum Capital, MV Global, MarsDAO, Signum Capital, Taisu Ventures, TechMeetsTrader, Trive, UOB Venture Management, XVC Tech"
slingshot,Slingshot,SLING,Gaming,launched,CURRENTLY_TRADING,0.0001037,0,517000,0,0,0,0,5000000000,5000000000,0,0,0,0.02716,9e-05,0,0,16000000,"Funding Round (2025-03-17): $16,000,000",524.18,1,Collab+Currency,8,"Alphabit Digital Currency Fund, Animoca Brands, Collab+Currency, Digital Currency Group (DCG), Dragonfly Capital, Sanctor Capital, Sfermion, Standard Crypto"
aegisai,AegisAI,,Blockchain,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,84.49,1,IDG Capital,3,"Flow Traders, IDG Capital, NGC Ventures"
bastion,Bastion,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,14600000,"Funding Round (2025-09-24): $14,600,000",0,1,Andreessen Horowitz (a16z),5,"Andreessen Horowitz (a16z), Coinbase Ventures, Hashed, Samsung NEXT, Sony Innovation Fund"
bastion-asset-management,Bastion Asset Management,,Finance,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,1,CoinShares,1,CoinShares
blackbird,Blackbird,,Social,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50000000,"Series B (2025-04-08): $50,000,000",0,1,Andreessen Horowitz (a16z),5,"Amex Ventures, Andreessen Horowitz (a16z), Coinbase Ventures, Spark Capital, Union Square Ventures"
cap-3,CAP,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Seed Round (2025-04-07): $8,000,000",93.34,1,RockawayX,24,"Auros Global, Breed, Bryan Pellegrino, CMCC Global, Caladan (Alphalab), Curved Ventures, Fasanara Capital, Flow Traders, Flowdesk, Franklin Templeton, GSR Markets (GSR), IMC Financial Markets, Jason Yanowitz, Laser Digital, Lucas Kozinski, Paper Ventures, Presto Labs, RockawayX, Selini Capital, Sonya Kim, Spencer Noon, Superscrypt, Triton Capital, nonce Classic"
catena-labs,Catena Labs,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,18000000,"Seed Round (2025-05-20): $18,000,000",487.3,1,Andreessen Horowitz (a16z),8,"Andreessen Horowitz (a16z), Breyer Capital, Circle Ventures, CoinFund, Coinbase Ventures, Jim Breyer, Pillar VC, Ted Breyer"
daylight-2,Daylight,,DePIN,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,75000000,"Funding Round (2025-10-16): $75,000,000",0,1,Andreessen Horowitz (a16z),10,"Andreessen Horowitz (a16z), Coinbase Ventures, Crucible Capital, Escape Velocity, Framework Ventures, Lerer Hippeau, M13, Not Boring Capital, Room40 Ventures, Turtle Hill Capital"
defx,Defx,,DEX,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2500000,"Seed Round (2025-06-13): $2,500,000",263.7,1,CoinShares,9,"Baboon VC, CMT Digital, Cadenza Ventures, CoinShares, Mahin Gupta, Pantera Capital, Robot Ventures, Sandeep Nailwal, gumi Cryptos Capital"
doppel,Doppel,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,105000000,"Series B (2025-05-02): $35,000,000; Series C (2025-11-19): $70,000,000",380.81,2,Andreessen Horowitz (a16z),14,"9Yards Capital, Andreessen Horowitz (a16z), Aurum Partners, Bessemer Venture Partners, Breanna Stewart, George Kurtz, Kelsey Plum, NTT Docomo Ventures, Nneka Ogwumike, Sabrina Hahn, Script Capital, South Park Commons, Sozo Ventures, Strategic Cyber Ventures"
halliday,Halliday,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series A (2025-03-18): $20,000,000",587.46,1,Andreessen Horowitz (a16z),4,"Andreessen Horowitz (a16z), Blizzard Fund (Avalanche Ecosystem), Credibly Neutral, SV Angel"
hedra,Hedra,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,200000000,0,0,0,0,0,,0,0,0,0,0,0,0,32000000,"Series A (2025-05-15): $32,000,000",755.18,1,Andreessen Horowitz (a16z),4,"Abstract Ventures, Andreessen Horowitz (a16z), Index Ventures, a16z speedrun"
kalshi,Kalshi,,Predictions,not_launched,NOT_YET_TRADING,0,0,11000000000,0,0,0,0,0,,0,0,0,0,0,0,0,1300000000,"Series D (2025-10-10): $300,000,000; Funding Round (2025-11-21): $1,000,000,000",1636.88,2,Andreessen Horowitz (a16z),9,"Andreessen Horowitz (a16z), Anthos Capital, CapitalG, Coinbase Ventures, Kevin Durant, Neo, Paradigm, Sequoia Capital, Spark"
legend-3,Legend,,Wallet,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15000000,"Funding Round (2025-02-11): $15,000,000",0,1,Andreessen Horowitz (a16z),2,"Andreessen Horowitz (a16z), Coinbase Ventures"
merit-systems,Merit Systems,,Infrastructure,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,10000000,"Seed Round (2025-01-16): $10,000,000",708.04,1,Andreessen Horowitz (a16z),6,"Anatoly Yakovenko, Andreessen Horowitz (a16z), Blockchain Capital, Dan Romero, Packy McCormick, Vance Spencer"
miden,Miden,,Blockchain,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,25000000,"Seed Round (2025-04-29): $25,000,000",694.67,1,Andreessen Horowitz (a16z),9,"1kx, Andreessen Horowitz (a16z), Finality Capital Partners, Hack VC, MH Ventures, P2 Ventures, Rune Christensen, Sreeram Kannan, Symbolic Capital"
mu-digital,Mu Digital,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1500000,"Pre-seed (2025-11-20): $1,500,000",270.21,1,Signum Capital,5,"CMS Holdings, Cointelegraph, Signum Capital, UOB Venture Management, echo"
open-trade,Open Trade,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7000000,"Strategic Round (2025-06-11): $7,000,000",281.67,1,Andreessen Horowitz (a16z),5,"AlbionVC, Andreessen Horowitz (a16z), CMCC Global, Mercury Fund, Notion Capital"
openrouter,OpenRouter,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,500000000,0,0,0,0,0,,0,0,0,0,0,0,0,40000000,"Series A (2025-06-27): $40,000,000",921.71,1,Andreessen Horowitz (a16z),3,"Andreessen Horowitz (a16z), Menlo Ventures, Sequoia Capital"
ostium-labs,Ostium Labs,,DeFi,not_launched,NOT_YET_TRADING,0,0,250000000,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series A (2025-12-03): $20,000,000",1132.41,1,Jump Trading,5,"Coinbase Ventures, GSR Markets (GSR), General Catalyst, Jump Trading, Wintermute"
phantom,Phantom,,Wallet,not_launched,NOT_YET_TRADING,0,0,3000000000,0,0,0,0,0,,0,0,0,0,0,0,0,150000000,"Series C (2025-01-16): $150,000,000",2828.46,1,Andreessen Horowitz (a16z),4,"Andreessen Horowitz (a16z), Paradigm, Sequoia Capital, Variant"
poseidon-2,Poseidon,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15000000,"Seed Round (2025-07-22): $15,000,000",459.49,1,Andreessen Horowitz (a16z),1,Andreessen Horowitz (a16z)
ranger,Ranger,,DEX,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1900000,"Funding Round (2025-01-23): $1,900,000",732.67,1,RockawayX,18,"Anagram Crypto, Arthur Cheong, Asymmetric, Big Brain Holdings, Defi Maestro, Flow Traders, Gum, Joe McCann, MonkeVentures, Native Crypto, Nom, Presto Labs, Rise Capital, RockawayX, Selini Capital, Thanh Le, Zee Prime Capital, echo"
revolut,Revolut,,Finance,not_launched,NOT_YET_TRADING,0,0,75000000000,0,0,0,0,0,,0,0,0,0,0,0,0,0,,981.31,1,Andreessen Horowitz (a16z),8,"Andreessen Horowitz (a16z), Coatue Management, Dragoneer Investment Group, Fidelity, Franklin Templeton, Greenoaks Capital, NVIDIA, T. Rowe Price"
seismic-2,Seismic,,Blockchain,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,17000000,"Seed Round (2025-03-06): $7,000,000; Funding Round (2025-11-12): $10,000,000",606.92,2,Andreessen Horowitz (a16z),8,"1kx, Amber Group, Andreessen Horowitz (a16z), LayerZero Network, NGC Ventures, Polychain Capital, TrueBridge Capital, dao5"
share-3,Share,,Social,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5000000,"Funding Round (2025-09-25): $5,000,000",521.26,1,Collab+Currency,3,"Coinbase Ventures, Collab+Currency, Palm Tree Crew"
silhouette,Silhouette,,DEX,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3000000,"Pre-seed (2025-06-10): $3,000,000",624.48,1,RockawayX,8,"Amber Group, Hivemind Capital Partners, NGC Ventures, No Limit Holdings, Paul Taylor, Protagonist, RockawayX, echo"
teneo-protocol,Teneo Protocol,TENEO,DePIN,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3000000,"Seed Round (2025-02-13): $3,000,000",234.69,1,RockawayX,12,"Advanced Blockchain, Borderless Capital, Certik, EOT Ventures, GenerativeVentures, MN Capital, Moonrock Capital, Outlier Ventures, RockawayX, Token Ventures, Venionaire Capital, X Ventures"
transak,Transak,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,16000000,"Strategic Round (2025-08-12): $16,000,000",724.59,1,IDG Capital,6,"1kx, Fuel Ventures, IDG Capital, Primal Capital, Protein Capital, Tether"
truex,TrueX,PYUSD,CEX,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11000000,"Series A (2025-05-20): $11,000,000",0,1,Reciprocal Ventures,7,"Accomplice, Paxos, PayPal Ventures, RRE Ventures, Reciprocal Ventures, Solana Foundation, Variant"
universal,Universal,,DEX,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9000000,"Funding Round (2025-02-19): $9,000,000",686.86,1,Andreessen Horowitz (a16z),4,"Andreessen Horowitz (a16z), Coinbase Ventures, Data Tech Fund, Four Cities Capital"
voya-games,VOYA Games,,Gaming,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5000000,"Funding Round (2025-05-21): $5,000,000",198.29,1,RockawayX,5,"1kx, Jeffrey Zirlin, Makers Fund, RockawayX, Sebastien Borget"
warlock,Warlock,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Seed Round (2025-03-27): $8,000,000",185.3,1,Reciprocal Ventures,8,"Ambush Capital, Dean Eigenmann, Greenfield Capital, Ivangbi, Polychain Capital, Reciprocal Ventures, Symbolic Capital, TRGC"
xmtp,XMTP,,Social,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series B (2025-07-17): $20,000,000",1189.27,1,Andreessen Horowitz (a16z),7,"Andreessen Horowitz (a16z), Coinbase Ventures, Distributed Global, Faction, Offline Ventures, Sound Ventures, Union Square Ventures"
yupp,Yupp,,Blockchain Service,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,33000000,"Seed Round (2025-06-13): $33,000,000",480.2,1,Andreessen Horowitz (a16z),12,"Andreessen Horowitz (a16z), Aravind Srinivas, Balaji Prabhakar, Chris Re, Coinbase Ventures, Dan Boneh, Evan Sharp, Gokul Rajaram, Jeff Dean, Kunal Shah, Nick McKeown, Othman Laraki"
zoo-finance,Zoo Finance,,DeFi,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Strategic Round (2025-12-01): $8,000,000",131.4,1,Signum Capital,6,"Bitrise Capital, CGV FoF (Cryptogram Venture), Certik, Cryptomeria Capital, Signum Capital, The Open Platform"
