project_name,project_slug,fund_name,amount_usd,stage,date,category
Axie Infinity,axie-infinity,Andreessen Horowitz (a16z),150000000,Funding Round,1648771200000,Gaming
Fractal,fractal-ico,Andreessen Horowitz (a16z),35000000,Seed Round,1648771200000,Gaming
Pahdo Labs,pahdo-labs,Andreessen Horowitz (a16z),15000000,Series A,1648684800000,Gaming
ApeCoin,apecoin,Andreessen Horowitz (a16z),450000000,Equity Round,1647907200000,Metaverse
Lido DAO,lido-dao,Andreessen Horowitz (a16z),70000000,Venture Round 2,1646265600000,DeFi
Helium,helium,Andreessen Horowitz (a16z),200000000,Series D Round,1645228800000,Social
Alchemy,alchemy-ico,Andreessen Horowitz (a16z),200000000,Series C Extended,1644192000000,
POL (ex-MATIC),polygon-ecosystem-token,Andreessen Horowitz (a16z),450000000,Funding Round,1643673600000,Layer-2
Aleo,aleo,Andreessen Horowitz (a16z),200000000,Series B,1643673600000,Zero Knowledge
Polygon,matic-network,Andreessen Horowitz (a16z),450000000,Funding Round,1643673600000,Blockchain
Sovrun,breederdao,Andreessen Horowitz (a16z),10000000,Series A,1643328000000,Gaming
Near,near,Andreessen Horowitz (a16z),150000000,Funding Round,1640995200000,Blockchain
Goldfinch,goldfinch,Andreessen Horowitz (a16z),25000000,Funding Round,1640995200000,Lending Platform
Bitfinity Network ,bitfinity-network,Andreessen Horowitz (a16z),1500000,Seed Round,1640736000000,Blockchain
League of Kingdoms,league-of-kingdoms,Andreessen Horowitz (a16z),3100000,Private Sale,1638316800000,Gaming
Iron Fish,iron-fish,Andreessen Horowitz (a16z),27600000,Series A Round,1638230400000,Blockchain Service
Nym,nym,Andreessen Horowitz (a16z),13000000,Funding Round,1635724800000,Privacy Coin
Nansen,nansen,Andreessen Horowitz (a16z),75000000,Series B Round,1635724800000,Blockchain Service
Forte,forte,Andreessen Horowitz (a16z),725000000,Series B Round,1635724800000,Blockchain Service
Element Finance,element-finance-ico,Andreessen Horowitz (a16z),32000000,Series A,1634601600000,
Ronin,ronin,Andreessen Horowitz (a16z),150000000,Series B Round,1633046400000,Blockchain
Forta,forta,Andreessen Horowitz (a16z),23000000,Venture Round,1632960000000,Blockchain Service
Decentralized Social,bitclout,Andreessen Horowitz (a16z),200000000,Venture Round,1632355200000,Blockchain
ANGLE,angle-protocol,Andreessen Horowitz (a16z),5000000,Seed Round,1630454400000,Protocol
TrueFi,truefi,Andreessen Horowitz (a16z),12500000,Private Sale,1628121600000,Lending Platform
Syndicate,syndicate-3,Andreessen Horowitz (a16z),20000000,Series A Round,1627776000000,Infrastructure
Virtually Human Studio,virtually-human-studio-ico,Andreessen Horowitz (a16z),20000000,Series A,1626868800000,
ECOx,ecox,Andreessen Horowitz (a16z),60000000,Series B,1625097600000,Ethereum Ecosystem
ECO,eco,Andreessen Horowitz (a16z),60000000,Series B,1625097600000,
ValoraApp,valoraapp-ico,Andreessen Horowitz (a16z),20000000,Seed Round,1625097600000,Wallet
dYdX,dydx,Andreessen Horowitz (a16z),65000000,Series C,1623715200000,DEX
Solana,solana,Andreessen Horowitz (a16z),314150000,Private Sale,1623246360000,Blockchain
Bitski,bitski-ico,Andreessen Horowitz (a16z),19000000,Series A,1620259200000,
Chia,chia,Andreessen Horowitz (a16z),61000000,Series D Round,1619827200000,Blockchain
RTFKT Studios,rtfkt-studios-ico,Andreessen Horowitz (a16z),8000000,Founding Round,1619827200000,
Fei USD,fei-usd,Andreessen Horowitz (a16z),19000000,Private Round,1615161600000,Stablecoin
Rally,rally-2,Andreessen Horowitz (a16z),34828450,Community Treasury Fundraise,1609372800000,Yield Farming
Reflexer Ungovernance Token,reflexer-ungovernance-token,Andreessen Horowitz (a16z),1700000,Seed Round,1596585600000,DeFi
Arweave,arweave,Andreessen Horowitz (a16z),8300000,Private Round,1580515200000,Storage
Compound,compound,Andreessen Horowitz (a16z),25000000,Series A,1576022400000,DeFi
Avalanche,avalanche,Andreessen Horowitz (a16z),5940000,Seed Round,1548979200000,Blockchain
Celo,celo,Andreessen Horowitz (a16z),30000000,Pre-launch sale 2,1546300800000,Layer-2
Keep Network,keep-network,Andreessen Horowitz (a16z),7700000,Venture Round,1543708800000,DeFi
Handshake,handshake,Andreessen Horowitz (a16z),10200000,Private Sale,1530403200000,Infrastructure
Oasis,oasis-network,Andreessen Horowitz (a16z),45000000,Backers,1526688000000,Blockchain
Orchid Protocol,orchid-protocol,Andreessen Horowitz (a16z),36100000,Pre-Sale,1524182400000,xDAI Ecosystem
Basis Cash,basis-cash,Andreessen Horowitz (a16z),133000000,Funding Round,1524009600000,Algorithmic Stablecoins
Internet Computer,internet-computer,Andreessen Horowitz (a16z),102000000,Pre-Sale,1522540800000,Blockchain
Maker,maker,Andreessen Horowitz (a16z),15000000,Seed Round 2,1517443200000,DeFi
XRP,ripple,Andreessen Horowitz (a16z),,Funding Round,1364774400000,Cryptocurrency
KGeN,kgen,Jump Crypto,13500000,Strategic Round,1759190400000,Gaming
zerohash,zerohash,Jump Crypto,104000000,Extended Series D,1758585600000,Blockchain Service
Raiku,raiku,Jump Crypto,11250000,Seed Round,1758585600000,Infrastructure
Forward Industries,forward-industries,Jump Crypto,1650000000,PIPE,1757289600000,Finance
SOON,soon,Jump Crypto,5000000,Strategic Round,1749600000000,Blockchain Service
Cooking.City,cooking-city,Jump Crypto,7000000,Funding Round,1748563200000,Memepad
Nirvana Labs,nirvana-labs,Jump Crypto,6000000,Extended Seed Round,1747094400000,Infrastructure
Securitize,securitize,Jump Crypto,,Strategic Round,1746662400000,Finance
Momentum,momentum-3,Jump Crypto,5000000,Seed Round,1743379200000,DEX
Streamflow,streamflow,Jump Crypto,1900000,Funding Round,1730073600000,Blockchain Service
Nodepay,nodecoin-2,Jump Crypto,,Funding Round,1727481600000,Artificial Intelligence (AI)
Nexus Interactive,nexus-interactive,Jump Crypto,2000000,Seed Round,1724112000000,Gaming
Play AI,play-ai,Jump Crypto,4300000,Seed Round,1716940800000,Infrastructure
Coinflow,coinflow-ico,Jump Crypto,2250000,Seed Round,1716854400000,
Figure Markets,figure-markets,Jump Crypto,60000000,Series A,1710720000000,Finance
Squads,squads,Jump Crypto,5700000,Strategic Round,1697414400000,Blockchain Service
Membrane Labs,membrane-labs,Jump Crypto,20000000,Series A,1696982400000,Blockchain Service
OpenCover,opencover,Jump Crypto,4600000,Seed Round,1694044800000,DeFi
LuminaDEX,luminadex,Jump Crypto,,Strategic Round,1692748800000,DeFi
ZTX,ztx,Jump Crypto,13000000,Seed Round,1692057600000,Social
Affine,affine,Jump Crypto,7000000,Funding Round,1691712000000,Liquid Staking Protocols
Xverse,xverse-wallet,Jump Crypto,5000000,Seed Round,1691625600000,Blockchain Service
OutDID,outdid,Jump Crypto,2500000,Seed Round,1687996800000,Blockchain Service
Cetus Protocol,cetus-protocol,Jump Crypto,,Seed Round,1682985600000,DEX
Delphi Labs,delphi-labs-ico,Jump Crypto,13500000,Funding Round,1680598800000,
P2P Validator,p2p-validator-ico,Jump Crypto,23000000,Series A Round,1680307200000,
Puffer,puffer-finance,Jump Crypto,650000,Pre-seed,1675209600000,Liquid Staking Protocols
Port3 Network,port3-network,Jump Crypto,3000000,Seed Round,1675209600000,DePIN
C3,c3-ico,Jump Crypto,6000000,Seed Round,1675209600000,
Kolibrio,kolibrio-ico,Jump Crypto,2000000,Seed Round,1675209600000,
Chaos Labs,chaos-labs-ico,Jump Crypto,20000000,Seed Round,1675209600000,
VRRB,vrrb-ico,Jump Crypto,1400000,Pre-seed Round,1675209600000,
Irreducible,irreducible,Jump Crypto,15000000,Seed Round,1672531200000,Infrastructure
Outdefine,outdefine-ico,Jump Crypto,2500000,Seed Round,1669852800000,
Arcium,arcium,Jump Crypto,3500000,Seed Round,1667433600000,
Fordefi,fordefi-ico,Jump Crypto,18000000,Seed Round,1667260800000,Wallet
Celestia,celestia,Jump Crypto,55000000,Series A&B Round,1666137600000,Modular Blockchain
Backpack,backpack,Jump Crypto,20000000,Strategic Round,1664323200000,CEX
MystenLabs,mystenlabs-ico,Jump Crypto,300000000,Series B Round,1662595200000,
Sui,sui,Jump Crypto,300000000,Series B,1661990400000,Blockchain
Fly,fly-2,Jump Crypto,3000000,Seed Round,1661990400000,DeFi
Injective,injective-protocol,Jump Crypto,40000000,Funding Round,1660521600000,Blockchain
GUNZ,gunz-token,Jump Crypto,46000000,Funding Round,1659312000000,Blockchain
Aptos,aptos,Jump Crypto,150000000,Series A,1658707200000,Blockchain
Hashflow,hashflow,Jump Crypto,25000000,Series A,1656633600000,DEX
Oasys,oasys,Jump Crypto,20000000,Private Round,1656633600000,Gaming
MoHash,mohash,Jump Crypto,6000000,Seed Round,1656547200000,DeFi
Euler,euler,Jump Crypto,32000000,Funding Round,1654041600000,Lending Platform
AltLayer,altlayer,Jump Crypto,7200000,Seed Round,1654041600000,Blockchain Service
Orderly,orderly-network,Jump Crypto,20000000,Strategic Round,1654041600000,Perpetual
zCloak,zcloak-ico,Jump Crypto,5800000,Series A,1654041600000,
Satori,satori,Jump Crypto,10000000,Seed Round,1652659200000,DEX
Certora,certora-ico,Jump Crypto,36000000,Series B Round,1651363200000,
double jump.tokyo,double-jump-tokyo,Jump Crypto,24000000,Series C,1651104000000,Gaming
Push Protocol,ethereum-push-notification-service,Jump Crypto,10100000,Series A,1648771200000,Infrastructure
Trisolaris,trisolaris,Jump Crypto,4500000,Seed Round,1648771200000,DEX
OpenBlox,openblox,Jump Crypto,3000000,Seed Round,1648512000000,NFT
Burrow,burrow,Jump Crypto,5000000,Seed Round,1646092800000,Lending Platform
Slope,slope-ico,Jump Crypto,8000000,Series A Round,1645660800000,
Maverick Protocol,maverick-protocol,Jump Crypto,8000000,Strategic Round,1645056000000,DEX
Ref Finance,ref-finance,Jump Crypto,4800000,Strategic Round,1645056000000,Near Ecosystem
Aurigami,aurigami,Jump Crypto,9500000,Strategic Round,1643673600000,Lending Platform
Conduit,conduit-2,Jump Crypto,17000000,Seed Round,1642032000000,Blockchain Service
Folks,folks-finance,Jump Crypto,3000000,Seed Round,1640995200000,Lending Platform
Ceramic,ceramic-ico,Jump Crypto,30000000,Series A Round,1640995200000,
HXRO,hxro,Jump Crypto,34000000,Strategic Round,1635724800000,Solana Ecosystem
Automata,automata,Jump Crypto,1000000,Seed,1615161600000,Blockchain Service
Chiliz,chiliz,Jump Crypto,65000000,Private Sale,1527811200000,Blockchain
Oasis,oasis-network,Jump Crypto,45000000,Backers,1526688000000,Blockchain
Sonic Labs (prev. Fantom),sonic-labs,Jump Crypto,1600000,Seed Round,1517443200000,Blockchain
Fantom,fantom,Jump Crypto,1600000,Seed Round,1517443200000,Blockchain
Stable,stable-2,Egirl Capital,28000000,Seed Round,1753920000000,Blockchain
Cygnus,cygnus-finance,Egirl Capital,20000000,Pre-seed,1739923200000,Blockchain
Blast,blast-l2,Egirl Capital,20000000,Funding Round,1700524800000,Layer-2
Oh Baby Games,oh-baby-games,Egirl Capital,6000000,Seed Round,1675036800000,Gaming
ZKsync,zksync,Egirl Capital,200000000,Series C,1668556800000,Layer-2
Celestia,celestia,Egirl Capital,55000000,Series A&B Round,1666137600000,Modular Blockchain
Blur,blur,Egirl Capital,11000000,Seed Round,1646092800000,NFT
Socket,socket,Egirl Capital,5000000,Seed Round,1646092800000,Infrastructure
Chainflip,chainflip,Egirl Capital,5803000,Strategic Round,1629331200000,AMM
Everclear,connext,Egirl Capital,12000000,Series A,1626134400000,DeFi
Gearbox Protocol,gearbox-protocol,Egirl Capital,2300000,SAFT,1619827200000,Lending Platform
Arbitrum,arbitrum,Egirl Capital,20000000,Series A,1617235200000,Layer-2
Alchemix,alchemix,Egirl Capital,4900000,Private Round,1615680000000,Lending Platform
Arweave,arweave,Egirl Capital,8300000,Private Round,1580515200000,Storage
Inference,inference,Multicoin Capital,11800000,Seed Round,1760400000000,Blockchain Service
CrunchDAO,crunchdao,Multicoin Capital,5000000,Strategic Round,1759795200000,Artificial Intelligence (AI)
Forward Industries,forward-industries,Multicoin Capital,1650000000,PIPE,1757289600000,Finance
Kalshi,kalshi,Multicoin Capital,185000000,Series C,1750809600000,Predictions
Yield.xyz,yield-xyz,Multicoin Capital,5000000,Strategic Round,1750723200000,DeFi
Gradient Network,gradient-network,Multicoin Capital,10000000,Seed Round,1750118400000,Infrastructure
P2P.me,p2p-me,Multicoin Capital,2000000,Seed Round,1743724800000,Blockchain Service
DoubleZero,double-zero-crypto-coin,Multicoin Capital,28000000,Private Token Sale,1741219200000,Infrastructure
Across Protocol,across-protocol,Multicoin Capital,41000000,Private Token Sale,1741046400000,Protocol
FanTV,fantv,Multicoin Capital,5500000,Funding Round,1740700800000,Blockchain Service
Geodnet,geodnet,Multicoin Capital,8000000,Strategic Round,1740441600000,Polygon Ecosystem
Mevvy,mevvy,Multicoin Capital,2800000,Seed Round,1738108800000,Blockchain Service
Drift Protocol,drift-protocol,Multicoin Capital,25000000,Series B,1726704000000,Perpetual
Pipe Network,pipe-network,Multicoin Capital,10000000,Funding Round,1726444800000,Blockchain Service
Fuse,fuseenergy,Multicoin Capital,12000000,Strategic Round,1726099200000,Blockchain Service
zkMe,zkme,Multicoin Capital,4000000,Seed Round,1724112000000,Blockchain Service
Mountain Protocol USD,mountain-protocol-usd,Multicoin Capital,8000000,Series A,1717632000000,Stablecoin
El Dorado,el-dorado,Multicoin Capital,3000000,Seed Round,1716854400000,Blockchain Service
Arch Network,arch-network,Multicoin Capital,7000000,Seed Round,1715212800000,Infrastructure
Baxus,baxus,Multicoin Capital,5000000,Seed Round,1714521600000,Social
Mezo,mezo,Multicoin Capital,21000000,Series A,1712620800000,Blockchain
XION,burnt-2,Multicoin Capital,25000000,Series A,1711929600000,Blockchain
Zama,zama,Multicoin Capital,73000000,Series A Round,1709769600000,Infrastructure
io.net,io-net,Multicoin Capital,30000000,Series A,1709596800000,Artificial Intelligence (AI)
Superfluid,superfluid,Multicoin Capital,5100000,Funding Round,1708560000000,DeFi
GLIF,glif,Multicoin Capital,4500000,Seed Round,1707177600000,DeFi
Marginfi,marginfi,Multicoin Capital,3000000,Funding Round,1701864060000,Lending Platform
Pyth Network,pyth-network,Multicoin Capital,,Strategic Round,1701734400000,Oracle
Wormhole,wormhole,Multicoin Capital,225000000,Funding Round,1701288000000,Blockchain Service
Squads,squads,Multicoin Capital,5700000,Strategic Round,1697414400000,Blockchain Service
Blackbird,blackbird,Multicoin Capital,11000000,Seed Round,1696550400000,Social
Fhenix,fhenix,Multicoin Capital,7000000,Seed Round,1695686400000,Infrastructure
FastLane Labs,fastlane-labs,Multicoin Capital,2300000,Seed Round,1684800000000,Blockchain Service
Tableland,tableland,Multicoin Capital,8000000,Series A,1681948800000,Blockchain Service
Sei,sei-network,Multicoin Capital,30000000,Series A,1681171200000,Blockchain
Lore,lore-ico,Multicoin Capital,4000000,Strategic Round,1680307200000,
Fin (Prev. TipLink),fin,Multicoin Capital,6000000,Seed Round,1675209600000,Blockchain Service
Sec3,sec3-ico,Multicoin Capital,10000000,Seed Round,1672531200000,
Prysm,prysm-ico,Multicoin Capital,4000000,Funding Round,1668427200000,
Fluidity,fluidity-ico,Multicoin Capital,1300000,Seed Round,1666915200000,
Backpack,backpack,Multicoin Capital,20000000,Strategic Round,1664323200000,CEX
Hubble,hubble,Multicoin Capital,5000000,Strategic Fundraise,1662595200000,Protocol
Jito,jito-network,Multicoin Capital,12100000,Series A,1659312000000,Liquid Staking Protocols
Aptos,aptos,Multicoin Capital,150000000,Series A,1658707200000,Blockchain
Farcaster,farcaster,Multicoin Capital,30000000,Funding Round,1656633600000,Social
Delphia,delphia-ico,Multicoin Capital,60000000,Series A Round,1654041600000,
Geode Finance,geode-finance-ico,Multicoin Capital,3000000,Seed Round,1654041600000,
FanTiger,fantiger-ico,Multicoin Capital,5500000,Seed Round,1651363200000,
Community Gaming,community-gaming,Multicoin Capital,16000000,Series A,1649289600000,Gaming
Fractal,fractal-ico,Multicoin Capital,35000000,Seed Round,1648771200000,Gaming
Helium,helium,Multicoin Capital,200000000,Series D Round,1645228800000,Social
Fluence,fluence,Multicoin Capital,9000000,Series A,1645142400000,DePIN
The Graph,the-graph,Multicoin Capital,205000000,Funding Round,1643673600000,Big Data
Web3Auth,web3auth,Multicoin Capital,13000000,Series A,1641945600000,Web 3.0
Exotic Markets,exotic-markets,Multicoin Capital,5000000,Venture Round,1641340800000,Oracle
Dune Analytics,dune-analytics,Multicoin Capital,69420000,Series B Round,1640995200000,Blockchain Service
Ceramic,ceramic-ico,Multicoin Capital,30000000,Series A Round,1640995200000,
Artificial Liquid Intelligence,alethea-artificial-liquid-intelligence-token,Multicoin Capital,12400000,Auction,1640682000000,NFT
Render,render-token,Multicoin Capital,30000000,Venture Round,1640044800000,Artificial Intelligence (AI)
Galxe,project-galaxy,Multicoin Capital,10000000,Growth Backer Round 1,1638316800000,NFT
Gravity (prev. GAL),gravity-3,Multicoin Capital,10000000,Backers,1638316800000,Ethereum Ecosystem
Cyber,cyberconnect,Multicoin Capital,10000000,Seed Funding (Equity+SAFT),1635724800000,Blockchain Service
Swivel Finance,swivel-finance-ico,Multicoin Capital,3500000,Strategic Round,1635206400000,
