project_name,project_slug,investor_count,total_invested_usd,category,investors
ECOx,ecox,4,240000000,Ethereum Ecosystem,Andreessen Horowitz (a16z); Lightspeed Venture Partners; 1Kx; Pantera Capital
ECO,eco,4,240000000,,Andreessen Horowitz (a16z); Lightspeed Venture Partners; 1Kx; Pantera Capital
Polymarket,polymarket,4,203000000,DeFi,Polychain Capital; Balaji Srinivasan; 1Confirmation; Vitalik Buterin
Babylon,babylon,4,158000000,Blockchain,Polychain Capital; Framework Ventures; Paradigm; Binance Labs
Rally,rally-2,4,139313800,Yield Farming,Andreessen Horowitz (a16z); Balaji Srinivasan; 1Confirmation; Ideo Colab Ventures
Certora,certora-ico,4,115200000,,Jump Crypto; Electric Capital; Framework Ventures; Balaji Srinivasan
Nervos Network,nervos-network,4,112672000,Blockchain,Multicoin Capital; Polychain Capital; 1Confirmation; 1Kx
XMTP,xmtp,4,80000000,Social,Andreessen Horowitz (a16z); Union Square Ventures Usv; Balaji Srinivasan; Ideo Colab Ventures
Hashflow,hashflow,4,78200000,DEX,Jump Crypto; Electric Capital; Balaji Srinivasan; Ideo Colab Ventures
Injective,injective-protocol,4,70000000,Blockchain,Jump Crypto; Mark Cuban; Binance Labs; Pantera Capital
Maker,maker,4,66500000,DeFi,Andreessen Horowitz (a16z); Polychain Capital; Paradigm; 1Confirmation
Spacemesh,spacemesh,4,60000000,Blockchain,Polychain Capital; Electric Capital; Paradigm; 1Kx
Handshake,handshake,4,40800000,Infrastructure,Andreessen Horowitz (a16z); Polychain Capital; Ideo Colab Ventures; Pantera Capital
Puffer,puffer-finance,4,36650000,Liquid Staking Protocols,Jump Crypto; Lightspeed Venture Partners; Electric Capital; Binance Labs
Everclear,connext,4,36500000,DeFi,Egirl Capital; Polychain Capital; 1Kx; Pantera Capital
Arweave,arweave,4,33200000,Storage,Andreessen Horowitz (a16z); Egirl Capital; Multicoin Capital; Union Square Ventures Usv
Commonwealth,commonwealth-ico,4,29600000,,Polychain Capital; Framework Ventures; Balaji Srinivasan; Ideo Colab Ventures
AltLayer,altlayer,4,28800000,Blockchain Service,Jump Crypto; Polychain Capital; Balaji Srinivasan; Binance Labs
Nym,nym,4,27500000,Privacy Coin,Andreessen Horowitz (a16z); Polychain Capital; 1Kx; Binance Labs
Audius,audius,4,12950000,NFT,Multicoin Capital; Lightspeed Venture Partners; Binance Labs; Pantera Capital
Kalshi,kalshi,3,2185000000,Predictions,Andreessen Horowitz (a16z); Multicoin Capital; Paradigm
StablecoinX,stablecoinx,3,1250000000,Finance,Polychain Capital; Binance Labs; Pantera Capital
Alchemy,alchemy-ico,3,600000000,,Andreessen Horowitz (a16z); Lightspeed Venture Partners; Pantera Capital
Decentralized Social,bitclout,3,600000000,Blockchain,Andreessen Horowitz (a16z); Polychain Capital; Pantera Capital
XRP,ripple,3,500000000,Cryptocurrency,Andreessen Horowitz (a16z); Lightspeed Venture Partners; Pantera Capital
Monad,monad,3,469000000,Blockchain,Electric Capital; Paradigm; Cobie
Magic Eden,magic-eden,3,390000000,NFT,Lightspeed Venture Partners; Electric Capital; Paradigm
Optimism,optimism,3,265000000,Layer-2,Andreessen Horowitz (a16z); Paradigm; Ideo Colab Ventures
Aleo,aleo,3,256000000,Zero Knowledge,Andreessen Horowitz (a16z); Polychain Capital; Balaji Srinivasan
Amber Group,amber-group-ico,3,256000000,,Polychain Capital; Paradigm; Pantera Capital
Avalanche,avalanche,3,241880000,Blockchain,Andreessen Horowitz (a16z); Polychain Capital; Balaji Srinivasan
LayerZero,layerzero,3,196300000,Blockchain Service,Andreessen Horowitz (a16z); Multicoin Capital; Binance Labs
Story,story,3,185000000,Blockchain,Andreessen Horowitz (a16z); Polychain Capital; Balaji Srinivasan
EigenCloud (prev. EigenLayer),eigenlayer,3,170000000,Liquid Staking Protocols,Andreessen Horowitz (a16z); Polychain Capital; Electric Capital
World,worldcoin,3,165000000,Artificial Intelligence (AI),Andreessen Horowitz (a16z); Multicoin Capital; 1Confirmation
Karak Network,karak-network,3,144000000,Layer-2,Lightspeed Venture Partners; Framework Ventures; Pantera Capital
Lido DAO,lido-dao,3,143000000,DeFi,Jump Trading; Andreessen Horowitz (a16z); Paradigm
Aztec,aztec,3,134000000,Blockchain,Andreessen Horowitz (a16z); Paradigm; Vitalik Buterin
Blackbird,blackbird,3,111000000,Social,Andreessen Horowitz (a16z); Multicoin Capital; Union Square Ventures Usv
Sahara AI,sahara-ai,3,111000000,Artificial Intelligence (AI),Polychain Capital; Binance Labs; Pantera Capital
Fractal,fractal-ico,3,105000000,Gaming,Andreessen Horowitz (a16z); Multicoin Capital; Paradigm
Chaos Labs,chaos-labs-ico,3,95000000,,Jump Crypto; Lightspeed Venture Partners; Balaji Srinivasan
Espresso Systems,espresso-systems,3,92000000,Infrastructure,Andreessen Horowitz (a16z); Polychain Capital; Electric Capital
Ceramic,ceramic-ico,3,90000000,,Jump Crypto; Multicoin Capital; Union Square Ventures Usv
Celo,celo,3,80000000,Layer-2,Andreessen Horowitz (a16z); Polychain Capital; Electric Capital
Etherealize,etherealize,3,80000000,Social,Electric Capital; Paradigm; Vitalik Buterin
Compound,compound,3,75000000,DeFi,Andreessen Horowitz (a16z); Polychain Capital; Paradigm
Jito,jito-network,3,74200000,Liquid Staking Protocols,Andreessen Horowitz (a16z); Multicoin Capital; Framework Ventures
Anchor Protocol,anchor-protocol,3,60000000,DeFi,Jump Trading; Ideo Colab Ventures; Pantera Capital
Syndicate,syndicate-3,3,60000000,Infrastructure,Andreessen Horowitz (a16z); Electric Capital; Ideo Colab Ventures
Membrane Labs,membrane-labs,3,60000000,Blockchain Service,Jump Crypto; Electric Capital; Framework Ventures
Axelar,axelar,3,59608000,Infrastructure,Polychain Capital; Electric Capital; Binance Labs
Immunefi,immunefi,3,53500000,Blockchain Service,Electric Capital; Framework Ventures; Ideo Colab Ventures
SynFutures,synfutures,3,50000000,Perpetual,Polychain Capital; Framework Ventures; Pantera Capital
Fordefi,fordefi-ico,3,46000000,Wallet,Jump Crypto; Lightspeed Venture Partners; Electric Capital
Parallel Finance,parallel-finance,3,46000000,Lending Platform,Lightspeed Venture Partners; Polychain Capital; Pantera Capital
Artificial Liquid Intelligence,alethea-artificial-liquid-intelligence-token,3,44400000,NFT,Multicoin Capital; Mark Cuban; Ideo Colab Ventures
Iron Fish,iron-fish,3,38200000,Blockchain Service,Andreessen Horowitz (a16z); Electric Capital; Balaji Srinivasan
Goldfinch,goldfinch,3,37700000,Lending Platform,Andreessen Horowitz (a16z); Balaji Srinivasan; Ideo Colab Ventures
Slingshot,slingshot-ico,3,33100000,,Electric Capital; Framework Ventures; Ideo Colab Ventures
Kiosk,kiosk,3,30000000,Social,Andreessen Horowitz (a16z); Electric Capital; Union Square Ventures Usv
Web3Auth,web3auth,3,28000000,Web 3.0,Multicoin Capital; Union Square Ventures Usv; Binance Labs
Seismic,seismic-2,3,27000000,Blockchain,Andreessen Horowitz (a16z); Polychain Capital; 1Kx
Manta Network,manta-network,3,26100000,Blockchain,Multicoin Capital; Polychain Capital; Binance Labs
Maverick Protocol,maverick-protocol,3,26000000,DEX,Jump Crypto; Binance Labs; Pantera Capital
Chainflip,chainflip,3,25803000,AMM,Egirl Capital; Framework Ventures; Pantera Capital
Keep Network,keep-network,3,23100000,DeFi,Andreessen Horowitz (a16z); Polychain Capital; Paradigm
Acala,acala,3,21900000,DeFi,Polychain Capital; 1Confirmation; Pantera Capital
corn,corn-2,3,21700000,Layer-2,Polychain Capital; Framework Ventures; Binance Labs
Squads,squads,3,21400000,Blockchain Service,Jump Crypto; Multicoin Capital; Electric Capital
Notional Finance,notional-finance,3,21300000,DeFi,Polychain Capital; 1Confirmation; Pantera Capital
vana,vana,3,20000000,Artificial Intelligence (AI),Polychain Capital; Paradigm; Binance Labs
Pontem Liquidswap,pontem-liquidswap,3,18000000,Aptos Ecosystem,Andreessen Horowitz (a16z); Lightspeed Venture Partners; Pantera Capital
Daylight,daylight,3,18000000,Blockchain Service,Framework Ventures; Union Square Ventures Usv; 1Kx
Karura,karura,3,16000000,Kusama Ecosystem,Polychain Capital; 1Confirmation; Pantera Capital
DODO,dodo,3,15000000,DeFi,Framework Ventures; Binance Labs; Pantera Capital
Enso,enso,3,14200000,Blockchain Service,Multicoin Capital; Polychain Capital; Ideo Colab Ventures
Shogun,shogun,3,13800000,DeFi,Polychain Capital; Binance Labs; Cobie
Push Protocol,ethereum-push-notification-service,3,11510000,Infrastructure,Jump Crypto; Balaji Srinivasan; Binance Labs
Opyn Squeeth,opyn-squeeth,3,11020000,DeFi,Paradigm; Balaji Srinivasan; 1Kx
Prysm,prysm-ico,3,11000000,,Multicoin Capital; Polychain Capital; Balaji Srinivasan
Liquity,liquity,3,10800000,DeFi,Polychain Capital; 1Kx; Pantera Capital
Reflexer Ungovernance Token,reflexer-ungovernance-token,3,7540000,DeFi,Andreessen Horowitz (a16z); Paradigm; Pantera Capital
Fluid,instadapp,3,7200000,DeFi,Balaji Srinivasan; Ideo Colab Ventures; Pantera Capital
Gearbox Protocol,gearbox-protocol,3,6900000,Lending Platform,Egirl Capital; 1Kx; Cobie
Forward Industries,forward-industries,2,3300000000,Finance,Jump Crypto; Multicoin Capital
Mill City Ventures III,mill-city-ventures-iii,2,900000000,Finance,Electric Capital; Pantera Capital
ETHZilla,ethzilla-2,2,850000000,Finance,Polychain Capital; Electric Capital
SharpLink,sharplink,2,850000000,Sport,Electric Capital; Pantera Capital
Bitso,bitso-ico,2,500000000,,Paradigm; Pantera Capital
Wormhole,wormhole,2,450000000,Blockchain Service,Jump Trading; Multicoin Capital
Phantom,phantom,2,300000000,Wallet,Andreessen Horowitz (a16z); Paradigm
Walrus,walrus-protocol,2,280000000,Storage,Andreessen Horowitz (a16z); Electric Capital
CoinDCX,coindcx-ico,2,270000000,,Polychain Capital; Pantera Capital
Basis Cash,basis-cash,2,266000000,Algorithmic Stablecoins,Andreessen Horowitz (a16z); Lightspeed Venture Partners
Pintu Token,pintu-token,2,226000000,Cryptocurrency,Lightspeed Venture Partners; Pantera Capital
The Graph,the-graph,2,210000000,Big Data,Multicoin Capital; Framework Ventures
Safe,safe,2,200000000,Wallet,Lightspeed Venture Partners; 1Kx
Berachain,berachain,2,200000000,Blockchain,Polychain Capital; Framework Ventures
Mythos,mythos,2,187000000,Gaming,Andreessen Horowitz (a16z); Binance Labs
Mythical Games,mythical-games,2,187000000,Gaming,Andreessen Horowitz (a16z); Binance Labs
Sentient (Pre-Market),sentient,2,170000000,Blockchain Service,Framework Ventures; Pantera Capital
Ronin,ronin,2,157500000,Blockchain,Andreessen Horowitz (a16z); Mark Cuban
Daylight,daylight-2,2,150000000,DePIN,Andreessen Horowitz (a16z); Framework Ventures
Chiliz,chiliz,2,130000000,Blockchain,Jump Crypto; Binance Labs
Zama,zama,2,130000000,Infrastructure,Multicoin Capital; Pantera Capital
Algorand,algorand,2,124000000,Blockchain,Multicoin Capital; Union Square Ventures Usv
Meanwhile,meanwhile,2,122000000,Insurance,Framework Ventures; Pantera Capital
Figure Markets,figure-markets,2,120000000,Finance,Jump Crypto; Pantera Capital
Morpho,morpho,2,100000000,Lending Platform,Andreessen Horowitz (a16z); Pantera Capital
0x Protocol,0x,2,94000000,DEX,Polychain Capital; Pantera Capital
Across Protocol,across-protocol,2,82000000,Protocol,Multicoin Capital; Paradigm
M^ZERO,m-zero,2,80000000,DeFi,Polychain Capital; Pantera Capital
Dune Analytics,dune-analytics,2,77420000,Blockchain Service,Multicoin Capital; Union Square Ventures Usv
Doppel,doppel,2,75000000,Blockchain Service,Andreessen Horowitz (a16z); Balaji Srinivasan
Proof of Play,proof-of-play,2,66000000,Gaming,Andreessen Horowitz (a16z); Balaji Srinivasan
Chia,chia,2,66000000,Blockchain,Andreessen Horowitz (a16z); Ideo Colab Ventures
Element Finance,element-finance-ico,2,64000000,,Andreessen Horowitz (a16z); Polychain Capital
MobileCoin,mobilecoin,2,60000000,Privacy Coin,Multicoin Capital; Binance Labs
Monkey Tilt,monkey-tilt,2,60000000,Gaming,Polychain Capital; Pantera Capital
Glow,glow-2,2,60000000,Blockchain Service,Framework Ventures; Union Square Ventures Usv
Golden,golden-ico,2,54500000,,Andreessen Horowitz (a16z); Balaji Srinivasan
ParagonsDAO,paragonsdao,2,54145000,DAO,Framework Ventures; Paradigm
Azra Games,azra-games,2,52000000,Gaming,Andreessen Horowitz (a16z); Pantera Capital
Anoma,anoma,2,51000000,Infrastructure,Polychain Capital; Electric Capital
Miden,miden,2,50000000,Blockchain,Andreessen Horowitz (a16z); 1Kx
Nexus Laboratories,nexus-laboratories,2,50000000,Infrastructure,Lightspeed Venture Partners; Pantera Capital
Drift Protocol,drift-protocol,2,48500000,Perpetual,Multicoin Capital; Polychain Capital
DuskBreakers,duskbreakers-ico,2,48000000,,Andreessen Horowitz (a16z); Pantera Capital
Forta,forta,2,46000000,Blockchain Service,Andreessen Horowitz (a16z); Ideo Colab Ventures
GUNZ,gunz-token,2,46000000,Blockchain,Jump Crypto; 1Kx
CoW Protocol,cow-protocol,2,46000000,DEX,1Kx; Cobie
Nomad,nomad-ico,2,44800000,,Polychain Capital; 1Kx
StakeStone,stakestone,2,44000000,Liquid Staking Protocols,Polychain Capital; Binance Labs
Upshot,upshot-ico,2,44000000,,Polychain Capital; Framework Ventures
Mask Network,mask-network,2,42570000,Social,Balaji Srinivasan; Binance Labs
Mezo,mezo,2,42000000,Blockchain,Multicoin Capital; Pantera Capital
Osmosis,osmosis,2,42000000,DEX,Paradigm; 1Confirmation
Archway,archway,2,42000000,Cosmos Ecosystem,1Confirmation; Ideo Colab Ventures
Plasma,xpl,2,41000000,Blockchain,Framework Ventures; Cobie
Numeraire,numeraire,2,41000000,DeFi,Union Square Ventures Usv; Paradigm
Orchid Protocol,orchid-protocol,2,40800000,xDAI Ecosystem,Andreessen Horowitz (a16z); Polychain Capital
ValoraApp,valoraapp-ico,2,40000000,Wallet,Andreessen Horowitz (a16z); Polychain Capital
Backpack,backpack,2,40000000,CEX,Jump Crypto; Multicoin Capital
Euler,euler,2,40000000,Lending Platform,Jump Crypto; Paradigm
Orderly,orderly-network,2,40000000,Perpetual,Jump Crypto; Pantera Capital
Blast,blast-l2,2,40000000,Layer-2,Egirl Capital; Paradigm
Phoenix,phoenix-2,2,40000000,DEX,Electric Capital; Paradigm
MegaETH (Pre-Market),megaeth,2,40000000,Layer-2,Cobie; Vitalik Buterin
Irreducible,irreducible,2,39000000,Infrastructure,Jump Crypto; Paradigm
Fei USD,fei-usd,2,38000000,Stablecoin,Andreessen Horowitz (a16z); Framework Ventures
Movement,movement,2,38000000,Infrastructure,Polychain Capital; Binance Labs
Sign,sign-2,2,37500000,Infrastructure,Balaji Srinivasan; Binance Labs
Treehouse,treehouse,2,36000000,Liquid Staking Tokens (LSTs),Lightspeed Venture Partners; Binance Labs
Towns,towns,2,35500000,Social,Andreessen Horowitz (a16z); Framework Ventures
Symbiotic,symbiotic,2,34800000,Liquid Staking Protocols,Paradigm; Pantera Capital
SAIL Token,clipper,2,34000000,Governance,Polychain Capital; Electric Capital
IYK,iyk,2,33600000,Web 3.0,Andreessen Horowitz (a16z); 1Kx
TrueFi,truefi,2,32500000,Lending Platform,Jump Trading; Andreessen Horowitz (a16z)
Community Gaming,community-gaming,2,32000000,Gaming,Multicoin Capital; Binance Labs
Proven,proven-ico,2,31600000,,Framework Ventures; Balaji Srinivasan
Rain,rain,2,30500000,Finance,Lightspeed Venture Partners; Balaji Srinivasan
Polyhedra Network,polyhedra-network,2,30000000,Zero Knowledge,Polychain Capital; Binance Labs
Zapper,zapper-ico,2,30000000,,Framework Ventures; Mark Cuban
Lens Chain,lens-chain,2,30000000,Blockchain Service,Balaji Srinivasan; Ideo Colab Ventures
TransCrypts,transcrypts,2,30000000,Blockchain Service,Mark Cuban; Pantera Capital
Unto,unto,2,28800000,Blockchain,Electric Capital; Framework Ventures
Amp,amp-token,2,28200000,Blockchain Service,1Kx; Pantera Capital
Coinflow,coinflow-ico,2,27250000,,Jump Crypto; Pantera Capital
Sommelier,sommelier,2,26500000,DeFi,Multicoin Capital; Polychain Capital
WalletConnect Token,walletconnect,2,26000000,Wallet,Union Square Ventures Usv; 1Kx
Ritual,ritual,2,25000000,Infrastructure,Polychain Capital; Balaji Srinivasan
Astar,astar,2,24400000,Layer-2,Polychain Capital; Binance Labs
Tally Labs,tally-labs-ico,2,24000000,,Andreessen Horowitz (a16z); Framework Ventures
Solayer,solayer,2,24000000,Liquid Staking Protocols,Polychain Capital; Binance Labs
Aurora,aurora-near,2,24000000,Blockchain,Electric Capital; Pantera Capital
Ostium Labs,ostium-labs,2,23500000,DeFi,Jump Trading; Balaji Srinivasan
Privy,privy,2,23300000,Web 3.0,Electric Capital; Paradigm
Kuru,kuru,2,23200000,DeFi,Electric Capital; Paradigm
Fin (Prev. TipLink),fin,2,23000000,Blockchain Service,Multicoin Capital; Pantera Capital
Utila,utila,2,23000000,Infrastructure,Framework Ventures; Balaji Srinivasan
Raiku,raiku,2,22500000,Infrastructure,Jump Crypto; Pantera Capital
Neynar,neynar,2,22000000,Infrastructure,Andreessen Horowitz (a16z); Union Square Ventures Usv
Blur,blur,2,22000000,NFT,Egirl Capital; Paradigm
Crown,crown-2,2,21600000,Finance,Framework Ventures; Paradigm
Satori,satori,2,20000000,DEX,Jump Crypto; Polychain Capital
Gradient Network,gradient-network,2,20000000,Infrastructure,Multicoin Capital; Pantera Capital
Arch Network,arch-network,2,20000000,Infrastructure,Multicoin Capital; Pantera Capital
Galxe,project-galaxy,2,20000000,NFT,Multicoin Capital; Binance Labs
Gravity (prev. GAL),gravity-3,2,20000000,Ethereum Ecosystem,Multicoin Capital; Binance Labs
OneKey,onekey-ico,2,20000000,,Framework Ventures; Binance Labs
Yield Protocol,yieldprotocol,2,20000000,Lending Platform,Framework Ventures; Paradigm
aPriori,apriori,2,20000000,DeFi,Binance Labs; Pantera Capital
MATH,math,2,19800000,Wallet,Multicoin Capital; Binance Labs
KGeN,kgen,2,19500000,Gaming,Jump Crypto; Lightspeed Venture Partners
Praxis,praxis,2,19200000,Artificial Intelligence (AI),Paradigm; Balaji Srinivasan
Aurigami,aurigami,2,19000000,Lending Platform,Jump Crypto; Polychain Capital
Concrete Protocol,concrete-protocol,2,19000000,Protocol,Polychain Capital; Binance Labs
Hyperbolic,hyperbolic,2,19000000,Blockchain Service,Polychain Capital; Balaji Srinivasan
Noble,noble,2,18300000,Blockchain Service,Polychain Capital; Paradigm
Standard Economics,standard-economics,2,18000000,Blockchain Service,Lightspeed Venture Partners; Paradigm
Shadow,shadow,2,18000000,Blockchain Service,Electric Capital; Paradigm
Mira,mira,2,18000000,Infrastructure,Framework Ventures; Balaji Srinivasan
CryptoSlam,cryptoslam,2,18000000,Blockchain Service,Mark Cuban; Binance Labs
SuperRare,superrare,2,18000000,NFT,Mark Cuban; 1Confirmation
River Financial,river-financial,2,17700000,Finance,Polychain Capital; Ideo Colab Ventures
Layer3,layer3,2,17500000,Social,Electric Capital; Balaji Srinivasan
Perion,perion,2,17200000,Gaming,Framework Ventures; Pantera Capital
OpenGradient,opengradient,2,17000000,Infrastructure,Andreessen Horowitz (a16z); Balaji Srinivasan
Lombard,lombard,2,17000000,DeFi,Polychain Capital; Binance Labs
Integral1,integral-2,2,17000000,Blockchain Service,Electric Capital; Balaji Srinivasan
Godcoin,godcoin,2,17000000,Gaming,Framework Ventures; Pantera Capital
Fluent,fluent,2,16000000,Layer-2,Polychain Capital; Balaji Srinivasan
Clique,clique,2,16000000,Infrastructure,Polychain Capital; Balaji Srinivasan
X-Margin,x-margin-ico,2,16000000,,Polychain Capital; Paradigm
Yield Guild Games,yield-guild-games,2,15800000,Gaming,Andreessen Horowitz (a16z); Ideo Colab Ventures
Synthetix,synthetix,2,15800000,DeFi,Framework Ventures; Paradigm
Index Cooperative,index-cooperative,2,15400000,DeFi,1Confirmation; 1Kx
DappOS,dappos,2,15300000,Blockchain Service,Polychain Capital; Binance Labs
Pluralis Research,pluralis-research,2,15200000,Blockchain Service,Union Square Ventures Usv; Balaji Srinivasan
Fluence,fluence,2,15000000,DePIN,Multicoin Capital; 1Kx
Brevis Network,brevis-network,2,15000000,Zero Knowledge,Polychain Capital; Binance Labs
MatchboxDAO,matchboxdao-ico,2,15000000,,Polychain Capital; 1Kx
1INCH,1inch,2,14800000,DEX,Binance Labs; Pantera Capital
Superfluid,superfluid,2,14100000,DeFi,Multicoin Capital; Balaji Srinivasan
Bitlayer,bitlayer,2,14000000,Layer-2,Polychain Capital; Framework Ventures
Infrared BGT,infrared,2,14000000,DeFi,Framework Ventures; Binance Labs
Spearbit,spearbit,2,14000000,Social,Framework Ventures; 1Kx
Cantina,cantina,2,14000000,Web 3.0,Framework Ventures; 1Kx
Futureswap,futureswap,2,13550000,Perpetual,Framework Ventures; Ideo Colab Ventures
Bitfinity Network ,bitfinity-network,2,13500000,Blockchain,Andreessen Horowitz (a16z); Polychain Capital
USD.AI,usd-ai,2,13400000,DeFi,Framework Ventures; Binance Labs
Solend,solend,2,13000000,Lending Platform,Polychain Capital; Balaji Srinivasan
UX Chain,umee,2,12600000,DeFi,Polychain Capital; Ideo Colab Ventures
Sperax,sperax,2,12000000,Stablecoin Issuer,Jump Trading; Polychain Capital
MoHash,mohash,2,12000000,DeFi,Jump Crypto; Balaji Srinivasan
Nocturne,nocturne,2,12000000,Blockchain Service,Polychain Capital; Vitalik Buterin
AlchemyNFT,alchemynft-ico,2,12000000,,Framework Ventures; Mark Cuban
FLEX Coin,flex-coin,2,11250000,CEX,Polychain Capital; Electric Capital
MyShell,myshell,2,11000000,Blockchain Service,Balaji Srinivasan; Binance Labs
Moku,moku,2,10700000,Gaming,Andreessen Horowitz (a16z); Framework Ventures
Stride,stride,2,10700000,Liquid Staking Protocols,1Confirmation; Pantera Capital
Magicblock,magicblock,2,10500000,Infrastructure,Andreessen Horowitz (a16z); Lightspeed Venture Partners
Fermah,fermah,2,10400000,Zero Knowledge,Andreessen Horowitz (a16z); Balaji Srinivasan
Geodnet,geodnet,2,10000000,Polygon Ecosystem,Multicoin Capital; Pantera Capital
Exotic Markets,exotic-markets,2,10000000,Oracle,Multicoin Capital; Paradigm
Cyber,cyberconnect,2,10000000,Blockchain Service,Multicoin Capital; Binance Labs
MilkyWay,milkyway-2,2,10000000,DeFi,Polychain Capital; Binance Labs
Space ID,space-id,2,10000000,Blockchain Service,Polychain Capital; Binance Labs
Avalon,avalon-finance,2,10000000,DeFi,Framework Ventures; Binance Labs
fxhash,fxhash,2,10000000,NFT,Union Square Ventures Usv; 1Kx
Koop,koop-ico,2,10000000,,Balaji Srinivasan; 1Confirmation
Alchemix,alchemix,2,9800000,Lending Platform,Egirl Capital; Binance Labs
Trisolaris,trisolaris,2,9000000,DEX,Jump Crypto; Electric Capital
Biconomy,biconomy,2,9000000,DeFi,Balaji Srinivasan; Binance Labs
Coop Records,coop-records,2,9000000,Music,1Confirmation; 1Kx
Sender AI,sender-ai,2,9000000,Artificial Intelligence (AI),Binance Labs; Pantera Capital
Antimetal,antimetal,2,8600000,Blockchain Service,Framework Ventures; Ideo Colab Ventures
Brahma,brahma,2,8420000,DeFi,Lightspeed Venture Partners; Framework Ventures
Light Protocol,light-protocol,2,8400000,Solana Ecosystem,Polychain Capital; Balaji Srinivasan
Ankr,ankr,2,8250000,DePIN,Binance Labs; Pantera Capital
MeshMap,meshmap,2,8000000,Blockchain Service,Andreessen Horowitz (a16z); Balaji Srinivasan
Lore,lore-ico,2,8000000,,Multicoin Capital; Balaji Srinivasan
Magic-link,magic-2,2,8000000,Blockchain Service,Lightspeed Venture Partners; Balaji Srinivasan
Auto Finance,tokemak,2,8000000,Yield Farming,Electric Capital; Framework Ventures
Swell,swell-network,2,7500000,Liquid Staking Protocols,Framework Ventures; Mark Cuban
Level,level-2,2,7200000,DeFi,Polychain Capital; Balaji Srinivasan
RabbitHole,rabbithole-ico,2,7200000,,Electric Capital; Framework Ventures
Visor,visor,2,7000000,,Electric Capital; 1Kx
Paragraph,paragraph-ico,2,6700000,,Union Square Ventures Usv; Binance Labs
Syrup,syrup,2,6400000,Lending Platform,Polychain Capital; Framework Ventures
Maple,maple,2,6400000,Lending Platform,Polychain Capital; Framework Ventures
League of Kingdoms,league-of-kingdoms,2,6200000,Gaming,Andreessen Horowitz (a16z); Binance Labs
Marginfi,marginfi,2,6000000,Lending Platform,Multicoin Capital; Pantera Capital
4K,4k-ico,2,6000000,,Electric Capital; Ideo Colab Ventures
Marlin,marlin,2,6000000,Infrastructure,Electric Capital; Binance Labs
Smart Layer Network,smart-layer-network,2,6000000,Blockchain Service,Framework Ventures; Mark Cuban
Rai Reflex Index,rai,2,5840000,Backed Tokens,Paradigm; Pantera Capital
Pimlico,pimlico,2,5800000,Infrastructure,Andreessen Horowitz (a16z); 1Confirmation
